	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCountAfterTreatment 3',)	('meanRelativeGrowthRateAfterTreatment 4',)
('326773 57', 'smSalt: 101', 'smName: HG-5-88-01', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2936.0	3970.0	0.73954	0.60768
('326774 58', 'smSalt: 103', 'smName: Imatinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3830.0	3970.0	0.96468	0.9468
('326775 59', 'smSalt: 101', 'smName: JNK-9L', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3521.0	3970.0	0.8867	0.82934
('326776 60', 'smSalt: 101', 'smName: JW-7-24-1', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3217.0	3970.0	0.81014	0.71402
('326777 61', 'smSalt: 104', 'smName: Lapatinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3647.0	3970.0	0.91843	0.87713
('326778 62', 'smSalt: 102', 'smName: LDN-193189', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4142.0	3970.0	1.0431	1.0649
('326779 63', 'smSalt: 101', 'smName: Linifanib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4189.0	3970.0	1.0551	1.083
('326780 64', 'smSalt: 101', 'smName: Linsitinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3462.0	3970.0	0.87184	0.80696
('326781 65', 'smSalt: 102', 'smName: Mitoxantrone', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	1575.0	3970.0	0.39663	0.091161
('326782 66', 'smSalt: 102', 'smName: Mitoxantrone', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2227.0	3970.0	0.56083	0.33848
('326783 67', 'smSalt: 102', 'smName: MK2206', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4075.0	3970.0	1.0262	1.0395
('326784 68', 'smSalt: 101', 'smName: Neratinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3101.0	3970.0	0.7811	0.67027
('326785 69', 'smSalt: 101', 'smName: Nilotinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4101.0	3970.0	1.0329	1.0496
('326786 70', 'smSalt: 101', 'smName: BIBF-1120', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4047.0	3970.0	1.0193	1.0291
('326787 71', 'smSalt: 101', 'smName: NU7441', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4239.0	3970.0	1.0675	1.1017
('326788 72', 'smSalt: 101', 'smName: BEZ235', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	1982.0	3970.0	0.49913	0.24555
('326789 73', 'smSalt: 101', 'smName: NVP-TAE684', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4079.0	3970.0	1.0272	1.041
('326790 74', 'smSalt: 101', 'smName: PD0332991', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3045.0	3970.0	0.76683	0.64878
('326791 75', 'smSalt: 101', 'smName: PD0325901', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3887.0	3970.0	0.97895	0.9683
('326792 76', 'smSalt: 101', 'smName: PD0325901', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3800.0	3970.0	0.95713	0.93542
('326793 77', 'smSalt: 101', 'smName: PD173074', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4140.0	3970.0	1.0427	1.0643
('326794 78', 'smSalt: 101', 'smName: PD184352', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4104.0	3970.0	1.0336	1.0506
('326795 79', 'smSalt: 101', 'smName: Pelitinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3996.0	3970.0	1.0063	1.0095
('326796 80', 'smSalt: 101', 'smName: PF431396', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3745.0	3970.0	0.94319	0.91443
('326797 81', 'smSalt: 101', 'smName: PF477736', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3517.0	3970.0	0.88586	0.82807
('326798 82', 'smSalt: 101', 'smName: PF562271', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3725.0	3970.0	0.93807	0.90672
('326799 83', 'smSalt: 101', 'smName: PHA-665752', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4086.0	3970.0	1.029	1.0437
('326800 84', 'smSalt: 101', 'smName: PHA-793887', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2521.0	3970.0	0.63487	0.45001
('326801 85', 'smSalt: 101', 'smName: PI103', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3878.0	3970.0	0.97677	0.96501
('326802 86', 'smSalt: 101', 'smName: PLX-4720', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4142.0	3970.0	1.0432	1.065
('326803 87', 'smSalt: 101', 'smName: QL-X-138', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3221.0	3970.0	0.81132	0.71579
('326804 88', 'smSalt: 101', 'smName: QL-XII-47', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3356.0	3970.0	0.84531	0.767
('326805 89', 'smSalt: 101', 'smName: Radicicol', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3362.0	3970.0	0.84683	0.76928
('326806 90', 'smSalt: 101', 'smName: Radicicol', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3774.0	3970.0	0.95058	0.92556
('326807 91', 'smSalt: 101', 'smName: (R)- Roscovitine', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4094.0	3970.0	1.031	1.0467
('326808 92', 'smSalt: 105', 'smName: Ruxolitinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4182.0	3970.0	1.0532	1.0801
('326809 93', 'smSalt: 101', 'smName: XL147', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4181.0	3970.0	1.0529	1.0797
('326810 94', 'smSalt: 101', 'smName: Saracatinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3861.0	3970.0	0.97232	0.95831
('326811 95', 'smSalt: 101', 'smName: Selumetinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4411.0	3970.0	1.1108	1.1669
('326812 96', 'smSalt: 101', 'smName: Rapamycin', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2522.0	3970.0	0.63512	0.45039
('326813 97', 'smSalt: 101', 'smName: Sorafenib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3776.0	3970.0	0.95108	0.92632
('326814 98', 'smSalt: 101', 'smName: SU11274', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4275.0	3970.0	1.0766	1.1154
('326815 99', 'smSalt: 101', 'smName: TG 101348', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4137.0	3970.0	1.0418	1.063
('326816 100', 'smSalt: 101', 'smName: TGX221', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3594.0	3970.0	0.90525	0.85728
('326817 101', 'smSalt: 101', 'smName: Torin1', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2136.0	3970.0	0.538	0.30409
('326818 102', 'smSalt: 101', 'smName: Torin2', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	1283.0	3970.0	0.32327	-0.01935
('326819 103', 'smSalt: 101', 'smName: Tozasertib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	1945.0	3970.0	0.48981	0.23151
('326820 104', 'smSalt: 101', 'smName: Trametinib', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3155.0	3970.0	0.79453	0.6905
('326821 105', 'smSalt: 101', 'smName: TWS119', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4212.0	3970.0	1.0608	1.0916
('326822 106', 'smSalt: 101', 'smName: PLX4032', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	3830.0	3970.0	0.96468	0.9468
('326823 107', 'smSalt: 101', 'smName: Withaferin A', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4047.0	3970.0	1.0192	1.029
('326824 108', 'smSalt: 101', 'smName: Withaferin A', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3926.0	3970.0	0.98877	0.98309
('326825 109', 'smSalt: 101', 'smName: WYE-125132', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	2930.0	3970.0	0.73795	0.60528
('326826 110', 'smSalt: 101', 'smName: WZ3105', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	1503.0	3970.0	0.37859	0.063976
('326827 111', 'smSalt: 101', 'smName: XMD11-50', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3910.0	3970.0	0.98466	0.97689
('326828 112', 'smSalt: 102', 'smName: Y39983', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	4097.0	3970.0	1.0318	1.0478
('326829 113', 'smSalt: 101', 'smName: YM 201636', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1334.0	4177.0	3970.0	1.0521	1.0784
('326830 114', 'smSalt: 101', 'smName: ZSTK474', 'clName: BT-20', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1334.0	3845.0	3970.0	0.96829	0.95224
('326831 115', 'smSalt: 101', 'smName: Afatinib', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3247.0	3970.0	0.81786	0.72565
('326832 116', 'smSalt: 101', 'smName: Sigma A6730', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	3482.0	3970.0	0.87696	0.81467
('326833 117', 'smSalt: 101', 'smName: Flavopiridol', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	1583.0	3970.0	0.39882	0.094449
('326834 118', 'smSalt: 101', 'smName: AT-7519', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3834.0	3970.0	0.96569	0.94832
('326835 119', 'smSalt: 101', 'smName: AZD 5438', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3323.0	3970.0	0.83684	0.75423
('326836 120', 'smSalt: 101', 'smName: AZD-6482', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	3969.0	3970.0	0.99952	0.99928
('326837 121', 'smSalt: 101', 'smName: AZD7762', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3628.0	3970.0	0.91364	0.86992
('326838 122', 'smSalt: 101', 'smName: AZD8055', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	1948.0	3970.0	0.49057	0.23265
('326839 123', 'smSalt: 101', 'smName: AZD8330', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	3347.0	3970.0	0.84305	0.76359
('326840 124', 'smSalt: 101', 'smName: AZD1152-HQPA', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	2591.0	3970.0	0.65258	0.47669
('326841 125', 'smSalt: 101', 'smName: BI-2536', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	574.0	3970.0	0.14472	-0.28829
('326842 126', 'smSalt: 102', 'smName: BMS345541', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3799.0	3970.0	0.95688	0.93504
('326843 127', 'smSalt: 101', 'smName: BMS-387032', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	2372.0	3970.0	0.59751	0.39374
('326844 128', 'smSalt: 101', 'smName: GDC-0980', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	1553.0	3970.0	0.39126	0.083069
('326845 129', 'smSalt: 101', 'smName: NVP-AEW541', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	4059.0	3970.0	1.0222	1.0334
('326846 130', 'smSalt: 101', 'smName: SB590885', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	4065.0	3970.0	1.0239	1.0359
('326847 131', 'smSalt: 101', 'smName: PIK-93', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	4135.0	3970.0	1.0414	1.0624
('326848 132', 'smSalt: 101', 'smName: KIN001-043', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3691.0	3970.0	0.92951	0.89382
('326849 133', 'smSalt: 101', 'smName: BYL719', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	4100.0	3970.0	1.0326	1.0491
('326850 134', 'smSalt: 101', 'smName: NVP-AUY922', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	945.0	3970.0	0.23798	-0.14782
('326851 135', 'smSalt: 101', 'smName: A443654', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	2994.0	3970.0	0.75398	0.62943
('326852 136', 'smSalt: 102', 'smName: OSI-027', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3659.0	3970.0	0.92162	0.88194
('326853 137', 'smSalt: 101', 'smName: XMD11-85h', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	4089.0	3970.0	1.0299	1.045
('326854 138', 'smSalt: 101', 'smName: HG-6-64-01', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	4124.0	3970.0	1.0386	1.0582
('326855 139', 'smSalt: 101', 'smName: WH-4-025', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1334.0	3131.0	3970.0	0.78865	0.68165
('326856 140', 'smSalt: 101', 'smName: WZ-4-145', 'clName: BT-20', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1334.0	3753.0	3970.0	0.94529	0.91759
