	('PC1Loading 0',)	('PC2Loading 1',)
(' 95', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p90RSK(S380)')	1.985	0.8
(' 96', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p90RSK(T573)')	1.5055	-0.61149
(' 97', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-AKT(T308)')	2.3414	-0.13343
(' 98', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-AKT(S473)')	1.0811	0.36472
(' 99', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-mTOR(S2448)')	1.7966	-0.12294
(' 100', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	2.9154	-0.34037
(' 101', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.22187	-0.73515
(' 102', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-S6(S235/236)')	1.589	-0.012926
(' 103', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.31062	-0.25957
(' 104', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.5156	-0.37941
(' 105', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: Total c-Jun')	4.0431	-0.69013
(' 106', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-cJun(S63)')	2.4214	-0.81656
(' 107', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	4.7291	-1.5532
(' 108', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.93656	-1.4569
(' 109', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-NFKB(S536)')	2.072	-0.69852
(' 110', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: Bim')	2.4553	-0.58283
(' 111', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: cPARP')	2.1121	0.59193
(' 112', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.73291	0.12099
(' 113', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p27 Kip1')	0.87846	-0.42137
(' 114', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-2.067	0.34798
(' 115', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-3.7983	-1.0393
(' 116', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-AKT(T308)')	-4.9565	-0.22183
(' 117', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-AKT(S473)')	-5.0938	0.090431
(' 118', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-3.5573	-0.50803
(' 119', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-1.9134	-0.40637
(' 120', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p70S6K(T389)')	2.7847	0.13315
(' 121', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-S6(S235/236)')	1.788	0.58646
(' 122', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-AMPK(T172)')	-1.1761	-0.10252
(' 123', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-3.9254	-0.29876
(' 124', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: Total c-Jun')	-0.23499	-0.70922
(' 125', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-cJun(S63)')	-1.7857	-0.42398
(' 126', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.4969	-1.2145
(' 127', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-HSP27(S82)')	0.20234	-2.8502
(' 128', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-NFKB(S536)')	-1.0714	1.0078
(' 129', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: Bim')	-3.2447	-0.37663
(' 130', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: cPARP')	-3.7352	1.3355
(' 131', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-2.1863	0.44189
(' 132', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p27 Kip1')	-1.9882	-0.61425
(' 133', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p90RSK(S380)')	3.8174	0.27681
(' 134', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p90RSK(T573)')	1.1352	-0.84447
(' 135', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-AKT(T308)')	1.0979	-0.48443
(' 136', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-AKT(S473)')	0.28039	0.16425
(' 137', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-mTOR(S2448)')	1.8006	-0.25214
(' 138', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	2.9024	-0.31822
(' 139', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p70S6K(T389)')	5.1635	0.64808
(' 140', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-S6(S235/236)')	5.3531	0.47738
(' 141', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-AMPK(T172)')	2.2799	-0.13635
(' 142', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.96668	0.2486
(' 143', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: Total c-Jun')	5.6466	-0.093521
(' 144', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-cJun(S63)')	2.4609	-0.50409
(' 145', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	3.7579	-0.93847
(' 146', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.42086	-2.4709
(' 147', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-NFKB(S536)')	6.8647	-0.023748
(' 148', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: Bim')	-0.35083	-0.53756
(' 149', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: cPARP')	3.0797	0.43763
(' 150', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-Histone H3(S10)')	0.9385	0.066275
(' 151', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p27 Kip1')	-0.58925	-0.54081
(' 152', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p90RSK(S380)')	-1.2011	0.32008
(' 153', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p90RSK(T573)')	-1.3601	-0.25342
(' 154', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-AKT(T308)')	-7.1828	0.63035
(' 155', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-AKT(S473)')	-4.982	0.56557
(' 156', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-mTOR(S2448)')	-1.5929	-0.36502
(' 157', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	0.058933	0.14932
(' 158', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p70S6K(T389)')	6.39	1.3971
(' 159', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-S6(S235/236)')	5.555	0.61054
(' 160', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.86349	0.43362
(' 161', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-6.6611	0.32344
(' 162', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: Total c-Jun')	-3.033	-1.1349
(' 163', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-cJun(S63)')	-3.5848	-1.2995
(' 164', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-0.94057	-1.1438
(' 165', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-HSP27(S82)')	-1.4181	-2.1568
(' 166', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-NFKB(S536)')	2.3573	0.92111
(' 167', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: Bim')	-7.4998	-0.74041
(' 168', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: cPARP')	-4.0592	0.97754
(' 169', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-Histone H3(S10)')	2.0044	0.16239
(' 170', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p27 Kip1')	-6.8746	-0.98048
(' 171', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p90RSK(S380)')	4.4804	-2.2541
(' 172', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p90RSK(T573)')	4.714	-2.1568
(' 173', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-AKT(T308)')	0.95508	-0.37715
(' 174', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-AKT(S473)')	0.84621	-0.016377
(' 175', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-mTOR(S2448)')	6.0664	-2.8051
(' 176', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	6.8916	-1.468
(' 177', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p70S6K(T389)')	-0.17397	0.0313
(' 178', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-S6(S235/236)')	5.6444	0.3808
(' 179', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-AMPK(T172)')	0.70992	-0.068533
(' 180', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	0.13623	-1.7376
(' 181', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: Total c-Jun')	-2.6282	-1.6088
(' 182', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-cJun(S63)')	-3.64	-1.2827
(' 183', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	1.9171	-1.0117
(' 184', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-HSP27(S82)')	1.592	-1.556
(' 185', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-NFKB(S536)')	2.5079	1.0435
(' 186', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: Bim')	0.82671	-0.2018
(' 187', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: cPARP')	-3.3966	1.678
(' 188', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-Histone H3(S10)')	8.3851	1.6805
(' 189', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p27 Kip1')	-3.2043	-0.74402
(' 190', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p90RSK(S380)')	2.0759	1.6709
(' 191', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p90RSK(T573)')	1.9052	1.7758
(' 192', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-AKT(T308)')		
(' 193', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-AKT(S473)')	-0.35125	-0.10209
(' 194', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.60137	0.38921
(' 195', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	2.0935	0.12327
(' 196', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p70S6K(T389)')	1.2412	0.19064
(' 197', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-S6(S235/236)')	1.1236	0.46806
(' 198', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.20143	0.30636
(' 199', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.7608	1.2334
(' 200', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: Total c-Jun')	1.5565	0.49971
(' 201', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-cJun(S63)')	0.80995	0.17331
(' 202', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	1.9239	0.34877
(' 203', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.85558	0.62302
(' 204', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.64252	-0.10407
(' 205', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: Bim')	0.48026	0.28118
(' 206', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: cPARP')	0.47576	0.62894
(' 207', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.01678	0.17476
(' 208', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p27 Kip1')	0.40692	0.011839
