	('meanlog10(k) (a.u.) 0',)	('meantau(min) 1',)	('survivingFraction 2',)	('classificationAccuracy(theta_T) 3',)	('classificationAccuracy(fate boundary) 4',)
(' 10', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.1388	214.7516	0.45652	0.8354	0.65528
(' 11', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.1212	218.2456	0.51316	0.82895	0.67982
(' 12', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.4731	227.5857	0.72571	0.92	0.8
(' 13', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 50', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.711	138.0	0.4	0.68889	0.6
(' 14', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 50', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.8599	168.6667	0.27619	0.84286	0.74286
(' 15', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.4336	88.9362	0.059574	0.9078	0.91064
(' 16', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.42	90.1432	0.10132	0.89648	0.87225
(' 17', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.3367	68.5914	0.058065	0.88387	0.88172
(' 18', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-4.3408	69.2257	0.059308	0.89621	0.88138
(' 19', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-4.3807	78.5577	0.12019	0.83894	0.82212
(' 20', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 6')	-4.2233	51.3152	0.063492	0.88662	0.85034
(' 21', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.3381	67.51	0.045273	0.89348	0.86285
(' 22', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.2842	54.6429	0.064626	0.87415	0.83163
(' 23', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.2645	58.7068	0.045643	0.90595	0.8603
(' 24', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-4.3138	68.7177	0.081897	0.88147	0.86207
('Bortezomib 25', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 1', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.4341	491.0887	1.0	0.99194	0.96774
('Bortezomib 26', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 1', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.3155	468.523	0.96499	0.99344	0.91028
('Bortezomib 27', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 5', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.5599	416.4737	0.35789	0.94737	0.58947
('Bortezomib 28', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 5', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.5288	404.8037	0.065445	0.8377	0.38743
('Bortezomib 29', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 5', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.7908	469.2892	0.40686	0.88235	0.52941
('Bortezomib 30', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 7.5', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.3807	333.0821	0.011725	0.94807	0.44891
('Bortezomib 31', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 7.5', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.6903	426.8136	0.20842	0.91182	0.36673
('Bortezomib 32', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 50', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.8375	188.4868	0.0	1.0	0.89474
('Bortezomib 33', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 50', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.7627	163.3246	0.0	0.99474	0.97544
('Bortezomib 34', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.3102	66.9521	0.0	0.96986	0.90411
('Bortezomib 35', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.3721	81.7724	0.0018657	0.99067	0.94403
('Bortezomib 36', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.2489	57.607	0.0015848	0.97623	0.8336
('Bortezomib 37', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.3139	71.716	0.0	0.97284	0.94815
('ABT-263 38', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 1', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.4486	316.4894	0.95745	0.97872	0.82979
('ABT-263 39', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 1', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.5616	276.5333	0.96444	0.98667	0.87556
('ABT-263 40', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.213	240.5391	0.2487	0.91826	0.63304
('ABT-263 41', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.5264	262.3197	0.54191	0.88304	0.67641
('ABT-263 42', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.4651	247.7883	0.50734	0.92034	0.67505
('ABT-263 43', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 50', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.78	147.7273	0.12121	0.93939	0.78788
('ABT-263 44', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 50', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.8867	170.8451	0.16197	0.9108	0.78169
('ABT-263 45', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.3937	70.4229	0.016371	0.98363	0.90177
('ABT-263 46', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.289	57.5746	0.044776	0.9403	0.85634
('ABT-263 47', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.1694	41.8056	0.038889	0.93333	0.74722
('ABT-263 48', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.3007	54.065	0.013008	0.98211	0.80813
('ABT-263 49', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.2277	47.4504	0.017857	0.94643	0.7877
(' 50', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 2.5', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.5838	245.7329	0.7785	0.89251	0.83713
(' 51', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 2.5', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.9172	272.2074	0.81649	0.88032	0.82181
(' 52', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 5', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.3253	226.3964	0.69369	0.8979	0.77778
(' 53', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 5', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.6495	256.4691	0.74074	0.90123	0.83457
(' 54', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 5', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.5209	227.6629	0.75354	0.90935	0.80737
(' 55', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.4558	256.457	0.7351	0.86093	0.77815
(' 56', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.0636	184.1346	0.54167	0.8141	0.75321
(' 57', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.313	212.8518	0.63065	0.86432	0.75628
(' 58', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.2052	212.5904	0.65863	0.86345	0.76707
(' 59', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.7717	139.4757	0.44195	0.77528	0.66667
(' 60', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.1331	188.8499	0.47942	0.88378	0.76029
(' 61', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.105	190.0427	0.60399	0.84046	0.71225
