	('cellCount 0',)	('percentApoptoticCells 1',)
('355 36', 'recordedWell: C15', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 11.11111333')	659.0	32.777
('356 37', 'recordedWell: C15', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 11.11111333')	499.0	46.493
('357 38', 'recordedWell: C15', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 11.11111333')	513.0	22.222
('358 39', 'recordedWell: C16', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 33.33333333')	275.0	77.455
('359 40', 'recordedWell: C16', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 33.33333333')	311.0	75.884
('360 41', 'recordedWell: C16', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 33.33333333')	378.0	90.476
('361 42', 'recordedWell: C17', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.015243333')	561.0	21.212
('362 43', 'recordedWell: C17', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.015243333')	431.0	29.698
('363 44', 'recordedWell: C17', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.015243333')	290.0	40.345
('364 45', 'recordedWell: C18', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 33.33333333')	219.0	68.95
('365 46', 'recordedWell: C18', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 33.33333333')	247.0	78.947
('366 47', 'recordedWell: C18', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 33.33333333')	285.0	86.316
('367 48', 'recordedWell: C19', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.015243333')	503.0	33.598
('368 49', 'recordedWell: C19', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.015243333')	144.0	50.694
('369 50', 'recordedWell: C19', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.015243333')	195.0	38.974
('370 51', 'recordedWell: C20', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.00019')	597.0	35.176
('371 52', 'recordedWell: C20', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.00019')	235.0	48.936
('372 53', 'recordedWell: C20', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.00019')	162.0	41.975
('373 54', 'recordedWell: C21', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	354.0	37.288
('374 55', 'recordedWell: C21', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	284.0	38.028
('375 56', 'recordedWell: C21', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	235.0	30.213
('376 57', 'recordedWell: C22', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.00019')	229.0	56.769
('377 58', 'recordedWell: C22', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.00019')	104.0	52.885
('378 59', 'recordedWell: C22', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.00019')	139.0	41.727
('379 60', 'recordedWell: D03', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 33.33333333')	618.0	18.447
('380 61', 'recordedWell: D03', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 33.33333333')	653.0	45.176
('381 62', 'recordedWell: D03', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 33.33333333')	1078.0	59.926
('382 63', 'recordedWell: D04', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	532.0	41.541
('383 64', 'recordedWell: D04', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	242.0	61.57
('384 65', 'recordedWell: D04', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	243.0	43.621
('385 66', 'recordedWell: D05', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 33.33333333')	941.0	22.848
('386 67', 'recordedWell: D05', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 33.33333333')	807.0	41.14
('387 68', 'recordedWell: D05', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 33.33333333')	1020.0	61.176
('388 69', 'recordedWell: D06', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 33.33333333')	288.0	71.875
('389 70', 'recordedWell: D06', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 33.33333333')	197.0	42.132
('390 71', 'recordedWell: D06', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 33.33333333')	269.0	36.803
('391 72', 'recordedWell: D07', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.045726667')	946.0	6.1311
('392 73', 'recordedWell: D07', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.045726667')	2295.0	5.8824
('393 74', 'recordedWell: D07', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.045726667')	729.0	31.55
('394 75', 'recordedWell: D08', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 33.33333333')	281.0	64.057
('395 76', 'recordedWell: D08', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 33.33333333')	125.0	53.6
('396 77', 'recordedWell: D08', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 33.33333333')	264.0	23.106
('397 78', 'recordedWell: D09', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.045726667')	1071.0	4.2017
('398 79', 'recordedWell: D09', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.045726667')	2603.0	3.8033
('399 80', 'recordedWell: D09', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.045726667')	3295.0	10.197
('400 81', 'recordedWell: D10', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.045726667')	994.0	10.966
('401 82', 'recordedWell: D10', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.045726667')	991.0	26.539
('402 83', 'recordedWell: D10', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.045726667')	330.0	43.03
('403 84', 'recordedWell: D11', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	921.0	12.269
('404 85', 'recordedWell: D11', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1310.0	27.557
('405 86', 'recordedWell: D11', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	299.0	48.829
('406 87', 'recordedWell: D12', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.045726667')	1161.0	4.7373
('407 88', 'recordedWell: D12', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.045726667')	1331.0	23.065
('408 89', 'recordedWell: D12', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.045726667')	456.0	47.368
('409 90', 'recordedWell: D13', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	720.0	13.056
('410 91', 'recordedWell: D13', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	787.0	28.971
('411 92', 'recordedWell: D13', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	520.0	54.231
('412 93', 'recordedWell: D14', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	805.0	12.298
('413 94', 'recordedWell: D14', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	2733.0	6.7325
('414 95', 'recordedWell: D14', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	301.0	48.505
('415 96', 'recordedWell: D15', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	611.0	16.53
('416 97', 'recordedWell: D15', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	762.0	29.659
('417 98', 'recordedWell: D15', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	291.0	44.33
('418 99', 'recordedWell: D16', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	369.0	39.024
('419 100', 'recordedWell: D16', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	476.0	68.277
('420 101', 'recordedWell: D16', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	215.0	82.791
('421 102', 'recordedWell: D17', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	542.0	23.247
('422 103', 'recordedWell: D17', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	590.0	44.576
('423 104', 'recordedWell: D17', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	474.0	40.295
('424 105', 'recordedWell: D18', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	369.0	36.856
('425 106', 'recordedWell: D18', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	300.0	72.667
('426 107', 'recordedWell: D18', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	179.0	62.57
('427 108', 'recordedWell: D19', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	465.0	45.806
('428 109', 'recordedWell: D19', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	263.0	49.81
('429 110', 'recordedWell: D19', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	287.0	39.024
('430 111', 'recordedWell: D20', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	310.0	58.387
('431 112', 'recordedWell: D20', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	156.0	72.436
('432 113', 'recordedWell: D20', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	242.0	60.331
('433 114', 'recordedWell: D21', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	427.0	31.382
('434 115', 'recordedWell: D21', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	254.0	50.787
('435 116', 'recordedWell: D21', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	303.0	35.974
('436 117', 'recordedWell: D22', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	227.0	62.115
('437 118', 'recordedWell: D22', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	153.0	76.471
('438 119', 'recordedWell: D22', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	185.0	51.892
('439 120', 'recordedWell: E03', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	988.0	27.632
('440 121', 'recordedWell: E03', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	837.0	27.718
('441 122', 'recordedWell: E03', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	1063.0	14.299
('442 123', 'recordedWell: E04', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	357.0	59.104
('443 124', 'recordedWell: E04', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	243.0	58.848
('444 125', 'recordedWell: E04', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	191.0	43.455
('445 126', 'recordedWell: E05', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	726.0	34.848
('446 127', 'recordedWell: E05', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	265.0	44.906
('447 128', 'recordedWell: E05', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	417.0	25.659
('448 129', 'recordedWell: E06', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	707.0	26.167
('449 130', 'recordedWell: E06', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	428.0	66.355
('450 131', 'recordedWell: E06', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	139.0	94.964
('451 132', 'recordedWell: E07', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	1093.0	16.56
('452 133', 'recordedWell: E07', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	1054.0	21.252
('453 134', 'recordedWell: E07', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	237.0	38.397
('454 135', 'recordedWell: E08', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	480.0	25.625
('455 136', 'recordedWell: E08', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	368.0	63.587
('456 137', 'recordedWell: E08', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	182.0	95.055
('457 138', 'recordedWell: E09', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	883.0	26.954
('458 139', 'recordedWell: E09', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	1067.0	29.335
('459 140', 'recordedWell: E09', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	299.0	40.134
('460 141', 'recordedWell: E10', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	451.0	41.685
('461 142', 'recordedWell: E10', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	287.0	69.338
('462 143', 'recordedWell: E10', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	171.0	49.708
('463 144', 'recordedWell: E11', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1082.0	16.636
('464 145', 'recordedWell: E11', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	940.0	37.979
('465 146', 'recordedWell: E11', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	219.0	43.379
('466 147', 'recordedWell: E12', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	430.0	38.372
('467 148', 'recordedWell: E12', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	269.0	60.223
('468 149', 'recordedWell: E12', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	188.0	56.383
('469 150', 'recordedWell: E13', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	716.0	27.235
('470 151', 'recordedWell: E13', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	257.0	61.868
('471 152', 'recordedWell: E13', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	251.0	54.98
('472 153', 'recordedWell: E14', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	990.0	8.6869
('473 154', 'recordedWell: E14', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	2025.0	20.0
('474 155', 'recordedWell: E14', 'day_timepoint: 3', 'cell_clName: COLO-800', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	177.0	37.288
('475 156', 'recordedWell: E15', 'day_timepoint: 1', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	565.0	35.752
('476 157', 'recordedWell: E15', 'day_timepoint: 2', 'cell_clName: COLO-800', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	236.0	58.475
