	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCount 3',)	('meanNormalizedGrowthRateInhibitionValue 4',)
('482380 10', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	502.0	4012.0	0.12511	-0.39925
('482381 11', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	443.0	4012.0	0.11064	-0.44077
('482382 12', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	1961.0	4012.0	0.48897	0.32212
('482383 13', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	1692.0	4012.0	0.42236	0.21472
('482384 14', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	1453.0	4012.0	0.36224	0.11134
('482385 15', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	1184.0	4012.0	0.29506	-0.01318
('482386 16', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	993.0	4012.0	0.24768	-0.10801
('482387 17', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	617.0	4012.0	0.15447	-0.32253
('482388 18', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	1199.0	4012.0	0.29863	-0.0062934
('482389 19', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	1108.0	4012.0	0.27647	-0.049421
('482390 20', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	1030.0	4012.0	0.25696	-0.088815
('482391 21', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	1024.0	4012.0	0.25575	-0.092356
('482392 22', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	985.0	4012.0	0.24567	-0.11219
('482393 23', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	388.0	4012.0	0.096771	-0.48199
('482394 24', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	3745.0	4012.0	0.93339	0.92185
('482395 25', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	3886.0	4012.0	0.97004	0.96608
('482396 26', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	3825.0	4012.0	0.95436	0.94739
('482397 27', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	3953.0	4012.0	0.98661	0.98523
('482398 28', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	3843.0	4012.0	0.959	0.95276
('482399 29', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	2138.0	4012.0	0.53301	0.38967
('482400 30', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1209.0	4412.0	4203.0	1.0522	1.0586
('482401 31', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1209.0	4175.0	4203.0	0.9932	0.99203
('482402 32', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1209.0	4156.0	4203.0	0.98981	0.98925
('482403 33', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1209.0	3824.0	4203.0	0.91129	0.89907
('482404 34', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1209.0	3332.0	4203.0	0.79629	0.76195
('482405 35', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1209.0	1742.0	4203.0	0.41458	0.22437
('482406 36', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1209.0	3813.0	4203.0	0.90881	0.89718
('482407 37', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1209.0	3746.0	4203.0	0.89056	0.87356
('482408 38', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1209.0	3529.0	4203.0	0.83988	0.8145
('482409 39', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1209.0	3699.0	4203.0	0.88203	0.86562
('482410 40', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1209.0	3762.0	4203.0	0.89661	0.88285
('482411 41', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1209.0	2778.0	4203.0	0.6601	0.58572
('482412 42', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	673.0	4012.0	0.16824	-0.28721
('482413 43', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	624.0	4012.0	0.1556	-0.31842
('482414 44', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	643.0	4012.0	0.16021	-0.30668
('482415 45', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	652.0	4012.0	0.16281	-0.30064
('482416 46', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	694.0	4012.0	0.17314	-0.27519
('482417 47', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	679.0	4012.0	0.16999	-0.28383
('482418 48', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	2523.0	4012.0	0.62953	0.53037
('482419 49', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	1614.0	4012.0	0.40234	0.18096
('482420 50', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	1487.0	4012.0	0.37037	0.12549
('482421 51', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	1367.0	4012.0	0.34077	0.07273
('482422 52', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	1310.0	4012.0	0.32705	0.047512
('482423 53', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	1812.0	4012.0	0.45422	0.26458
('482424 54', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1209.0	3957.0	4203.0	0.94123	0.93337
('482425 55', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1209.0	3723.0	4203.0	0.88688	0.87047
('482426 56', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1209.0	2153.0	4203.0	0.51249	0.37793
('482427 57', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1209.0	1448.0	4203.0	0.34569	0.10637
('482428 58', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1209.0	1316.0	4203.0	0.31357	0.048
('482429 59', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1209.0	569.0	4203.0	0.1358	-0.34301
('482430 60', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	3074.0	4012.0	0.76588	0.7136
('482431 61', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	2824.0	4012.0	0.70384	0.63205
('482432 62', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	2441.0	4012.0	0.60824	0.49963
('482433 63', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	2215.0	4012.0	0.55148	0.41674
('482434 64', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	1982.0	4012.0	0.49383	0.32914
('482435 65', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	958.0	4012.0	0.2393	-0.12583
('482436 66', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1209.0	4320.0	4012.0	1.0763	1.0866
('482437 67', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1209.0	3908.0	4012.0	0.9731	0.96763
('482438 68', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1209.0	4185.0	4012.0	1.0435	1.05
('482439 69', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1209.0	4174.0	4012.0	1.0404	1.0464
('482440 70', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1209.0	3307.0	4012.0	0.82049	0.77586
('482441 71', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1209.0	170.0	4012.0	0.042222	-0.68061
('482442 72', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1209.0	3690.0	4203.0	0.87612	0.85518
('482443 73', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1209.0	3310.0	4203.0	0.78676	0.74883
('482444 74', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1209.0	2753.0	4203.0	0.65628	0.5821
('482445 75', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1209.0	1594.0	4203.0	0.37999	0.16635
('482446 76', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1209.0	1390.0	4203.0	0.33152	0.080945
