	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('Methotrexate 15', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	99.3333	200.0833	0.49205	0.097763
('Methotrexate 16', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	119.6667	200.0833	0.54823	0.15336
('Methotrexate 17', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	105.3333	200.0833	0.54194	0.20606
('Taxol 18', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.00016596', 'replicate: 1')	156.25	76.0833	242.3333	200.0833	1.2159	1.316
('Taxol 19', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.00033113', 'replicate: 1')	156.25	76.0833	180.0	200.0833	0.95765	1.003
('Taxol 20', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.001', 'replicate: 1')	156.25	76.0833	117.0	200.0833	0.64009	0.4406
('Taxol 21', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0031623', 'replicate: 1')	156.25	76.0833	97.3333	200.0833	0.47479	0.064013
('Taxol 22', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	68.0	200.0833	0.34256	-0.16731
('Taxol 23', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	65.6667	200.0833	0.31046	-0.23337
('Taxol 24', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	57.0	200.0833	0.29043	-0.27179
('Taxol 25', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	64.6667	200.0833	0.30231	-0.25597
('Taxol 26', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	72.6667	200.0833	0.38423	-0.090376
('Etoposide 27', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	264.6667	202.4167	1.3079	1.4219
('Etoposide 28', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	239.3333	202.4167	1.1795	1.2429
('Etoposide 29', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	202.0	202.4167	1.0086	1.0231
('Etoposide 30', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	202.6667	202.4167	0.99947	0.97189
('Etoposide 31', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	156.0	202.4167	0.76828	0.65285
('Etoposide 32', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	75.3333	202.4167	0.37363	-0.0074681
('Etoposide 33', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	72.3333	202.4167	0.35945	-0.035416
('Etoposide 34', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	52.6667	202.4167	0.26005	-0.23314
('Etoposide 35', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	156.25	76.0833	56.3333	202.4167	0.27823	-0.19571
('Nilotinib 36', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	267.0	202.4167	1.3202	1.4236
('Nilotinib 37', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	212.6667	202.4167	1.0536	1.0786
('Nilotinib 38', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	243.6667	202.4167	1.1987	1.2663
('Nilotinib 39', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	136.0	202.4167	0.6746	0.51191
('Nilotinib 40', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	233.3333	202.4167	1.1627	1.2377
('Nilotinib 41', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	239.3333	202.4167	1.183	1.2554
('Nilotinib 42', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	218.6667	202.4167	1.0849	1.1249
('Nilotinib 43', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	704.0	202.4167	3.5055	3.9501
('Nilotinib 44', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	156.25	76.0833	2567.0	202.4167	12.8374	11.7293
('PLX-4720 45', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	154.0	202.4167	0.75347	0.62142
('PLX-4720 46', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	198.6667	202.4167	0.98387	0.97617
('PLX-4720 47', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	226.6667	202.4167	1.1395	1.2111
('PLX-4720 48', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	207.3333	202.4167	1.0406	1.0624
('PLX-4720 49', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	211.6667	202.4167	1.0499	1.0759
('PLX-4720 50', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	242.3333	202.4167	1.1945	1.2637
('PLX-4720 51', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	213.0	202.4167	1.0497	1.0659
('PLX-4720 52', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	191.6667	202.4167	0.93905	0.89495
('PLX-4720 53', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	156.25	76.0833	122.3333	202.4167	0.6062	0.39631
('NVP-TAE684 54', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	156.25	76.0833	239.3333	202.4167	1.1713	1.2117
('NVP-TAE684 55', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	297.6667	202.4167	1.4759	1.6455
('NVP-TAE684 56', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	228.0	202.4167	1.1243	1.1628
('NVP-TAE684 57', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	222.3333	202.4167	1.0893	1.1072
('NVP-TAE684 58', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	220.3333	202.4167	1.0868	1.1123
('NVP-TAE684 59', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	194.0	202.4167	0.96717	0.96092
('NVP-TAE684 60', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	110.0	202.4167	0.54131	0.28904
('NVP-TAE684 61', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	48.0	202.4167	0.24013	-0.28357
('NVP-TAE684 62', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	35.3333	202.4167	0.17292	-0.42923
('Palbociclib 63', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	182.3333	200.0833	0.96965	1.0944
('Palbociclib 64', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	198.0	200.0833	0.93147	0.79169
('Palbociclib 65', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	176.6667	200.0833	0.83355	0.64749
('Palbociclib 66', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	171.0	200.0833	0.80466	0.58851
('Palbociclib 67', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	130.6667	200.0833	0.58478	0.19566
('Palbociclib 68', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	94.6667	200.0833	0.46728	0.053131
('Palbociclib 69', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	93.3333	200.0833	0.4446	0.0087555
('Palbociclib 70', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	80.6667	200.0833	0.39688	-0.073171
('Palbociclib 71', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	156.25	76.0833	152.0	200.0833	0.92835	1.1765
('GSK2126458 72', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	312.5	222.1667	512.3333	550.0	0.93754	0.9105
('GSK2126458 73', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	462.3333	550.0	0.8358	0.72443
('GSK2126458 74', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	416.0	550.0	0.76188	0.61762
('GSK2126458 75', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	288.0	550.0	0.51783	0.18849
('GSK2126458 76', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	176.3333	550.0	0.32075	-0.17478
('GSK2126458 77', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	169.0	550.0	0.30564	-0.20541
('GSK2126458 78', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	148.3333	550.0	0.27149	-0.27614
('GSK2126458 79', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	133.0	550.0	0.24263	-0.33482
('GSK2126458 80', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	93.0	550.0	0.16848	-0.49666
('Methotrexate 81', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	312.5	222.1667	644.3333	550.0	1.1635	1.2389
('Methotrexate 82', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	636.6667	550.0	1.1545	1.2343
('Methotrexate 83', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	541.3333	550.0	0.96832	0.92107
('Methotrexate 84', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	544.3333	550.0	0.99027	0.98254
('Methotrexate 85', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	362.6667	550.0	0.67072	0.47087
('Methotrexate 86', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	341.0	550.0	0.61868	0.37109
('Methotrexate 87', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	278.6667	550.0	0.50985	0.18463
('Methotrexate 88', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	271.0	550.0	0.4817	0.11603
('Methotrexate 89', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	306.3333	550.0	0.5533	0.25519
('Taxol 90', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.00016596', 'replicate: 1')	312.5	222.1667	523.0	550.0	0.96723	0.97414
('Taxol 91', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.00033113', 'replicate: 1')	312.5	222.1667	423.3333	550.0	0.79014	0.68859
('Taxol 92', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.001', 'replicate: 1')	312.5	222.1667	332.3333	550.0	0.61283	0.36757
('Taxol 93', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0031623', 'replicate: 1')	312.5	222.1667	287.6667	550.0	0.52171	0.20161
('Taxol 94', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	141.0	550.0	0.25725	-0.30439
('Taxol 95', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	144.0	550.0	0.26119	-0.29708
('Taxol 96', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	156.0	550.0	0.28293	-0.25093
('Taxol 97', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	166.6667	550.0	0.30061	-0.21568
('Taxol 98', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	157.3333	550.0	0.28794	-0.24166
('Etoposide 99', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	713.0	682.0833	1.054	1.0732
('Etoposide 100', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	790.0	682.0833	1.1669	1.2098
('Etoposide 101', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	725.6667	682.0833	1.0752	1.1006
('Etoposide 102', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	705.3333	682.0833	1.0459	1.0599
('Etoposide 103', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	485.3333	682.0833	0.72427	0.63878
('Etoposide 104', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	298.3333	682.0833	0.44139	0.20194
('Etoposide 105', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	245.6667	682.0833	0.36388	0.063149
('Etoposide 106', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	187.3333	682.0833	0.27641	-0.10214
('Etoposide 107', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	312.5	222.1667	216.3333	682.0833	0.31911	-0.018012
('Nilotinib 108', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	839.0	682.0833	1.2272	1.2668
('Nilotinib 109', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	782.6667	682.0833	1.1444	1.1722
('Nilotinib 110', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	794.3333	682.0833	1.1705	1.2103
('Nilotinib 111', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	778.0	682.0833	1.1416	1.1729
('Nilotinib 112', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	744.6667	682.0833	1.0965	1.1228
('Nilotinib 113', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	786.6667	682.0833	1.1556	1.1914
('Nilotinib 114', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	619.6667	682.0833	0.90443	0.87256
('Nilotinib 115', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	744.3333	682.0833	1.0967	1.1236
('Nilotinib 116', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	312.5	222.1667	2138.6667	682.0833	3.1838	3.1654
('PLX-4720 117', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	763.6667	682.0833	1.121	1.1493
('PLX-4720 118', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	814.0	682.0833	1.1826	1.2072
