	('averageVIPScore 0',)
('191376 64', 'clName: C32', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.2768
('191377 65', 'clName: C32', 'timePoint: 24', 'variable: p-AMPK(T172)')	-1.0207
('191378 66', 'clName: C32', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-0.44703
('191379 67', 'clName: C32', 'timePoint: 24', 'variable: Total c-Jun')	1.3417
('191380 68', 'clName: C32', 'timePoint: 24', 'variable: p-cJun(S63)')	
('191381 69', 'clName: C32', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-0.76311
('191382 70', 'clName: C32', 'timePoint: 24', 'variable: p-HSP27(S82)')	
('191383 71', 'clName: C32', 'timePoint: 24', 'variable: p-NFKB(S536)')	-0.16232
('191384 72', 'clName: C32', 'timePoint: 24', 'variable: Bim')	-1.5588
('191385 73', 'clName: C32', 'timePoint: 24', 'variable: cPARP')	-1.0029
('191386 74', 'clName: C32', 'timePoint: 24', 'variable: p-Histone H3(S10)')	1.0116
('191387 75', 'clName: C32', 'timePoint: 24', 'variable: p27 Kip1')	-1.7921
('191388 76', 'clName: C32', 'timePoint: 48', 'variable: p-p90RSK(S380)')	
('191389 77', 'clName: C32', 'timePoint: 48', 'variable: p-p90RSK(T573)')	-0.68196
('191390 78', 'clName: C32', 'timePoint: 48', 'variable: p-AKT(T308)')	-2.0676
('191391 79', 'clName: C32', 'timePoint: 48', 'variable: p-AKT(S473)')	0.87427
('191392 80', 'clName: C32', 'timePoint: 48', 'variable: p-mTOR(S2448)')	
('191393 81', 'clName: C32', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.3193
('191394 82', 'clName: C32', 'timePoint: 48', 'variable: p-p70S6K(T389)')	
('191395 83', 'clName: C32', 'timePoint: 48', 'variable: p-S6(S235/236)')	0.94756
('191396 84', 'clName: C32', 'timePoint: 48', 'variable: p-AMPK(T172)')	-2.4355
('191397 85', 'clName: C32', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-0.47751
('191398 86', 'clName: C32', 'timePoint: 48', 'variable: Total c-Jun')	0.65195
('191399 87', 'clName: C32', 'timePoint: 48', 'variable: p-cJun(S63)')	
('191400 88', 'clName: C32', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	-1.2007
('191401 89', 'clName: C32', 'timePoint: 48', 'variable: p-HSP27(S82)')	
('191402 90', 'clName: C32', 'timePoint: 48', 'variable: p-NFKB(S536)')	0.89789
('191403 91', 'clName: C32', 'timePoint: 48', 'variable: Bim')	-2.0912
('191404 92', 'clName: C32', 'timePoint: 48', 'variable: cPARP')	-2.7212
('191405 93', 'clName: C32', 'timePoint: 48', 'variable: p-Histone H3(S10)')	1.8878
('191406 94', 'clName: C32', 'timePoint: 48', 'variable: p27 Kip1')	-2.1425
('191407 95', 'clName: COLO 858', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.84691
('191408 96', 'clName: COLO 858', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.89866
('191409 97', 'clName: COLO 858', 'timePoint: 1', 'variable: p-AKT(T308)')	0.75851
('191410 98', 'clName: COLO 858', 'timePoint: 1', 'variable: p-AKT(S473)')	
('191411 99', 'clName: COLO 858', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.63295
('191412 100', 'clName: COLO 858', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.86383
('191413 101', 'clName: COLO 858', 'timePoint: 1', 'variable: p-p70S6K(T389)')	
('191414 102', 'clName: COLO 858', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.33607
('191415 103', 'clName: COLO 858', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.3059
('191416 104', 'clName: COLO 858', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.76476
('191417 105', 'clName: COLO 858', 'timePoint: 1', 'variable: Total c-Jun')	0.80793
('191418 106', 'clName: COLO 858', 'timePoint: 1', 'variable: p-cJun(S63)')	0.59998
('191419 107', 'clName: COLO 858', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	1.2019
('191420 108', 'clName: COLO 858', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.69943
('191421 109', 'clName: COLO 858', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.58301
('191422 110', 'clName: COLO 858', 'timePoint: 1', 'variable: Bim')	0.65979
('191423 111', 'clName: COLO 858', 'timePoint: 1', 'variable: cPARP')	0.39988
('191424 112', 'clName: COLO 858', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.19602
('191425 113', 'clName: COLO 858', 'timePoint: 1', 'variable: p27 Kip1')	0.17306
('191426 114', 'clName: COLO 858', 'timePoint: 5', 'variable: p-p90RSK(S380)')	
('191427 115', 'clName: COLO 858', 'timePoint: 5', 'variable: p-p90RSK(T573)')	
('191428 116', 'clName: COLO 858', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.90247
('191429 117', 'clName: COLO 858', 'timePoint: 5', 'variable: p-AKT(S473)')	-1.0409
('191430 118', 'clName: COLO 858', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-1.0187
('191431 119', 'clName: COLO 858', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.54722
('191432 120', 'clName: COLO 858', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('191433 121', 'clName: COLO 858', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.65771
('191434 122', 'clName: COLO 858', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.32007
('191435 123', 'clName: COLO 858', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-0.80949
('191436 124', 'clName: COLO 858', 'timePoint: 5', 'variable: Total c-Jun')	-0.22071
('191437 125', 'clName: COLO 858', 'timePoint: 5', 'variable: p-cJun(S63)')	-0.40755
('191438 126', 'clName: COLO 858', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.24703
('191439 127', 'clName: COLO 858', 'timePoint: 5', 'variable: p-HSP27(S82)')	
('191440 128', 'clName: COLO 858', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.41318
('191441 129', 'clName: COLO 858', 'timePoint: 5', 'variable: Bim')	-0.72585
('191442 130', 'clName: COLO 858', 'timePoint: 5', 'variable: cPARP')	-0.68373
('191443 131', 'clName: COLO 858', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.51744
('191444 132', 'clName: COLO 858', 'timePoint: 5', 'variable: p27 Kip1')	-0.3912
('191445 133', 'clName: COLO 858', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.0813
('191446 134', 'clName: COLO 858', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.71089
('191447 135', 'clName: COLO 858', 'timePoint: 10', 'variable: p-AKT(T308)')	0.47347
('191448 136', 'clName: COLO 858', 'timePoint: 10', 'variable: p-AKT(S473)')	
('191449 137', 'clName: COLO 858', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.50348
('191450 138', 'clName: COLO 858', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	0.8483
('191451 139', 'clName: COLO 858', 'timePoint: 10', 'variable: p-p70S6K(T389)')	
('191452 140', 'clName: COLO 858', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.5274
('191453 141', 'clName: COLO 858', 'timePoint: 10', 'variable: p-AMPK(T172)')	0.64494
('191454 142', 'clName: COLO 858', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.49441
('191455 143', 'clName: COLO 858', 'timePoint: 10', 'variable: Total c-Jun')	
('191456 144', 'clName: COLO 858', 'timePoint: 10', 'variable: p-cJun(S63)')	
('191457 145', 'clName: COLO 858', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.57024
('191458 146', 'clName: COLO 858', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.62454
('191459 147', 'clName: COLO 858', 'timePoint: 10', 'variable: p-NFKB(S536)')	1.9888
('191460 148', 'clName: COLO 858', 'timePoint: 10', 'variable: Bim')	-0.23495
('191461 149', 'clName: COLO 858', 'timePoint: 10', 'variable: cPARP')	
('191462 150', 'clName: COLO 858', 'timePoint: 10', 'variable: p-Histone H3(S10)')	
('191463 151', 'clName: COLO 858', 'timePoint: 10', 'variable: p27 Kip1')	-0.3484
('191464 152', 'clName: COLO 858', 'timePoint: 24', 'variable: p-p90RSK(S380)')	-0.38937
('191465 153', 'clName: COLO 858', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('191466 154', 'clName: COLO 858', 'timePoint: 24', 'variable: p-AKT(T308)')	-1.4793
('191467 155', 'clName: COLO 858', 'timePoint: 24', 'variable: p-AKT(S473)')	-0.93153
('191468 156', 'clName: COLO 858', 'timePoint: 24', 'variable: p-mTOR(S2448)')	-0.79573
('191469 157', 'clName: COLO 858', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	0.23993
('191470 158', 'clName: COLO 858', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
('191471 159', 'clName: COLO 858', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.4411
('191472 160', 'clName: COLO 858', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.47678
('191473 161', 'clName: COLO 858', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-1.7943
('191474 162', 'clName: COLO 858', 'timePoint: 24', 'variable: Total c-Jun')	-1.4354
('191475 163', 'clName: COLO 858', 'timePoint: 24', 'variable: p-cJun(S63)')	-1.5487
('191476 164', 'clName: COLO 858', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-0.59726
('191477 165', 'clName: COLO 858', 'timePoint: 24', 'variable: p-HSP27(S82)')	-0.63952
('191478 166', 'clName: COLO 858', 'timePoint: 24', 'variable: p-NFKB(S536)')	0.80521
('191479 167', 'clName: COLO 858', 'timePoint: 24', 'variable: Bim')	-1.9096
('191480 168', 'clName: COLO 858', 'timePoint: 24', 'variable: cPARP')	-1.5126
('191481 169', 'clName: COLO 858', 'timePoint: 24', 'variable: p-Histone H3(S10)')	1.2678
('191482 170', 'clName: COLO 858', 'timePoint: 24', 'variable: p27 Kip1')	-2.0272
('191483 171', 'clName: COLO 858', 'timePoint: 48', 'variable: p-p90RSK(S380)')	
('191484 172', 'clName: COLO 858', 'timePoint: 48', 'variable: p-p90RSK(T573)')	0.99705
('191485 173', 'clName: COLO 858', 'timePoint: 48', 'variable: p-AKT(T308)')	
('191486 174', 'clName: COLO 858', 'timePoint: 48', 'variable: p-AKT(S473)')	
('191487 175', 'clName: COLO 858', 'timePoint: 48', 'variable: p-mTOR(S2448)')	
('191488 176', 'clName: COLO 858', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.9582
('191489 177', 'clName: COLO 858', 'timePoint: 48', 'variable: p-p70S6K(T389)')	-1.0544
('191490 178', 'clName: COLO 858', 'timePoint: 48', 'variable: p-S6(S235/236)')	0.87001
('191491 179', 'clName: COLO 858', 'timePoint: 48', 'variable: p-AMPK(T172)')	
('191492 180', 'clName: COLO 858', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	
('191493 181', 'clName: COLO 858', 'timePoint: 48', 'variable: Total c-Jun')	-1.4025
('191494 182', 'clName: COLO 858', 'timePoint: 48', 'variable: p-cJun(S63)')	-1.6239
('191495 183', 'clName: COLO 858', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	
('191496 184', 'clName: COLO 858', 'timePoint: 48', 'variable: p-HSP27(S82)')	
('191497 185', 'clName: COLO 858', 'timePoint: 48', 'variable: p-NFKB(S536)')	0.77663
('191498 186', 'clName: COLO 858', 'timePoint: 48', 'variable: Bim')	
('191499 187', 'clName: COLO 858', 'timePoint: 48', 'variable: cPARP')	-1.2988
('191500 188', 'clName: COLO 858', 'timePoint: 48', 'variable: p-Histone H3(S10)')	2.1972
('191501 189', 'clName: COLO 858', 'timePoint: 48', 'variable: p27 Kip1')	-1.3451
('191502 190', 'clName: K2', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.55581
('191503 191', 'clName: K2', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.42261
('191504 192', 'clName: K2', 'timePoint: 1', 'variable: p-AKT(T308)')	0.55656
('191505 193', 'clName: K2', 'timePoint: 1', 'variable: p-AKT(S473)')	-0.19537
('191506 194', 'clName: K2', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.33846
('191507 195', 'clName: K2', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.65733
('191508 196', 'clName: K2', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.34604
('191509 197', 'clName: K2', 'timePoint: 1', 'variable: p-S6(S235/236)')	
('191510 198', 'clName: K2', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.22097
('191511 199', 'clName: K2', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.51643
('191512 200', 'clName: K2', 'timePoint: 1', 'variable: Total c-Jun')	0.43366
('191513 201', 'clName: K2', 'timePoint: 1', 'variable: p-cJun(S63)')	0.2854
('191514 202', 'clName: K2', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.54415
('191515 203', 'clName: K2', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.25698
('191516 204', 'clName: K2', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.69767
('191517 205', 'clName: K2', 'timePoint: 1', 'variable: Bim')	
('191518 206', 'clName: K2', 'timePoint: 1', 'variable: cPARP')	0.24549
('191519 207', 'clName: K2', 'timePoint: 1', 'variable: p-Histone H3(S10)')	
('191520 208', 'clName: K2', 'timePoint: 1', 'variable: p27 Kip1')	0.10019
('191521 209', 'clName: K2', 'timePoint: 5', 'variable: p-p90RSK(S380)')	
('191522 210', 'clName: K2', 'timePoint: 5', 'variable: p-p90RSK(T573)')	
('191523 211', 'clName: K2', 'timePoint: 5', 'variable: p-AKT(T308)')	1.0187
('191524 212', 'clName: K2', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.53378
('191525 213', 'clName: K2', 'timePoint: 5', 'variable: p-mTOR(S2448)')	
('191526 214', 'clName: K2', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.40054
('191527 215', 'clName: K2', 'timePoint: 5', 'variable: p-p70S6K(T389)')	0.69697
('191528 216', 'clName: K2', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.56096
('191529 217', 'clName: K2', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.69477
('191530 218', 'clName: K2', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('191531 219', 'clName: K2', 'timePoint: 5', 'variable: Total c-Jun')	0.97545
('191532 220', 'clName: K2', 'timePoint: 5', 'variable: p-cJun(S63)')	0.60521
('191533 221', 'clName: K2', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	
('191534 222', 'clName: K2', 'timePoint: 5', 'variable: p-HSP27(S82)')	-0.30678
('191535 223', 'clName: K2', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.6853
('191536 224', 'clName: K2', 'timePoint: 5', 'variable: Bim')	-0.60094
('191537 225', 'clName: K2', 'timePoint: 5', 'variable: cPARP')	-0.49113
('191538 226', 'clName: K2', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.35441
('191539 227', 'clName: K2', 'timePoint: 5', 'variable: p27 Kip1')	-0.29404
('191540 228', 'clName: K2', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.1152
('191541 229', 'clName: K2', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.78331
('191542 230', 'clName: K2', 'timePoint: 10', 'variable: p-AKT(T308)')	1.2519
('191543 231', 'clName: K2', 'timePoint: 10', 'variable: p-AKT(S473)')	-0.67104
('191544 232', 'clName: K2', 'timePoint: 10', 'variable: p-mTOR(S2448)')	1.1151
('191545 233', 'clName: K2', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.3395
('191546 234', 'clName: K2', 'timePoint: 10', 'variable: p-p70S6K(T389)')	1.2487
('191547 235', 'clName: K2', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.4936
('191548 236', 'clName: K2', 'timePoint: 10', 'variable: p-AMPK(T172)')	0.75776
('191549 237', 'clName: K2', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	1.0753
('191550 238', 'clName: K2', 'timePoint: 10', 'variable: Total c-Jun')	1.3454
('191551 239', 'clName: K2', 'timePoint: 10', 'variable: p-cJun(S63)')	1.1284
('191552 240', 'clName: K2', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.60218
('191553 241', 'clName: K2', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.4945
('191554 242', 'clName: K2', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.49598
('191555 243', 'clName: K2', 'timePoint: 10', 'variable: Bim')	-0.18648
('191556 244', 'clName: K2', 'timePoint: 10', 'variable: cPARP')	0.75419
('191557 245', 'clName: K2', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.23635
('191558 246', 'clName: K2', 'timePoint: 10', 'variable: p27 Kip1')	-0.48401
('191559 247', 'clName: K2', 'timePoint: 24', 'variable: p-p90RSK(S380)')	
('191560 248', 'clName: K2', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('191561 249', 'clName: K2', 'timePoint: 24', 'variable: p-AKT(T308)')	0.99821
('191562 250', 'clName: K2', 'timePoint: 24', 'variable: p-AKT(S473)')	-1.4107
('191563 251', 'clName: K2', 'timePoint: 24', 'variable: p-mTOR(S2448)')	
('191564 252', 'clName: K2', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-0.71005
('191565 253', 'clName: K2', 'timePoint: 24', 'variable: p-p70S6K(T389)')	1.1223
('191566 254', 'clName: K2', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.4344
('191567 255', 'clName: K2', 'timePoint: 24', 'variable: p-AMPK(T172)')	0.43714
('191568 256', 'clName: K2', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	
('191569 257', 'clName: K2', 'timePoint: 24', 'variable: Total c-Jun')	
('191570 258', 'clName: K2', 'timePoint: 24', 'variable: p-cJun(S63)')	-0.32196
('191571 259', 'clName: K2', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	
('191572 260', 'clName: K2', 'timePoint: 24', 'variable: p-HSP27(S82)')	-1.0721
('191573 261', 'clName: K2', 'timePoint: 24', 'variable: p-NFKB(S536)')	-1.319
('191574 262', 'clName: K2', 'timePoint: 24', 'variable: Bim')	-1.1621
('191575 263', 'clName: K2', 'timePoint: 24', 'variable: cPARP')	-1.399
('191576 264', 'clName: K2', 'timePoint: 24', 'variable: p-Histone H3(S10)')	0.97109
('191577 265', 'clName: K2', 'timePoint: 24', 'variable: p27 Kip1')	-1.7021
('191578 266', 'clName: K2', 'timePoint: 48', 'variable: p-p90RSK(S380)')	
('191579 267', 'clName: K2', 'timePoint: 48', 'variable: p-p90RSK(T573)')	
('191580 268', 'clName: K2', 'timePoint: 48', 'variable: p-AKT(T308)')	0.70166
('191581 269', 'clName: K2', 'timePoint: 48', 'variable: p-AKT(S473)')	-1.9519
('191582 270', 'clName: K2', 'timePoint: 48', 'variable: p-mTOR(S2448)')	
('191583 271', 'clName: K2', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	-1.2344
('191584 272', 'clName: K2', 'timePoint: 48', 'variable: p-p70S6K(T389)')	
('191585 273', 'clName: K2', 'timePoint: 48', 'variable: p-S6(S235/236)')	1.0672
('191586 274', 'clName: K2', 'timePoint: 48', 'variable: p-AMPK(T172)')	-1.3326
('191587 275', 'clName: K2', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	
('191588 276', 'clName: K2', 'timePoint: 48', 'variable: Total c-Jun')	-1.0968
('191589 277', 'clName: K2', 'timePoint: 48', 'variable: p-cJun(S63)')	-1.8839
('191590 278', 'clName: K2', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	
('191591 279', 'clName: K2', 'timePoint: 48', 'variable: p-HSP27(S82)')	-1.8686
('191592 280', 'clName: K2', 'timePoint: 48', 'variable: p-NFKB(S536)')	-1.749
('191593 281', 'clName: K2', 'timePoint: 48', 'variable: Bim')	-1.0357
('191594 282', 'clName: K2', 'timePoint: 48', 'variable: cPARP')	-1.6829
('191595 283', 'clName: K2', 'timePoint: 48', 'variable: p-Histone H3(S10)')	1.8236
('191596 284', 'clName: K2', 'timePoint: 48', 'variable: p27 Kip1')	-1.9515
('191597 285', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.79999
('191598 286', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-p90RSK(T573)')	
('191599 287', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-AKT(T308)')	-0.27996
('191600 288', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-AKT(S473)')	-1.2123
('191601 289', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-mTOR(S2448)')	
('191602 290', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.3106
('191603 291', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.5316
('191604 292', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.19297
('191605 293', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-AMPK(T172)')	
('191606 294', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.1096
('191607 295', 'clName: LOXIMVI', 'timePoint: 1', 'variable: Total c-Jun')	0.45006
('191608 296', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-cJun(S63)')	
('191609 297', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	2.3337
('191610 298', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-HSP27(S82)')	1.0195
('191611 299', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-NFKB(S536)')	1.0274
('191612 300', 'clName: LOXIMVI', 'timePoint: 1', 'variable: Bim')	0.56722
('191613 301', 'clName: LOXIMVI', 'timePoint: 1', 'variable: cPARP')	
