	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('(R)- Roscovitine 10', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J03')	1209.0	3208.0	4252.0	0.75433	0.71211
('(R)- Roscovitine 11', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J03')	1209.0	3577.0	4376.0	0.81739	0.79401
('(R)- Roscovitine 12', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J02')	1209.0	2963.0	3980.0	0.74446	0.6844
('(R)- Roscovitine 13', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J02')	1209.0	3003.0	4252.0	0.70613	0.6509
('(R)- Roscovitine 14', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J02')	1209.0	3083.0	4376.0	0.7045	0.6559
('(R)- Roscovitine 15', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J01')	1209.0	1119.0	3980.0	0.28115	-0.044278
('(R)- Roscovitine 16', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J01')	1209.0	1273.0	4252.0	0.29933	0.028584
('(R)- Roscovitine 17', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J01')	1209.0	1277.0	4376.0	0.29181	0.029679
('AT-7519 18', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K06')	1209.0	1413.0	3823.0	0.36961	0.098162
('AT-7519 19', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K06')	1209.0	1892.0	4093.0	0.46216	0.28961
('AT-7519 20', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K06')	1209.0	1843.0	4121.0	0.4472	0.26886
('AT-7519 21', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K05')	1209.0	519.0	3823.0	0.13576	-0.39928
('AT-7519 22', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K05')	1209.0	721.0	4093.0	0.17612	-0.25482
('AT-7519 23', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K05')	1209.0	719.0	4121.0	0.17446	-0.2548
('AT-7519 24', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K04')	1209.0	572.0	3823.0	0.14962	-0.36305
('AT-7519 25', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K04')	1209.0	608.0	4093.0	0.14852	-0.32365
('AT-7519 26', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K04')	1209.0	634.0	4121.0	0.15384	-0.30597
('AT-7519 27', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K03')	1209.0	534.0	3823.0	0.13968	-0.38889
('AT-7519 28', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K03')	1209.0	549.0	4093.0	0.1341	-0.36178
('AT-7519 29', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K03')	1209.0	691.0	4121.0	0.16767	-0.27135
('AT-7519 30', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K02')	1209.0	450.0	3823.0	0.11771	-0.44875
('AT-7519 31', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K02')	1209.0	558.0	4093.0	0.1363	-0.35585
('AT-7519 32', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K02')	1209.0	500.0	4121.0	0.12132	-0.39316
('AT-7519 33', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K01')	1209.0	431.0	3823.0	0.11274	-0.46288
('AT-7519 34', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K01')	1209.0	492.0	4093.0	0.12018	-0.40034
('AT-7519 35', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K01')	1209.0	408.0	4121.0	0.099	-0.45907
('AZD7762 36', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L06')	1209.0	1898.0	3823.0	0.49647	0.31177
('AZD7762 37', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L06')	1209.0	2009.0	4093.0	0.49074	0.33436
('AZD7762 38', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L06')	1209.0	1977.0	4121.0	0.47971	0.32023
('AZD7762 39', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L05')	1209.0	1705.0	3823.0	0.44598	0.22972
('AZD7762 40', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L05')	1209.0	1640.0	4093.0	0.4006	0.18896
('AZD7762 41', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L05')	1209.0	1733.0	4121.0	0.42051	0.22547
('AZD7762 42', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L04')	1209.0	1379.0	3823.0	0.36071	0.082169
('AZD7762 43', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L04')	1209.0	1499.0	4093.0	0.36616	0.12972
('AZD7762 44', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L04')	1209.0	1483.0	4121.0	0.35985	0.12214
('AZD7762 45', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L03')	1209.0	1132.0	3823.0	0.2961	-0.039129
('AZD7762 46', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L03')	1209.0	1147.0	4093.0	0.28018	-0.029739
('AZD7762 47', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L03')	1209.0	1273.0	4121.0	0.30889	0.029327
('AZD7762 48', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L02')	1209.0	967.0	3823.0	0.25294	-0.12612
('AZD7762 49', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L02')	1209.0	1021.0	4093.0	0.2494	-0.091851
('AZD7762 50', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L02')	1209.0	992.0	4121.0	0.24071	-0.10606
('AZD7762 51', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L01')	1209.0	689.0	3823.0	0.18022	-0.2875
('AZD7762 52', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L01')	1209.0	614.0	4093.0	0.14998	-0.31986
('AZD7762 53', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L01')	1209.0	549.0	4121.0	0.13321	-0.36022
('AZD8055 54', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A12')	1209.0	1100.0	3823.0	0.28773	-0.055583
('AZD8055 55', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A12')	1209.0	1244.0	4093.0	0.30387	0.01609
('AZD8055 56', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A12')	1209.0	1254.0	4121.0	0.30428	0.020612
('AZD8055 57', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A11')	1209.0	1087.0	3823.0	0.28433	-0.062322
('AZD8055 58', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A11')	1209.0	1102.0	4093.0	0.26918	-0.051567
('AZD8055 59', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A11')	1209.0	1137.0	4121.0	0.27589	-0.034373
('AZD8055 60', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A10')	1209.0	1013.0	3823.0	0.26498	-0.10131
('AZD8055 61', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A10')	1209.0	1039.0	4093.0	0.25379	-0.082783
('AZD8055 62', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A10')	1209.0	1039.0	4121.0	0.25211	-0.082352
('AZD8055 63', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A09')	1209.0	1059.0	3823.0	0.27701	-0.076946
('AZD8055 64', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A09')	1209.0	1113.0	4093.0	0.27187	-0.046196
('AZD8055 65', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A09')	1209.0	900.0	4121.0	0.21838	-0.15392
('AZD8055 66', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A08')	1209.0	957.0	3823.0	0.25033	-0.13157
('AZD8055 67', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A08')	1209.0	1002.0	4093.0	0.24476	-0.1015
('AZD8055 68', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A08')	1209.0	997.0	4121.0	0.24192	-0.10351
('AZD8055 69', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A07')	1209.0	370.0	3823.0	0.096783	-0.51005
('AZD8055 70', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A07')	1209.0	386.0	4093.0	0.094288	-0.47761
('AZD8055 71', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A07')	1209.0	409.0	4121.0	0.099243	-0.45832
('Sorafenib 72', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B12')	1209.0	3591.0	3823.0	0.93931	0.92599
('Sorafenib 73', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B12')	1209.0	3746.0	4093.0	0.91503	0.90154
('Sorafenib 74', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B12')	1209.0	3898.0	4121.0	0.94584	0.93801
('Sorafenib 75', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B11')	1209.0	3957.0	3823.0	1.0351	1.0419
('Sorafenib 76', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B11')	1209.0	3816.0	4093.0	0.93213	0.92166
('Sorafenib 77', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B11')	1209.0	3886.0	4121.0	0.94293	0.93464
('Sorafenib 78', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B10')	1209.0	3802.0	3823.0	0.99451	0.99338
('Sorafenib 79', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B10')	1209.0	3855.0	4093.0	0.94165	0.9328
('Sorafenib 80', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B10')	1209.0	3820.0	4121.0	0.92691	0.91599
('Sorafenib 81', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B09')	1209.0	3995.0	3823.0	1.045	1.0537
('Sorafenib 82', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B09')	1209.0	3808.0	4093.0	0.93017	0.91937
('Sorafenib 83', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B09')	1209.0	4058.0	4121.0	0.98466	0.9826
('Sorafenib 84', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B08')	1209.0	3835.0	3823.0	1.0031	1.0038
('Sorafenib 85', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B08')	1209.0	3980.0	4093.0	0.97219	0.96819
('Sorafenib 86', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B08')	1209.0	3716.0	4121.0	0.90168	0.88632
('Sorafenib 87', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B07')	1209.0	2043.0	3823.0	0.5344	0.37124
('Sorafenib 88', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B07')	1209.0	2188.0	4093.0	0.53446	0.4007
('Sorafenib 89', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B07')	1209.0	2185.0	4121.0	0.53018	0.39706
('CP466722 90', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I12')	1209.0	4454.0	3980.0	1.1191	1.1353
('CP466722 91', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I12')	1209.0	4593.0	4252.0	1.08	1.0867
('CP466722 92', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I12')	1209.0	4190.0	4376.0	0.95746	0.95368
('CP466722 93', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I11')	1209.0	3971.0	3980.0	0.99772	0.99735
('CP466722 94', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I11')	1209.0	4067.0	4252.0	0.95631	0.95135
('CP466722 95', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I11')	1209.0	4488.0	4376.0	1.0256	1.0274
('CP466722 96', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I10')	1209.0	4043.0	3980.0	1.0158	1.0183
('CP466722 97', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I10')	1209.0	4216.0	4252.0	0.99135	0.99044
