	('measuredProteinValue 0',)
(' 97', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	568.9179636
(' 98', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	455.7153918
(' 99', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	449.052093
(' 100', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	449.7884748
(' 101', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	443.470129
(' 102', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	1905.438273
(' 103', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	2887.337866
(' 104', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1833.057165
(' 105', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	1629.575871
(' 106', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	1763.436405
(' 107', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	1447.055095
(' 108', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	62.69049244
(' 109', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	74.37074745
(' 110', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	86.154271
(' 111', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	74.34327269
(' 112', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	72.68467787
(' 113', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	70.75086742
(' 114', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	212.0806794
(' 115', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	213.6363708
(' 116', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	212.054887
(' 117', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	203.7724286
(' 118', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	208.460582
(' 119', 'clName: 184B5', 'ppName: FGF-1', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	207.8991681
(' 120', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	379.6978686
(' 121', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	369.9450458
(' 122', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	380.954238
(' 123', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	399.6924982
(' 124', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	622.5403249
(' 125', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	396.4749805
(' 126', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	1083.348744
(' 127', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	1213.279986
(' 128', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1232.139491
(' 129', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	1352.798915
(' 130', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	1304.36704
(' 131', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	1296.636374
(' 132', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	73.70128503
(' 133', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	62.39095365
(' 134', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	69.19151918
(' 135', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	105.5968463
(' 136', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	74.09128016
(' 137', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	62.45620012
(' 138', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	183.4126985
(' 139', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	172.2136119
(' 140', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	186.9374768
(' 141', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	188.2858139
(' 142', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	190.9095238
(' 143', 'clName: 184B5', 'ppName: FGF-2', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	192.3753657
(' 144', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	451.1482477
(' 145', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	1042.312203
(' 146', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	485.9765176
(' 147', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	1076.731455
(' 148', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	453.452743
(' 149', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	1018.759547
(' 150', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	1548.026817
(' 151', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	5553.830377
(' 152', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1626.363371
(' 153', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	5153.205015
(' 154', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	1591.423785
(' 155', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	3304.275586
(' 156', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	67.10428128
(' 157', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	79.02131119
(' 158', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	63.3825813
(' 159', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	78.47888277
(' 160', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	63.80995422
(' 161', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	74.5428307
(' 162', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	203.8761809
(' 163', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	246.157184
(' 164', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	204.3571318
(' 165', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	248.646259
(' 166', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	212.4086061
(' 167', 'clName: 184B5', 'ppName: HGF', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	212.5727738
(' 168', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	484.5003102
(' 169', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	934.5633414
(' 170', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	439.2654349
(' 171', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	719.0956121
(' 172', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	509.8466937
(' 173', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	700.1887999
(' 174', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	885.4825159
(' 175', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	1708.678401
(' 176', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1001.827754
(' 177', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pErk')	1450.995145
(' 178', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pErk')	2623.280979
(' 179', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pErk')	1279.228133
(' 180', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pJnk')	65.2505404
(' 181', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pJnk')	63.17774965
(' 182', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pJnk')	61.7467316
(' 183', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pJnk')	61.48957586
(' 184', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pJnk')	66.2589962
(' 185', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pJnk')	62.2376306
(' 186', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pP38')	210.1227734
(' 187', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pP38')	207.9191799
(' 188', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pP38')	213.8796061
(' 189', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pP38')	199.331868
(' 190', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pP38')	208.4424782
(' 191', 'clName: 184B5', 'ppName: HRG', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pP38')	206.980837
(' 192', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pAkt')	442.8840104
(' 193', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pAkt')	1427.748687
(' 194', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pAkt')	387.9296243
(' 195', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 100', 'time: 30', 'measuredProtein: pAkt')	1318.913586
(' 196', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 1', 'time: 90', 'measuredProtein: pAkt')	442.5863782
(' 197', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 100', 'time: 90', 'measuredProtein: pAkt')	1305.869336
(' 198', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 1', 'time: 10', 'measuredProtein: pErk')	1644.384681
(' 199', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 100', 'time: 10', 'measuredProtein: pErk')	2706.824322
(' 200', 'clName: 184B5', 'ppName: IGF-I', 'proteinLigandConcentration: 1', 'time: 30', 'measuredProtein: pErk')	1058.43421
