	('cellCount 0',)	('percentApoptoticCells 1',)	('percentDeadCells 2',)
('3449 10', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C08', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	152.0	41.79858	56.243118
('3450 11', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C08', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	192.0	42.665672	73.887741
('3451 12', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C09', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	418.0	0.68838	1.609361
('3452 13', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C09', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	518.0	21.597235	23.570398
('3453 14', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C10', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	130.0	23.925467	28.799791
('3454 15', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C10', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	178.0	46.498833	58.864033
('3455 16', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	437.0	1.32547	2.637883
('3456 17', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	523.0	29.325026	30.405695
('3457 18', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C12', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	154.0	26.904699	28.401537
('3458 19', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C12', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	191.0	51.242626	59.014053
('3459 20', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C13', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	160.0	27.067463	30.195507
('3460 21', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C13', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	221.0	33.225658	37.053211
('3461 22', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	441.0	1.443334	2.983751
('3462 23', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	549.0	29.571661	27.138285
('3463 24', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C15', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	203.0	24.583469	28.679375
('3464 25', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C15', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	200.0	40.57539	44.329376
('3465 26', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C16', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	161.0	13.371184	16.970446
('3466 27', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C16', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	193.0	31.108606	38.089603
('3467 28', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C17', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	489.0	0.999338	2.146975
('3468 29', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C17', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 2.0')	560.0	24.99065	22.769659
('3469 30', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C18', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	169.0	20.463308	19.211815
('3470 31', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C18', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	221.0	33.923496	40.702129
('3471 32', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C19', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	490.0	1.913776	3.004223
('3472 33', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C19', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 2.0')	553.0	25.10367	22.984999
('3473 34', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C20', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 1.0')	465.0	4.614034	4.246184
('3474 35', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C20', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 2.0')	522.0	34.246464	30.709915
('3475 36', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	581.0	1.881001	2.847907
('3476 37', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	541.0	28.277727	24.9126
('3477 38', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C22', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 1.0')	489.0	6.227934	6.083865
('3478 39', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: C22', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 2.0')	470.0	40.731903	33.480507
('3479 40', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D03', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	301.0	3.306103	6.070305
('3480 41', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D03', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	318.0	22.491987	23.460691
('3481 42', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	487.0	0.994187	2.623611
('3482 43', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	577.0	18.610094	21.063417
('3483 44', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D05', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	330.0	4.019575	7.121714
('3484 45', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D05', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	329.0	22.183966	22.17741
('3485 46', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D06', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	197.0	10.652647	26.561872
('3486 47', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D06', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	252.0	12.951274	37.832024
('3487 48', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D07', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	476.0	1.544965	2.643013
('3488 49', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D07', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	507.0	22.495455	25.180418
('3489 50', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D08', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	165.0	12.701874	39.269703
('3490 51', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D08', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	169.0	14.888673	47.418522
('3491 52', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D09', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	372.0	1.118151	1.980739
('3492 53', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D09', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	491.0	23.912376	26.09396
('3493 54', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D10', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	451.0	1.176407	3.069906
('3494 55', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D10', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	547.0	25.670359	24.886602
('3495 56', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	411.0	2.99552	4.833209
('3496 57', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	536.0	23.47893	23.878653
('3497 58', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D12', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	428.0	1.588551	2.434003
('3498 59', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D12', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	515.0	28.791029	28.986809
('3499 60', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D13', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	186.0	22.06719	24.5842
('3500 61', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D13', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	193.0	63.209152	61.603653
('3501 62', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	477.0	1.658136	2.868679
('3502 63', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	512.0	25.584209	26.135292
('3503 64', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D15', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	198.0	21.884897	25.395308
('3504 65', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D15', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	190.0	65.348022	65.490273
('3505 66', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D16', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	146.0	30.670702	53.963154
('3506 67', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D16', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	178.0	32.578564	62.511028
('3507 68', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D17', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	382.0	2.011669	3.938534
('3508 69', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D17', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 2.0')	514.0	22.625774	23.185343
('3509 70', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D18', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 1.0')	148.0	38.735203	49.314617
('3510 71', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D18', 'controlType: ', 'assayCompoundConcentration: 33.33333333', 'day: 2.0')	188.0	35.292393	65.67347
('3511 72', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D19', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	453.0	2.965337	4.097252
('3512 73', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D19', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 2.0')	518.0	38.186481	35.990032
('3513 74', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D20', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	172.0	27.132492	43.058754
('3514 75', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D20', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	204.0	38.034805	66.38327
('3515 76', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	474.0	1.638847	3.450052
('3516 77', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	582.0	22.771212	23.405409
('3517 78', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D22', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 1.0')	158.0	38.582069	45.524391
('3518 79', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: D22', 'controlType: ', 'assayCompoundConcentration: 0.045726667', 'day: 2.0')	212.0	33.60014	62.249668
('3519 80', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E03', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	243.0	6.589023	10.150903
('3520 81', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E03', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	213.0	17.666489	21.713039
('3521 82', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	534.0	0.995726	2.605061
('3522 83', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	600.0	19.192368	21.715467
('3523 84', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E05', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	220.0	6.931678	10.818959
('3524 85', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E05', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	205.0	13.908829	21.667406
('3525 86', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E06', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	190.0	25.619604	27.989822
('3526 87', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E06', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	206.0	62.425484	63.370842
('3527 88', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E07', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	499.0	1.558829	2.678015
('3528 89', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E07', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 2.0')	515.0	23.274797	25.319233
('3529 90', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E08', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 1.0')	179.0	24.670492	28.129263
('3530 91', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E08', 'controlType: ', 'assayCompoundConcentration: 11.11111333', 'day: 2.0')	166.0	66.197845	65.618729
('3531 92', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E09', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	473.0	1.985682	2.31483
('3532 93', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E09', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 2.0')	504.0	23.9877	24.456234
('3533 94', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: 5637', 'clCenterSpecificID: 50001', 'recordedWell: E10', 'controlType: ', 'assayCompoundConcentration: 0.015243333', 'day: 1.0')	163.0	20.688673	31.739254
