	('totalNumberofCells(Nuclei) 0',)	('numberofApoptoticCells 1',)	('relativeViability 2',)	('meanRelativeViability 3',)	('apoptosisFraction 4',)	('meanApoptosisFraction 5',)
('SB590885 10', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 3')	2819.0	166.0	1.1583	1.0978	0.058886	0.065658
('SB590885 11', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 4')	3138.0	163.0	1.2989	1.0978	0.051944	0.065658
('SB590885 12', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 1')	1984.0	303.0	0.97189	1.0475	0.15272	0.1377
('SB590885 13', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 2')	2059.0	319.0	1.006	1.0475	0.15493	0.1377
('SB590885 14', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 3')	2246.0	266.0	1.1448	1.0475	0.11843	0.1377
('SB590885 15', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 4')	2109.0	263.0	1.0673	1.0475	0.1247	0.1377
('SB590885 16', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 1')	2014.0	286.0	0.8408	1.039	0.14201	0.12146
('SB590885 17', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 2')	2270.0	248.0	0.98385	1.039	0.10925	0.12146
('SB590885 18', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 3')	2737.0	341.0	1.1658	1.039	0.12459	0.12146
('SB590885 19', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 4')	2691.0	296.0	1.1653	1.039	0.11	0.12146
('SB590885 20', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 1')	2781.0	198.0	1.1277	1.1912	0.071197	0.053189
('SB590885 21', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 2')	2576.0	134.0	1.0662	1.1912	0.052019	0.053189
('SB590885 22', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 3')	3142.0	117.0	1.3207	1.1912	0.037237	0.053189
('SB590885 23', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 4')	3021.0	158.0	1.25	1.1912	0.052301	0.053189
('SB590885 24', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 1')	2141.0	401.0	1.006	1.0901	0.1873	0.15881
('SB590885 25', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 2')	2170.0	398.0	1.0245	1.0901	0.18341	0.15881
('SB590885 26', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 3')	2424.0	267.0	1.2471	1.0901	0.11015	0.15881
('SB590885 27', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 4')	2215.0	342.0	1.0829	1.0901	0.1544	0.15881
('SB590885 28', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 1')	2123.0	217.0	0.92741	1.0348	0.10221	0.089284
('SB590885 29', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 2')	1953.0	200.0	0.85296	1.0348	0.10241	0.089284
('SB590885 30', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 3')	2584.0	234.0	1.1434	1.0348	0.090557	0.089284
('SB590885 31', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 4')	2663.0	165.0	1.2155	1.0348	0.06196	0.089284
('SB590885 32', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 1')	2637.0	79.0	1.1168	1.0834	0.029958	0.029875
('SB590885 33', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 2')	2397.0	63.0	1.019	1.0834	0.026283	0.029875
('SB590885 34', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 3')	2654.0	74.0	1.1264	1.0834	0.027882	0.029875
('SB590885 35', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 4')	2544.0	90.0	1.0714	1.0834	0.035377	0.029875
('SB590885 36', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 1')	2119.0	435.0	0.97362	1.0512	0.20529	0.19443
('SB590885 37', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 2')	2369.0	436.0	1.1176	1.0512	0.18404	0.19443
('SB590885 38', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 3')	2293.0	482.0	1.047	1.0512	0.2102	0.19443
('SB590885 39', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 4')	2245.0	400.0	1.0667	1.0512	0.17817	0.19443
('SB590885 40', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 1')	2176.0	195.0	0.9639	1.0641	0.089614	0.077042
('SB590885 41', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 2')	2161.0	143.0	0.98191	1.0641	0.066173	0.077042
('SB590885 42', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 3')	2496.0	185.0	1.1245	1.0641	0.074119	0.077042
('SB590885 43', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 4')	2645.0	207.0	1.1863	1.0641	0.078261	0.077042
('SB590885 44', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 1')	1770.0	127.0	0.71734	0.76155	0.071751	0.080718
('SB590885 45', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 2')	1836.0	135.0	0.74266	0.76155	0.073529	0.080718
('SB590885 46', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 3')	1904.0	189.0	0.74878	0.76155	0.099265	0.080718
('SB590885 47', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 4')	2081.0	163.0	0.83741	0.76155	0.078328	0.080718
('SB590885 48', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 1')	2148.0	462.0	0.97478	0.97116	0.21508	0.2246
('SB590885 49', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 2')	2074.0	533.0	0.89094	0.97116	0.25699	0.2246
('SB590885 50', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 3')	2219.0	486.0	1.002	0.97116	0.21902	0.2246
('SB590885 51', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 4')	2219.0	460.0	1.017	0.97116	0.2073	0.2246
('SB590885 52', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 1')	2033.0	401.0	0.79409	0.85771	0.19725	0.18941
('SB590885 53', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 2')	1967.0	404.0	0.76051	0.85771	0.20539	0.18941
('SB590885 54', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 3')	2272.0	419.0	0.90162	0.85771	0.18442	0.18941
('SB590885 55', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 4')	2415.0	412.0	0.97461	0.85771	0.1706	0.18941
('SB590885 56', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 1')	1227.0	361.0	0.3781	0.43595	0.29421	0.27446
('SB590885 57', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 2')	1376.0	382.0	0.43398	0.43595	0.27762	0.27446
('SB590885 58', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 3')	1431.0	361.0	0.46717	0.43595	0.25227	0.27446
('SB590885 59', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 4')	1465.0	401.0	0.46455	0.43595	0.27372	0.27446
('SB590885 60', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 1')	1866.0	424.0	0.83371	0.84209	0.22722	0.2404
('SB590885 61', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 2')	1995.0	454.0	0.89094	0.84209	0.22757	0.2404
('SB590885 62', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 3')	1840.0	455.0	0.80075	0.84209	0.24728	0.2404
('SB590885 63', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 4')	1969.0	511.0	0.84296	0.84209	0.25952	0.2404
('SB590885 64', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 1')	1752.0	701.0	0.51139	0.55068	0.40011	0.38017
('SB590885 65', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 2')	1618.0	619.0	0.48609	0.55068	0.38257	0.38017
('SB590885 66', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 3')	1951.0	695.0	0.61114	0.55068	0.35623	0.38017
('SB590885 67', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 4')	1975.0	754.0	0.59411	0.55068	0.38177	0.38017
('SB590885 68', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 1')	1164.0	580.0	0.25498	0.27582	0.49828	0.47351
('SB590885 69', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 2')	1221.0	590.0	0.2755	0.27582	0.48321	0.47351
('SB590885 70', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 3')	1217.0	555.0	0.28903	0.27582	0.45604	0.47351
('SB590885 71', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 4')	1196.0	546.0	0.28379	0.27582	0.45652	0.47351
('SB590885 72', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 1')	1858.0	507.0	0.78109	0.77878	0.27287	0.27081
('SB590885 73', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 2')	1897.0	517.0	0.79786	0.77878	0.27254	0.27081
('SB590885 74', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 3')	1844.0	487.0	0.78456	0.77878	0.2641	0.27081
('SB590885 75', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 4')	1790.0	490.0	0.75161	0.77878	0.27374	0.27081
('SB590885 76', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 1')	1569.0	840.0	0.35471	0.3996	0.53537	0.52376
('SB590885 77', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 2')	1545.0	846.0	0.34011	0.3996	0.54757	0.52376
('SB590885 78', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 3')	1850.0	944.0	0.44084	0.3996	0.51027	0.52376
('SB590885 79', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 4')	1909.0	958.0	0.46273	0.3996	0.50183	0.52376
('SB590885 80', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 1')	1142.0	655.0	0.21263	0.20924	0.57356	0.54166
('SB590885 81', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 2')	987.0	500.0	0.21263	0.20924	0.50659	0.54166
('SB590885 82', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 3')	1083.0	633.0	0.19647	0.20924	0.58449	0.54166
('SB590885 83', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 4')	990.0	497.0	0.21525	0.20924	0.50202	0.54166
('PLX-4720 84', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 1')	1877.0	158.0	0.99386	0.97984	0.084177	0.08735
('PLX-4720 85', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 2')	1816.0	151.0	0.96264	0.97984	0.08315	0.08735
('PLX-4720 86', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 3')	1952.0	167.0	1.032	0.97984	0.085553	0.08735
('PLX-4720 87', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 4')	1782.0	172.0	0.93084	0.97984	0.096521	0.08735
('PLX-4720 88', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 1')	2479.0	281.0	1.0695	1.1088	0.11335	0.096729
('PLX-4720 89', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 2')	2443.0	252.0	1.0661	1.1088	0.10315	0.096729
('PLX-4720 90', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 3')	2526.0	219.0	1.1225	1.1088	0.086698	0.096729
('PLX-4720 91', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 4')	2640.0	221.0	1.177	1.1088	0.083712	0.096729
('PLX-4720 92', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 1')	2292.0	171.0	0.92604	0.95725	0.074607	0.084623
('PLX-4720 93', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 2')	2032.0	185.0	0.80641	0.95725	0.091043	0.084623
('PLX-4720 94', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 3')	2731.0	233.0	1.0906	0.95725	0.085317	0.084623
('PLX-4720 95', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 4')	2525.0	221.0	1.0059	0.95725	0.087525	0.084623
('PLX-4720 96', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 1')	1893.0	277.0	0.93431	1.0031	0.14633	0.12066
('PLX-4720 97', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 2')	2014.0	222.0	1.0361	1.0031	0.11023	0.12066
('PLX-4720 98', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 3')	2007.0	217.0	1.0349	1.0031	0.10812	0.12066
