	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCount 3',)	('meanNormalizedGrowthRateInhibitionValue 4',)
('474100 10', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	893.0	4056.0	0.22023	-0.17228
('474101 11', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	735.0	4056.0	0.18102	-0.26247
('474102 12', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	1904.0	4056.0	0.46962	0.2871
('474103 13', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	1706.0	4056.0	0.42086	0.20741
('474104 14', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	1544.0	4056.0	0.38098	0.13899
('474105 15', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	1310.0	4056.0	0.32297	0.034675
('474106 16', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	1057.0	4056.0	0.26072	-0.086996
('474107 17', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	765.0	4056.0	0.18869	-0.24366
('474108 18', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	1307.0	4056.0	0.32265	0.032683
('474109 19', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	1319.0	4056.0	0.32527	0.038991
('474110 20', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	1289.0	4056.0	0.31808	0.025104
('474111 21', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	1291.0	4056.0	0.31871	0.026318
('474112 22', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	1242.0	4056.0	0.30657	0.0028597
('474113 23', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	1116.0	4056.0	0.27549	-0.057394
('474114 24', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	3940.0	4056.0	0.97187	0.96723
('474115 25', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	3561.0	4056.0	0.87768	0.85304
('474116 26', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	3908.0	4056.0	0.96383	0.95735
('474117 27', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	3680.0	4056.0	0.90758	0.88971
('474118 28', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	3446.0	4056.0	0.85028	0.81949
('474119 29', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	1645.0	4056.0	0.40612	0.18213
('474120 30', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1235.0	4851.0	4267.0	1.1371	1.149
('474121 31', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1235.0	4537.0	4267.0	1.0633	1.0695
('474122 32', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1235.0	4829.0	4267.0	1.1306	1.1406
('474123 33', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1235.0	4687.0	4267.0	1.0985	1.1079
('474124 34', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1235.0	4230.0	4267.0	0.99095	0.98883
('474125 35', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1235.0	1972.0	4267.0	0.46234	0.2987
('474126 36', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1235.0	3247.0	4267.0	0.76185	0.71781
('474127 37', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1235.0	3363.0	4267.0	0.78878	0.75153
('474128 38', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1235.0	3410.0	4267.0	0.79965	0.76505
('474129 39', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1235.0	3304.0	4267.0	0.77433	0.73339
('474130 40', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1235.0	3278.0	4267.0	0.76843	0.72585
('474131 41', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1235.0	2110.0	4267.0	0.49498	0.34953
('474132 42', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	1126.0	4056.0	0.27762	-0.052774
('474133 43', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	676.0	4056.0	0.16676	-0.29655
('474134 44', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	694.0	4056.0	0.17115	-0.28543
('474135 45', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	573.0	4056.0	0.14133	-0.36134
('474136 46', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	542.0	4056.0	0.13379	-0.38132
('474137 47', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	512.0	4056.0	0.12582	-0.40725
('474138 48', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	3022.0	4056.0	0.74493	0.68391
('474139 49', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	1616.0	4056.0	0.39771	0.16582
('474140 50', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	1517.0	4056.0	0.37439	0.12719
('474141 51', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	1433.0	4056.0	0.35341	0.090434
('474142 52', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	1328.0	4056.0	0.32771	0.043265
('474143 53', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	1612.0	4056.0	0.39764	0.16818
('474144 54', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1235.0	3513.0	4267.0	0.82462	0.79563
('474145 55', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1235.0	2603.0	4267.0	0.61159	0.51798
('474146 56', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1235.0	1706.0	4267.0	0.40056	0.19825
('474147 57', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1235.0	1446.0	4267.0	0.33886	0.091506
('474148 58', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1235.0	1371.0	4267.0	0.32157	0.06003
('474149 59', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1235.0	883.0	4267.0	0.20726	-0.17117
('474150 60', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	2625.0	4056.0	0.64657	0.54961
('474151 61', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	2639.0	4056.0	0.6514	0.55732
('474152 62', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	2225.0	4056.0	0.54844	0.40882
('474153 63', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	1895.0	4056.0	0.46732	0.28337
('474154 64', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	1501.0	4056.0	0.36989	0.1198
('474155 65', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	1192.0	4056.0	0.29385	-0.020748
('474156 66', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1235.0	4834.0	4056.0	1.1918	1.2152
('474157 67', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1235.0	4613.0	4056.0	1.1372	1.1557
('474158 68', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1235.0	3989.0	4056.0	0.98471	0.9816
('474159 69', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1235.0	3432.0	4056.0	0.84697	0.81529
('474160 70', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1235.0	2586.0	4056.0	0.63772	0.53848
('474161 71', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1235.0	701.0	4056.0	0.1733	-0.28166
('474162 72', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1235.0	3207.0	4267.0	0.75138	0.70399
('474163 73', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1235.0	2830.0	4267.0	0.66313	0.58901
('474164 74', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1235.0	2689.0	4267.0	0.63059	0.54505
('474165 75', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1235.0	2436.0	4267.0	0.57103	0.46167
('474166 76', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1235.0	2031.0	4267.0	0.47612	0.32013
