	('MeanIntensityDAPI 0',)	('ElongationFactor 1',)	('MeanIntensityAlexa488 2',)	('MeanIntensityAlexa555 3',)	('TotalIntensityAlexa555 4',)	('MeanIntensityAlexa647 5',)	('Area 6',)	('Z 7',)	('SpotCellCount 8',)	('TotalIntensityDAPI 9',)	('MeanIntensityDAPIMedNorm 10',)	('MeanIntensityAlexa488MedNorm 11',)	('MeanIntensityAlexa555MedNorm 12',)	('TotalIntensityAlexa555MedNorm 13',)	('MeanIntensityAlexa647MedNorm 14',)	('TotalIntensityDAPIMedNorm 15',)	('SpotCellCountMedNorm 16',)	('RadialPosition 17',)	('Density 18',)	('EdUPositiveProportion 19',)	('CVElongationFactor 20',)	('CVZ 21',)	('CVRadialPosition 22',)	('CVDensity 23',)	('CVEdUPositiveProportion 24',)	('LoessSCC 25',)
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 10', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: CEACAM6_P40199', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  15', 'ECMp: CEACAM6')	338.43	1.762	141.49	53.241	206684.0	4.64	3918.0	5750.0	14.0	1414411.0	0.4388	1.4837	1.1426	0.92826	0.6404	0.42233	0.25926	115.139	0.6217	0.0	0.057547	0.001474	0.239912	0.73421	1.3125	0.965
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 11', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: COL1', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: COL1')	379.82	1.874	151.708	53.395	184172.0	5.117	3915.0	5753.0	12.0	1191472.0	0.4925	1.5908	1.1459	0.82716	0.7063	0.35576	0.22222	114.602	0.68387	0.0	0.046654	0.001037	0.152494	0.43177	1.4278	0.886
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 12', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: COL23A1_Q86Y22', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: COL23A1')	369.88	1.757	152.247	54.97	196236.0	4.66	3828.0	5752.0	14.0	1142059.0	0.4796	1.5965	1.1797	0.88134	0.6432	0.34101	0.25926	118.037	0.87038	0.0	0.069037	0.00186	0.336676	0.47921	1.8078	0.9931
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 13', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: COL2A1_P02458', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: COL2A1')	358.39	1.773	142.859	50.023	191030.0	4.477	3791.0	5752.0	18.0	1102452.0	0.4647	1.498	1.0735	0.85795	0.6178	0.32918	0.33333	115.045	0.99472	0.034483	0.075454	0.0009917	0.150242	0.45841	1.1962	1.046
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 14', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: COL3A1_P02461', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  17', 'ECMp: COL3A1')	366.51	1.782	139.242	56.738	224900.0	4.658	4016.0	5751.0	13.0	1267025.0	0.4753	1.4601	1.2176	1.01007	0.6429	0.37832	0.24074	111.287	0.74604	0.0	0.05113	0.001667	0.153511	0.89404	1.7909	0.9023
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 15', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: COL4A1_P02462', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  15', 'ECMp: COL4A1')	343.51	1.803	138.399	50.928	188744.0	4.752	3982.0	5751.0	13.0	1156298.0	0.4454	1.4513	1.0929	0.84769	0.6559	0.34526	0.24074	104.92	0.74604	0.0	0.054743	0.001353	0.217712	0.52169	1.4925	0.9342
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 16', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: COL5A1_P20908', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: COL5A1')	382.9	1.831	145.783	54.345	192783.0	4.763	3756.0	5755.0	12.5	1149116.0	0.4965	1.5287	1.1663	0.86583	0.6574	0.34311	0.23148	105.422	0.68387	0.0	0.088157	0.001292	0.208642	0.51008	2.9545	1.0407
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 17', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: DCN_P07585', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: DCN')	389.83	1.808	151.108	56.766	203877.0	4.951	3646.0	5756.0	12.5	1236589.0	0.5055	1.5845	1.2182	0.91566	0.6834	0.36923	0.23148	108.407	0.83929	0.0	0.070664	0.001236	0.138431	0.4562	2.4044	1.056
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 18', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: DSG2_Q14126', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  17', 'ECMp: DSG2')	363.19	1.767	163.256	53.998	191032.0	4.682	3762.0	5751.0	14.0	1145823.0	0.4709	1.7119	1.1588	0.85796	0.6461	0.34213	0.25926	96.43	1.05689	0.0	0.098884	0.001742	0.302442	0.55808	1.497	1.0309
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 19', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ECM1_Q16610', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  18', 'ECMp: ECM1')	378.54	1.764	156.438	55.813	199743.0	4.964	3976.0	5753.0	12.0	1184174.0	0.4909	1.6404	1.1978	0.89709	0.6851	0.35358	0.22222	111.371	0.68387	0.0	0.06749	0.001619	0.220007	0.57419	1.5177	1.0111
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 20', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: FN1_P02751', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: FN1')	372.22	1.796	155.312	54.333	178064.0	5.012	3489.0	5754.0	15.0	1233884.0	0.4827	1.6286	1.166	0.79972	0.6918	0.36842	0.27778	105.661	0.87038	0.0	0.097402	0.001315	0.20942	0.61566	1.4902	0.8715
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 21', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: GAP43_P17677', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  18', 'ECMp: GAP43')	351.45	1.763	145.918	54.134	211912.0	4.514	3942.0	5753.0	15.5	1153417.0	0.4557	1.5301	1.1617	0.95174	0.6231	0.3444	0.28704	99.761	0.90146	0.0	0.075772	0.001302	0.212179	0.49213	1.5503	0.8837
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 22', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: HyA500K', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: HyA500K')	352.48	1.809	151.797	51.754	204896.0	4.804	3599.0	5753.0	10.5	1304129.0	0.4571	1.5917	1.1106	0.92023	0.663	0.3894	0.19444	110.372	0.55953	0.0	0.071774	0.001161	0.314042	0.62138	2.0034	0.9412
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 23', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: HyA50K', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: HyA50K')	369.9	1.723	154.256	55.823	202094.0	4.86	3829.0	5752.0	15.5	1139663.0	0.4796	1.6175	1.198	0.90765	0.6707	0.34029	0.28704	112.049	0.99472	0.025	0.040855	0.001108	0.162031	0.44043	1.1473	1.0782
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 24', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ICAM1_P05362', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: ICAM1')	387.64	1.807	140.808	53.513	184841.0	4.993	3704.0	5753.0	10.5	1168353.0	0.5027	1.4765	1.1484	0.83016	0.689	0.34886	0.19444	117.427	0.55953	0.0	0.06584	0.001397	0.204228	0.66065	2.4139	1.0223
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 25', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: INGAVB2', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: INGAVB2')	381.14	1.806	158.684	54.357	191732.0	4.962	3823.0	5755.0	14.0	1466934.0	0.4942	1.664	1.1665	0.86111	0.6848	0.43801	0.25926	99.994	0.87038	0.0	0.058929	0.001033	0.274795	0.61999	3.6056	1.0041
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 26', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGA10B1', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: ITGA10B1')	361.34	1.804	148.817	55.574	224742.0	5.203	3891.0	5753.0	9.5	1205062.0	0.4685	1.5605	1.1926	1.00937	0.718	0.35982	0.17593	102.907	0.80821	0.0	0.08248	0.001018	0.266788	0.44677	1.4752	1.0289
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 27', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGA2B1', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  16', 'ECMp: ITGA2B1')	384.3	1.758	138.353	57.276	225574.0	4.911	4196.0	5752.0	9.0	1543993.0	0.4983	1.4508	1.2292	1.0131	0.6777	0.46102	0.16667	92.084	0.6217	0.0	0.084321	0.001248	0.330423	0.51446	1.8392	0.957
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 28', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGA3B1', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: ITGA3B1')	388.7	1.794	153.006	54.883	209703.0	4.929	4088.0	5755.0	12.0	1204168.0	0.504	1.6044	1.1778	0.94182	0.6802	0.35955	0.22222	101.632	0.68387	0.0	0.071548	0.001036	0.233972	0.53752	1.7627	0.8509
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 29', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGA4B1', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: ITGA4B1')	356.21	1.812	151.002	55.84	234934.0	4.957	4239.0	5752.0	14.0	1346165.0	0.4619	1.5834	1.1983	1.05514	0.6841	0.40195	0.25926	101.33	0.87038	0.0	0.077078	0.0008609	0.181494	0.37106	1.3349	1.0707
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 30', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGA6B4', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  17', 'ECMp: ITGA6B4')	375.77	1.73	150.562	54.451	194667.0	4.86	3399.0	5754.0	13.0	1240309.0	0.4873	1.5788	1.1685	0.87429	0.6707	0.37034	0.24074	95.296	0.99472	0.0	0.05592	0.001417	0.231415	0.51173	1.9634	0.959
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 31', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGA9B1', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: ITGA9B1')	357.49	1.794	150.17	56.749	210546.0	4.634	3830.0	5750.0	8.0	1140640.0	0.4636	1.5747	1.2178	0.94561	0.6396	0.34058	0.14815	97.32	0.6217	0.0	0.08994	0.001228	0.350646	0.56329	1.9965	1.0143
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 32', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: ITGAMB2', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: ITGAMB2')	363.62	1.767	166.354	57.491	215625.0	4.821	4008.0	5756.0	12.5	1193081.0	0.4715	1.7444	1.2338	0.96842	0.6654	0.35624	0.23148	96.206	0.74604	0.0	0.091113	0.001088	0.180379	0.60341	1.5907	1.0707
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 33', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: LAMA3_Q16787', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  15', 'ECMp: LAMA3')	363.84	1.819	147.772	54.789	195284.0	4.642	3698.0	5754.0	15.0	1202275.0	0.4718	1.5495	1.1758	0.87706	0.6407	0.35899	0.27778	98.985	1.05689	0.0	0.094164	0.0008473	0.158359	0.56293	2.0034	1.1325
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 34', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: LAMB1_P07942', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  17', 'ECMp: LAMB1')	361.68	1.775	156.673	55.005	196156.0	4.838	3547.0	5753.0	12.0	1177549.0	0.469	1.6429	1.1804	0.88098	0.6677	0.3516	0.22222	99.968	0.87038	0.0	0.085528	0.00121	0.272913	0.80943	1.7567	1.0865
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 35', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: LUM_P51884', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  18', 'ECMp: LUM')	402.84	1.86	160.431	56.049	195680.0	5.069	3531.0	5753.0	11.0	1235567.0	0.5224	1.6823	1.2028	0.87884	0.6996	0.36893	0.2037	115.54	0.52844	0.0	0.092115	0.001572	0.220494	1.09692	3.2177	1.1064
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 36', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: NID1_P14543', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:   3', 'ECMp: NID1')	407.39	1.642	204.614	64.676	217410.0	5.985	2970.0	5747.0	18.0	1118203.0	0.5283	2.1456	1.388	0.97643	0.826	0.33388	0.33333	107.068	1.30557	0.0	0.041221	0.0007146	0.2001	0.54875	1.7321	0.8923
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 37', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: OMD_Q99983', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: OMD')	370.06	1.821	145.874	54.454	218259.0	4.871	4146.0	5754.0	11.0	1204034.0	0.4799	1.5296	1.1686	0.98025	0.6723	0.35951	0.2037	102.207	0.6217	0.0	0.072502	0.001344	0.178436	0.65828	1.6484	1.0457
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 38', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: PECAM1_P16284', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  12', 'ECMp: PECAM1')	344.1	1.867	147.332	51.925	216544.0	4.741	4084.0	5752.0	14.5	1231000.0	0.4462	1.5449	1.1143	0.97255	0.6543	0.36756	0.26852	104.5	0.96363	0.0	0.057906	0.001322	0.193874	0.46509	1.568	0.9305
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 39', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: POSTN_ Q15063', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: POSTN')	358.26	1.711	151.052	49.771	180063.0	4.832	3918.0	5751.0	15.5	1115022.0	0.4646	1.5839	1.0681	0.8087	0.667	0.33293	0.28704	107.876	0.80821	0.0	0.075286	0.001272	0.31644	0.54388	2.889	0.9582
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 40', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: SPARC_ P09486', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  11', 'ECMp: SPARC')	398.58	1.766	170.098	60.565	203690.0	5.153	3793.0	5756.0	16.0	1150274.0	0.5168	1.7837	1.2997	0.91481	0.7113	0.34346	0.2963	114.813	0.87038	0.0	0.058614	0.0009286	0.216109	0.39906	3.3166	1.0922
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 41', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: SPP1_P10451', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  13', 'ECMp: SPP1')	377.03	1.773	145.694	55.749	197789.0	4.926	4058.0	5753.0	15.0	1135302.0	0.4889	1.5278	1.1964	0.88831	0.6798	0.33899	0.27778	102.103	0.87038	0.0	0.04703	0.001035	0.146479	0.52053	2.3924	0.957
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 42', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: THBS1_P07996', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: THBS1')	365.06	1.792	143.718	57.107	203462.0	4.948	3886.0	5749.0	12.5	1195172.0	0.4734	1.507	1.2255	0.91379	0.6829	0.35687	0.23148	102.297	0.87038	0.038462	0.071965	0.001157	0.155341	0.51182	1.1123	1.0092
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 43', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: TNC_P24821', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: TNC')	375.92	1.743	147.875	55.124	201745.0	4.71	3650.0	5750.0	15.5	1150325.0	0.4875	1.5506	1.183	0.90608	0.65	0.34347	0.28704	110.991	0.87038	0.0	0.05557	0.001552	0.137067	0.59913	1.4427	0.98
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 44', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: VCAM1_P19320', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  12', 'ECMp: VCAM1')	353.05	1.796	157.317	52.606	178132.0	4.851	3558.0	5756.0	13.0	1169325.0	0.4578	1.6496	1.1289	0.80003	0.6695	0.34915	0.24074	103.124	0.83929	0.0	0.099026	0.001059	0.234686	0.69225	2.4008	1.0125
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 45', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: VTN_P04004', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:  14', 'ECMp: VTN')	371.18	1.71	151.825	54.473	192711.0	4.719	4064.0	5753.0	12.0	1225122.0	0.4813	1.592	1.169	0.86551	0.6512	0.36581	0.22222	105.172	0.87038	0.0	0.07944	0.0009237	0.195056	0.51349	1.735	1.0115
('ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091 46', 'id: ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091', 'ECMpAnnotID: fiducial', 'Well: B01', 'Ligand: ANGPT1', 'ReplicateCount:   2', 'ECMp: fiducial')	388.83	1.725	182.119	58.516	169147.0	5.814	2822.0	5745.0	9.5	1016225.0	0.5042	1.9097	1.2558	0.75968	0.8024	0.30343	0.17593	100.876	0.43519	0.0625	0.084502	0.0004296	0.468292	1.01015	1.4142	0.9769
('ANGPT2_ O15123-RnDSystems_623AN025_SUL2911101 47', 'id: ANGPT2_ O15123-RnDSystems_623AN025_SUL2911101', 'ECMpAnnotID: ALCAM_Q13740', 'Well: B01', 'Ligand: ANGPT2', 'ReplicateCount:  16', 'ECMp: ALCAM')	260.67	1.817	145.567	54.969	231883.0	4.522	4154.0	5751.0	10.0	1153373.0	0.4863	1.3208	1.0245	0.92147	0.5365	0.49315	0.2439	109.267	0.59061	0.0	0.105872	0.001696	0.203642	0.60373	2.8086	1.0021
('ANGPT2_ O15123-RnDSystems_623AN025_SUL2911101 48', 'id: ANGPT2_ O15123-RnDSystems_623AN025_SUL2911101', 'ECMpAnnotID: BCAN_ Q96GW7', 'Well: B01', 'Ligand: ANGPT2', 'ReplicateCount:  11', 'ECMp: BCAN')	264.77	1.719	151.393	58.151	185336.0	5.047	3410.0	5753.0	12.0	855757.0	0.494	1.3737	1.0838	0.7365	0.5987	0.3659	0.29268	104.17	0.87038	0.0	0.062782	0.001372	0.182647	0.49765	3.3166	1.0764
('ANGPT2_ O15123-RnDSystems_623AN025_SUL2911101 49', 'id: ANGPT2_ O15123-RnDSystems_623AN025_SUL2911101', 'ECMpAnnotID: BGN_ P21810', 'Well: B01', 'Ligand: ANGPT2', 'ReplicateCount:  11', 'ECMp: BGN')	291.53	1.764	160.429	54.925	200326.0	5.006	3473.0	5755.0	9.0	1065220.0	0.5439	1.4557	1.0237	0.79607	0.5939	0.45546	0.21951	104.929	0.49736	0.0	0.074662	0.001766	0.191425	0.50604	2.2399	1.2495
