	('cellCount 0',)	('eduPositive 1',)	('mpm2Positive 2',)	('eduPositiveNonMitotic 3',)	('eduPositiveMitotic 4',)
('29575 72', 'smName: GW843682', 'clName: 5637', 'recordedWell: D07', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	171.0	88.304	2.3392	89.82	25.0
('29576 73', 'smName: GW843682', 'clName: 5637', 'recordedWell: D07', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	297.0	89.562	1.0101	89.456	100.0
('29577 74', 'smName: GW843682', 'clName: 5637', 'recordedWell: D07', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	530.0	91.887	1.6981	91.747	100.0
('29578 75', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D08', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	34.0	2.9412	2.9412	3.0303	0.0
('29579 76', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D08', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	30.0	0.0	0.0	0.0	0.0
('29580 77', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D08', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	39.0	0.0	0.0	0.0	0.0
('29581 78', 'smName: GW843682', 'clName: 5637', 'recordedWell: D09', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	183.0	89.617	1.6393	89.444	100.0
('29582 79', 'smName: GW843682', 'clName: 5637', 'recordedWell: D09', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	301.0	91.362	1.3289	91.582	75.0
('29583 80', 'smName: GW843682', 'clName: 5637', 'recordedWell: D09', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	615.0	89.919	1.626	89.752	100.0
('29584 81', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D10', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	151.0	90.066	2.649	89.796	100.0
('29585 82', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D10', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	92.0	50.0	0.0	50.0	0.0
('29586 83', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D10', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	543.0	85.267	0.73665	85.158	100.0
('29587 84', 'smName: ', 'clName: 5637', 'recordedWell: D11', 'timepoint: 1', 'assayCompoundConcentration: ')	132.0	89.394	1.5152	89.231	100.0
('29588 85', 'smName: ', 'clName: 5637', 'recordedWell: D11', 'timepoint: 2', 'assayCompoundConcentration: ')	301.0	90.365	3.3223	90.034	100.0
('29589 86', 'smName: ', 'clName: 5637', 'recordedWell: D11', 'timepoint: 3', 'assayCompoundConcentration: ')	551.0	85.844	0.90744	85.714	100.0
('29590 87', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D12', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	330.0	93.939	0.90909	93.884	100.0
('29591 88', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D12', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	250.0	92.8	0.4	92.771	100.0
('29592 89', 'smName: Tozasertib', 'clName: 5637', 'recordedWell: D12', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	636.0	84.748	0.78616	84.628	100.0
('29593 90', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D13', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	125.0	61.6	0.0	61.6	0.0
('29594 91', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D13', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	73.0	6.8493	1.3699	5.5556	100.0
('29595 92', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D13', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	30.0	6.6667	0.0	6.6667	0.0
('29596 93', 'smName: ', 'clName: 5637', 'recordedWell: D14', 'timepoint: 1', 'assayCompoundConcentration: ')	149.0	93.289	2.6846	93.103	100.0
('29597 94', 'smName: ', 'clName: 5637', 'recordedWell: D14', 'timepoint: 2', 'assayCompoundConcentration: ')	305.0	90.492	1.9672	90.301	100.0
('29598 95', 'smName: ', 'clName: 5637', 'recordedWell: D14', 'timepoint: 3', 'assayCompoundConcentration: ')	612.0	87.092	2.1242	87.312	76.923
('29599 96', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D15', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	113.0	63.717	0.0	63.717	0.0
('29600 97', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D15', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	59.0	8.4746	3.3898	7.0175	50.0
('29601 98', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D15', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	32.0	3.125	0.0	3.125	0.0
('29602 99', 'smName: Taxol', 'clName: 5637', 'recordedWell: D16', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	55.0	76.364	7.2727	74.51	100.0
('29603 100', 'smName: Taxol', 'clName: 5637', 'recordedWell: D16', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	21.0	33.333	0.0	33.333	0.0
('29604 101', 'smName: Taxol', 'clName: 5637', 'recordedWell: D16', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	23.0	0.0	0.0	0.0	0.0
('29605 102', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D17', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	191.0	91.623	0.52356	91.579	100.0
('29606 103', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D17', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	282.0	92.553	2.1277	92.391	100.0
('29607 104', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D17', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	418.0	86.364	0.7177	86.265	100.0
('29608 105', 'smName: Taxol', 'clName: 5637', 'recordedWell: D18', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	59.0	69.492	13.559	64.706	100.0
('29609 106', 'smName: Taxol', 'clName: 5637', 'recordedWell: D18', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	21.0	38.095	14.286	33.333	66.667
('29610 107', 'smName: Taxol', 'clName: 5637', 'recordedWell: D18', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	38.0	18.421	0.0	18.421	0.0
('29611 108', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D19', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	184.0	94.565	2.1739	94.444	100.0
('29612 109', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D19', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	275.0	89.455	1.4545	89.299	100.0
('29613 110', 'smName: XMD-12', 'clName: 5637', 'recordedWell: D19', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	402.0	86.07	1.4925	85.859	100.0
('29614 111', 'smName: Taxol', 'clName: 5637', 'recordedWell: D20', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	66.0	86.364	12.121	84.483	100.0
('29615 112', 'smName: Taxol', 'clName: 5637', 'recordedWell: D20', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	19.0	10.526	0.0	10.526	0.0
('29616 113', 'smName: Taxol', 'clName: 5637', 'recordedWell: D20', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	25.0	0.0	0.0	0.0	0.0
('29617 114', 'smName: ', 'clName: 5637', 'recordedWell: D21', 'timepoint: 1', 'assayCompoundConcentration: ')	137.0	91.241	1.4599	91.111	100.0
('29618 115', 'smName: ', 'clName: 5637', 'recordedWell: D21', 'timepoint: 2', 'assayCompoundConcentration: ')	376.0	94.947	0.53191	94.92	100.0
('29619 116', 'smName: ', 'clName: 5637', 'recordedWell: D21', 'timepoint: 3', 'assayCompoundConcentration: ')	613.0	89.56	2.2838	89.316	100.0
('29620 117', 'smName: Taxol', 'clName: 5637', 'recordedWell: D22', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	67.0	85.075	16.418	82.143	100.0
('29621 118', 'smName: Taxol', 'clName: 5637', 'recordedWell: D22', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	27.0	0.0	0.0	0.0	0.0
('29622 119', 'smName: Taxol', 'clName: 5637', 'recordedWell: D22', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	57.0	1.7544	0.0	1.7544	0.0
('29623 120', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E03', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	125.0	58.4	0.0	58.4	0.0
('29624 121', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E03', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	119.0	31.092	0.0	31.092	0.0
('29625 122', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E03', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	77.0	6.4935	0.0	6.4935	0.0
('29626 123', 'smName: ', 'clName: 5637', 'recordedWell: E04', 'timepoint: 1', 'assayCompoundConcentration: ')	140.0	92.143	2.8571	91.912	100.0
('29627 124', 'smName: ', 'clName: 5637', 'recordedWell: E04', 'timepoint: 2', 'assayCompoundConcentration: ')	337.0	85.163	1.1869	84.985	100.0
('29628 125', 'smName: ', 'clName: 5637', 'recordedWell: E04', 'timepoint: 3', 'assayCompoundConcentration: ')	583.0	91.081	1.3722	91.13	87.5
('29629 126', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E05', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	133.0	64.662	0.75188	64.394	100.0
('29630 127', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E05', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	114.0	17.544	0.0	17.544	0.0
('29631 128', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E05', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	84.0	0.0	0.0	0.0	0.0
('29632 129', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E06', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	96.0	31.25	1.0417	30.526	100.0
('29633 130', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E06', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	34.0	0.0	0.0	0.0	0.0
('29634 131', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E06', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	30.0	0.0	0.0	0.0	0.0
('29635 132', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E07', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	203.0	94.581	0.49261	94.554	100.0
('29636 133', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E07', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	390.0	95.128	1.7949	95.039	100.0
('29637 134', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E07', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	602.0	91.528	0.99668	91.611	83.333
('29638 135', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E08', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	71.0	30.986	2.8169	30.435	50.0
('29639 136', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E08', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	58.0	10.345	0.0	10.345	0.0
('29640 137', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E08', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	15.0	13.333	0.0	13.333	0.0
('29641 138', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E09', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	162.0	85.802	1.2346	85.625	100.0
('29642 139', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E09', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	266.0	89.85	0.75188	89.773	100.0
('29643 140', 'smName: RO-3306', 'clName: 5637', 'recordedWell: E09', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	432.0	85.185	0.92593	85.047	100.0
('29644 141', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E10', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	92.0	70.652	5.4348	70.115	80.0
('29645 142', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E10', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	27.0	29.63	3.7037	26.923	100.0
('29646 143', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E10', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	27.0	25.926	0.0	25.926	0.0
('29647 144', 'smName: ', 'clName: 5637', 'recordedWell: E11', 'timepoint: 1', 'assayCompoundConcentration: ')	172.0	90.116	4.0698	89.697	100.0
('29648 145', 'smName: ', 'clName: 5637', 'recordedWell: E11', 'timepoint: 2', 'assayCompoundConcentration: ')	289.0	91.696	2.7682	91.459	100.0
('29649 146', 'smName: ', 'clName: 5637', 'recordedWell: E11', 'timepoint: 3', 'assayCompoundConcentration: ')	637.0	90.895	2.1978	90.69	100.0
('29650 147', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E12', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	121.0	79.339	4.9587	80.87	50.0
('29651 148', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E12', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	46.0	23.913	4.3478	20.455	100.0
('29652 149', 'smName: BI-2536', 'clName: 5637', 'recordedWell: E12', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	53.0	32.075	0.0	32.075	0.0
('29653 150', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: E13', 'timepoint: 1', 'assayCompoundConcentration: 3.703706667')	109.0	70.642	1.8349	71.028	50.0
('29654 151', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: E13', 'timepoint: 2', 'assayCompoundConcentration: 3.703706667')	40.0	12.5	5.0	13.158	0.0
('29655 152', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: E13', 'timepoint: 3', 'assayCompoundConcentration: 3.703706667')	36.0	33.333	2.7778	31.429	100.0
('29656 153', 'smName: ', 'clName: 5637', 'recordedWell: E14', 'timepoint: 1', 'assayCompoundConcentration: ')	166.0	92.771	3.012	92.547	100.0
('29657 154', 'smName: ', 'clName: 5637', 'recordedWell: E14', 'timepoint: 2', 'assayCompoundConcentration: ')	311.0	94.212	1.2862	94.137	100.0
('29658 155', 'smName: ', 'clName: 5637', 'recordedWell: E14', 'timepoint: 3', 'assayCompoundConcentration: ')	661.0	88.956	3.3283	88.576	100.0
('29659 156', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: E15', 'timepoint: 1', 'assayCompoundConcentration: 3.703706667')	113.0	60.177	4.4248	60.185	60.0
('29660 157', 'smName: MPS-1-IN-1', 'clName: 5637', 'recordedWell: E15', 'timepoint: 2', 'assayCompoundConcentration: 3.703706667')	62.0	9.6774	4.8387	10.169	0.0
