	('pAkt10min 0',)	('pAkt30min 1',)	('pAkt90min 2',)	('pErk10min 3',)	('pErk30min 4',)	('pErk90min 5',)	('ligrespelisapaktAU 6',)	('ligrespelisaperkAU 7',)
('114488 23', 'protein_ppName: BTC', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	1040.118819	41929.92345	19070.17294	4399.160565		
('114489 24', 'protein_ppName: BTC', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	34522.77265	38422.35261	27777.64427	42118.48369	33646.96436	19617.6908		
('114490 25', 'protein_ppName: BTC', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	90291.84087	93973.08069	76112.41867	45621.4619	35677.72207	22498.7413		
('114491 26', 'protein_ppName: BTC', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	14948.85431	19636.71009	23933.00943	45527.82589	43370.40203	41817.09338		
('114492 27', 'protein_ppName: BTC', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	19551.58912	17070.27995	15311.90513	61933.92918	42465.64496	32102.42928		
('114493 28', 'protein_ppName: BTC', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	12673.94023	6572.694739	7649.767418	35858.90893	25363.86052	24995.12037		
('114494 29', 'protein_ppName: BTC', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	17597.27904	12894.81005	6219.480284	39878.21774	30236.43715	13936.49462		
('114495 30', 'protein_ppName: BTC', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	6134.635765	6405.992678	6963.84919	38059.23392	34151.74491	32016.2676		
('114496 31', 'protein_ppName: BTC', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	11956.79621	10161.37853	13331.85295	43417.06968	35536.93942	30702.38575		
('114497 32', 'protein_ppName: BTC', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	59839.40865	60497.50778	59364.09279	26544.759	29695.86272	23443.05433		
('114498 33', 'protein_ppName: BTC', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	70790.03128	68325.13648	67558.37955	50186.75538	36367.61438	17645.07713		
('114499 34', 'protein_ppName: BTC', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	8269.334295	7884.650968	6874.988975	36951.55429	30433.04249	22836.37087		
('114500 35', 'protein_ppName: BTC', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	14049.06955	8964.399101	4969.093874	50815.85909	28885.70941	7518.107321		
('114501 36', 'protein_ppName: BTC', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	29259.04458	29009.87412	30639.50426	25546.17618	14130.25467	14388.20562		
('114502 37', 'protein_ppName: BTC', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	37358.81267	43271.51377	33369.1477	40459.26064	16355.36406	6977.782308		
('114503 38', 'protein_ppName: BTC', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	33695.47739	26356.62528	20929.60222	44185.96333	29048.98549	19043.12068		
('114504 39', 'protein_ppName: BTC', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	82802.68573	66538.01239	24366.15177	66496.47593	45281.46507	13132.1844		
('114505 40', 'protein_ppName: BTC', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	2032.389042	2231.254361	1016.099292		
('114506 41', 'protein_ppName: BTC', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	842.221377	1399.108031	1136.328129	1373.374631		
('114507 42', 'protein_ppName: BTC', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	2958.923967	2346.891527	1069.931871	14344.15847	18100.76601	13947.56659		
('114508 43', 'protein_ppName: BTC', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	4894.486088	2442.831232	1069.931871	24254.79541	15446.27892	3311.577849		
('114509 44', 'protein_ppName: BTC', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12347.86508	14742.32292	11153.54218	29898.54532	32431.8186	30030.45506		
('114510 45', 'protein_ppName: BTC', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	13599.04037	13484.38452	9780.525244	32395.18348	38740.37438	36410.41581		
('114511 46', 'protein_ppName: BTC', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	2907.247989	2787.558043	1954.613727	3842.096478	1597.882942	166.1702235		
('114512 47', 'protein_ppName: BTC', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	6468.329205	8133.200066	9201.249632	4390.594937	2181.436488	468.0505269		
('114513 48', 'protein_ppName: BTC', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	26627.51627	39826.01622	37625.4109	7304.501446	6121.883991	3399.479304		
('114514 49', 'protein_ppName: BTC', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	43184.53299	44499.72397	46270.45202	13755.86779	8117.292961	5412.661478		
('114515 50', 'protein_ppName: BTC', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	9394.674378	9661.085426	7318.738814	16940.49664	19037.61098	16259.7785		
('114516 51', 'protein_ppName: BTC', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	11026.14734	10465.54633	8062.00411	20928.98243	21135.97442	13244.47625		
('114517 52', 'protein_ppName: BTC', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	8472.443378	7565.318058	5523.858054	7425.586794	5270.918551	1611.4188		
('114518 53', 'protein_ppName: BTC', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	19001.52261	16763.06726	19451.20781	5109.578584	3285.878287	3164.412867		
('114519 54', 'protein_ppName: BTC', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	41208.42312	39864.36446	34445.83749	34314.98181	27395.11776	24762.51069		
('114520 55', 'protein_ppName: BTC', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	54376.25479	57795.19187	53830.23415	55477.68696	49117.42788	29503.85938		
('114521 56', 'protein_ppName: BTC', 'cell_clName: T47D', 'ligandConcentration: 1.0')	19844.60951	19289.86271	20661.4251	36551.67182	33580.42039	33706.60336		
('114522 57', 'protein_ppName: BTC', 'cell_clName: T47D', 'ligandConcentration: 100.0')	35888.87348	31794.44242	29451.75806	40964.11857	36041.33855	26366.25489		
('114523 58', 'protein_ppName: BTC', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	3720.819038	3961.791193	4175.955933	29480.26611	30677.58148	34082.13078		
('114524 59', 'protein_ppName: BTC', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	10910.90183	18486.2062	42870.15308	47637.57611	47945.78406	49003.30325		
('114525 60', 'protein_ppName: BTC', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	36397.27917	31726.3731	33384.81581	6606.523583	5992.888889	4911.026254		
('114526 61', 'protein_ppName: BTC', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	32218.66647	46716.08624	24839.18448	5819.013559	8555.31432	3163.12162		
('114527 62', 'protein_ppName: BTC', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	16595.97301	10895.43963	7200.493022	50484.33506	36141.20255	25129.47365		
('114528 63', 'protein_ppName: BTC', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	44341.93841	28026.89999	18967.16534	76931.36495	31598.97798	6822.402496		
('114529 64', 'protein_ppName: BTC', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	8369.153989	8675.237666	10958.37079	20114.74653	17167.95907	19000.94092		
('114530 65', 'protein_ppName: BTC', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	46841.59272	64109.41733	92257.53539	23934.28478	27260.35571	31753.63942		
('114531 66', 'protein_ppName: BTC', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	18092.72999	8378.525741	6451.323553	36951.94805	35705.34985	26745.57797		
('114532 67', 'protein_ppName: BTC', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	33122.96417	18526.69486	11597.27111	39408.79301	33496.50924	23908.86793		
('114533 68', 'protein_ppName: BTC', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	24184.86951	24302.52615	30036.84302	17017.03404	14477.75179	15544.55291		
('114534 69', 'protein_ppName: BTC', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	59607.12684	46955.0223	33752.67923	26148.93722	22663.06829	14768.93444		
('114535 70', 'protein_ppName: BTC', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	3279.211155	1244.241173	1244.241173	3077.164256	3077.164256	3077.164256		
('114536 71', 'protein_ppName: BTC', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	1244.241173	1244.241173	1874.777212	7425.961123	3077.164256	3077.164256		
('114537 72', 'protein_ppName: BTC', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	10497.90069	7147.657826	5482.148388	23436.47295	15785.87519	8656.817019		
('114538 73', 'protein_ppName: BTC', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	25167.79781	11113.06833	8969.237572	25705.10268	12271.17833	10520.16783		
('114539 74', 'protein_ppName: BTC', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	4577.524152	3501.819387	3330.132482	24092.95174	12817.28463	11646.16413		
('114540 75', 'protein_ppName: BTC', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	7048.327142	3494.480573	4029.077003	30164.03443	13407.50712	6934.725921		
('114541 76', 'protein_ppName: BTC', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	2724.816686	2566.408675	1201.994205	8932.519608	11274.41908	12310.09699		
('114542 77', 'protein_ppName: BTC', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	3329.079379	2242.599953	2281.38614	22561.035	18924.37714	18618.25259		
('114543 78', 'protein_ppName: EFNA1', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	889.1092723	889.1092723	889.1092723	248.7780028	248.7780028	248.7780028		
('114544 79', 'protein_ppName: EFNA1', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	889.1092723	889.1092723	2009.770858	248.7780028	248.7780028	1023.039705		
('114545 80', 'protein_ppName: EFNA1', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	9869.472759	9724.120608	9975.029214	2173.008132	2173.008132	3513.373507		
('114546 81', 'protein_ppName: EFNA1', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	10600.14785	9045.897553	8547.211806	2173.008132	2173.008132	2173.008132		
('114547 82', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	1935.506625	547.0725358	2250.923391	31.58511031	31.58511031	31.58511031		
('114548 83', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	1834.066339	1335.933725	3401.273541	156.9512306	31.58511031	511.4865975		
('114549 84', 'protein_ppName: EFNA1', 'cell_clName: AU565', 'ligandConcentration: 1.0')	8372.35298	7276.502154	8739.071146	10002.52133	9011.761618	8689.599956		
('114550 85', 'protein_ppName: EFNA1', 'cell_clName: AU565', 'ligandConcentration: 100.0')	10234.3707	9034.325704	12291.97899	12988.70957	8773.5183	11349.52003		
('114551 86', 'protein_ppName: EFNA1', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	7503.133783	7955.961821	8973.423134	530.7878177	531.0191932	1515.356622		
('114552 87', 'protein_ppName: EFNA1', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	7727.080685	7973.45592	10159.99408	1164.095579	315.2780785	1596.8669		
('114553 88', 'protein_ppName: EFNA1', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	21314.73942	20951.60441	24432.65338	8793.79116	8597.30144	8683.404553		
('114554 89', 'protein_ppName: EFNA1', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	17009.91024	18175.02252	20997.43698	10464.40203	8484.108393	8300.754368		
('114555 90', 'protein_ppName: EFNA1', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	3634.92478	2622.927616	2353.851105	281.9715551	281.9715551	281.9715551		
('114556 91', 'protein_ppName: EFNA1', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	3602.157876	2170.111455	3974.434824	423.7594287	281.9715551	602.386218		
('114557 92', 'protein_ppName: EFNA1', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	11553.07481	10089.80054	10629.44224	2694.207954	3305.748605	3366.0173		
('114558 93', 'protein_ppName: EFNA1', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	8900.260402	9553.485132	10240.46193	2776.988079	3045.100396	3224.397778		
('114559 94', 'protein_ppName: EFNA1', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	6451.873858	4547.548936	4177.497716	70.21348513	70.21348513	180.5961808		
('114560 95', 'protein_ppName: EFNA1', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	4183.901669	5782.539153	5459.666424	70.21348513	70.21348513	70.21348513		
('114561 96', 'protein_ppName: EFNA1', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	10585.23919	9792.460472	11047.8109	2294.37206	2294.37206	2294.37206		
('114562 97', 'protein_ppName: EFNA1', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	11831.74822	10289.75709	11070.74728	2294.37206	2294.37206	2294.37206		
('114563 98', 'protein_ppName: EFNA1', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	25646.87919	17368.10382	32085.62491	20160.50249	21692.32175	23520.73294		
('114564 99', 'protein_ppName: EFNA1', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	25318.00005	27605.37561	30594.28544	20197.18623	21656.6995	26195.18041		
('114565 100', 'protein_ppName: EFNA1', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	103.8606935		
('114566 101', 'protein_ppName: EFNA1', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	1673.566797	103.8606935	103.8606935	1011.087275		
('114567 102', 'protein_ppName: EFNA1', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	16615.59196	14980.31202	13610.90898	3364.015878	3445.244912	3655.771456		
('114568 103', 'protein_ppName: EFNA1', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	18630.06952	13026.68464	24511.86156	7511.09255	3378.605249	6572.435313		
('114569 104', 'protein_ppName: EFNA1', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	6654.772884	5611.942064	6224.285142	2649.337784	2649.337784	2649.337784		
('114570 105', 'protein_ppName: EFNA1', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	7653.921472	5232.262961	6014.584032	2649.337784	2649.337784	2649.337784		
('114571 106', 'protein_ppName: EFNA1', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	2035.065726	804.5407064	1481.052001	343.1177563	343.1177563	518.1287238		
('114572 107', 'protein_ppName: EFNA1', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	1929.111236	1299.373532	3399.27901	343.1177563	343.1177563	1373.011272		
('114573 108', 'protein_ppName: EFNA1', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	4351.130337	3768.843627	4581.097245	9837.189805	6689.982191	7878.171839		
('114574 109', 'protein_ppName: EFNA1', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	6211.661556	5634.826212	5748.901105	12509.59246	9064.232751	11703.41422		
('114575 110', 'protein_ppName: EFNA1', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	66581.84856	54527.67943	55428.79496	3952.4108	3966.478082	3967.361376		
('114576 111', 'protein_ppName: EFNA1', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	55459.1596	63830.77193	69823.32415	3761.357492	4531.819217	3981.723089		
('114577 112', 'protein_ppName: EFNA1', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	2852.67687	3405.856764	2974.405429	406.3594033	414.7536153	276.6552885		
('114578 113', 'protein_ppName: EFNA1', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	2204.907034	2942.260658	2859.000431	1848.042753	845.0698067	508.3987225		
('114579 114', 'protein_ppName: EFNA1', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	9786.251737	9260.609187	10622.2342	389.867648	389.867648	389.867648		
('114580 115', 'protein_ppName: EFNA1', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	10546.54997	10773.94826	10893.86802	389.867648	389.867648	389.867648		
('114581 116', 'protein_ppName: EFNA1', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	3642.08784	3124.553612	3528.33591	4801.559611	4746.669046	5772.80697		
('114582 117', 'protein_ppName: EFNA1', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	4139.33569	3076.477674	4010.114238	4369.594731	4954.106111	6814.996341		
('114583 118', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	1264.695902	1313.649206	1392.704604		
('114584 119', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	1285.953838	2124.490675	1277.861827	1776.072413		
('114585 120', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021		
('114586 121', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	1069.931871	1069.931871	1624.714548	252.4573021	252.4573021	252.4573021		
('114587 122', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12580.98102	14338.86116	15575.98186	23208.36643	25792.43924	27398.43891		
('114588 123', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	13202.34172	13733.87987	16500.20307	24698.10715	24056.97801	27136.60128		
('114589 124', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	1912.88509	1179.839241	1249.047713	166.1702235	166.1702235	166.1702235		
('114590 125', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	3097.164178	751.2088921	1880.825283	1900.277937	166.1702235	166.1702235		
('114591 126', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	33074.36711	38435.35522	40764.46084	127.9250287	126.5604832	43.43729105		
('114592 127', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	33338.41157	42871.08082	34480.02149	43.43729105	149.8259836	480.8188623		
('114593 128', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	2943.918847	1879.29971	2420.322222	2360.487221	2360.487221	2360.487221		
('114594 129', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	3378.848464	1185.834035	3080.968316	2360.487221	2360.487221	2360.487221		
('114595 130', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	6604.915364	5437.848837	5896.698949	1608.22638	926.0922974	1780.406954		
('114596 131', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	6319.896528	4793.081844	7323.60597	1390.681414	592.264794	2565.711438		
('114597 132', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	20596.62927	17513.68131	21198.52892	3584.13095	4459.731503	3662.14111		
('114598 133', 'protein_ppName: EFNA1', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	20548.9227	19098.72457	22734.63974	4428.817709	3264.180442	4204.547569		
('114599 134', 'protein_ppName: EFNA1', 'cell_clName: T47D', 'ligandConcentration: 1.0')	6445.970979	5535.707293	5579.280394	863.9343925	1105.731684	1382.025221		
('114600 135', 'protein_ppName: EFNA1', 'cell_clName: T47D', 'ligandConcentration: 100.0')	7342.730605	5507.168712	6710.470505	2143.445884	1001.807181	2292.064774		
('114601 136', 'protein_ppName: EFNA1', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	2925.139586	3580.595632	3741.538323	25284.60168	26781.01586	27162.95572		
('114602 137', 'protein_ppName: EFNA1', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	3557.126869	3474.740708	3993.999371	26080.07203	25366.33859	27820.80749		
('114603 138', 'protein_ppName: EFNA1', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	23796.21541	25391.67794	29186.9562	2073.098393	2073.098393	2073.098393		
('114604 139', 'protein_ppName: EFNA1', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	25172.04922	23645.12711	24548.66295	2073.098393	2073.098393	2073.098393		
('114605 140', 'protein_ppName: EFNA1', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	4320.220456	3674.80285	4367.996799	493.8180389	40.03814833	264.2099616		
('114606 141', 'protein_ppName: EFNA1', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	2503.554155	2276.762186	2802.447616	473.3239415	40.03814833	2186.609852		
('114607 142', 'protein_ppName: EFNA1', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	7968.843835	6327.133376	8227.875223	17907.68321	15740.84867	18508.45619		
('114608 143', 'protein_ppName: EFNA1', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	7911.186496	6482.552209	7644.47559	17494.76015	16653.88605	17457.39246		
('114609 144', 'protein_ppName: EFNA1', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	4866.993431	3775.392605	6134.569006	8463.997949	8195.148079	8655.288011		
('114610 145', 'protein_ppName: EFNA1', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	4889.687007	4007.663347	5871.323522	8963.596547	8829.865457	11060.96944		
('114611 146', 'protein_ppName: EFNA1', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	14879.42705	14313.68884	14201.10482	666.4933818	248.3144238	248.3144238		
('114612 147', 'protein_ppName: EFNA1', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	14082.46184	13744.70979	13905.2019	248.3144238	248.3144238	430.6926085		
('114613 148', 'protein_ppName: EFNA1', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	1244.241173	1905.094417	1879.092829	3077.164256	3077.164256	3077.164256		
('114614 149', 'protein_ppName: EFNA1', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	1904.231294	1244.241173	2147.200495	3077.164256	3077.164256	3077.164256		
('114615 150', 'protein_ppName: EFNA1', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	3219.128897	3982.677255	3322.226437	2283.039487	1501.01323	4171.13218		
('114616 151', 'protein_ppName: EFNA1', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	2570.497272	1824.179303	2833.36752	3138.59442	1934.823707	3116.422562		
('114617 152', 'protein_ppName: EFNA1', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	1859.888936	2128.427514	2166.258584	407.4253875	407.4253875	407.4253875		
('114618 153', 'protein_ppName: EFNA1', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	2417.638808	1401.264736	2373.295832	407.4253875	407.4253875	407.4253875		
('114619 154', 'protein_ppName: EFNA1', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	2358.958515	1222.319659	1640.20198	6494.889806	7154.440567	7267.204652		
('114620 155', 'protein_ppName: EFNA1', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	3190.530642	1259.427598	2248.473822	6903.184667	6980.528852	9355.272229		
('114621 156', 'protein_ppName: EGF', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	889.1092723	889.1092723	889.1092723	12658.85797	3366.830071	2506.377093		
