	('meanRelativeCellCount 0',)	('standardErroroftheMeanforRelativeCellCount 1',)	('meanNormalizedGrowthRateInhibitionValue 2',)	('standardErroroftheMeanforNormalizedGrowthRateInhibitionValue 3',)
('AZD7762 15', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.28746	0.023009	-0.0004077	0.017756
('AZD7762 16', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.23664	0.017961	-0.10326	0.0083618
('AZD7762 17', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.16144	0.014158	-0.27567	0.023945
('AZD8055 18', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.30368	0.0098239	0.029612	0.019903
('AZD8055 19', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.28602	0.020464	-0.0035164	0.025579
('AZD8055 20', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.28024	0.019084	-0.015199	0.036863
('AZD8055 21', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.28359	0.018536	-0.0093161	0.041659
('AZD8055 22', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.2704	0.018487	-0.034393	0.038912
('AZD8055 23', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.19247	0.051979	-0.21563	0.13397
('Sorafenib 24', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.95218	0.011116	0.94551	0.013136
('Sorafenib 25', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.92079	0.026836	0.90958	0.032631
('Sorafenib 26', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.94232	0.016996	0.93644	0.016193
('Sorafenib 27', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.91594	0.03861	0.90598	0.041856
('Sorafenib 28', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.87066	0.046261	0.85169	0.051629
('Sorafenib 29', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.42922	0.054493	0.24741	0.071211
('CP466722 30', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0852	0.026287	1.09	0.029542
('CP466722 31', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0444	0.02589	1.0446	0.026285
('CP466722 32', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0429	0.04417	1.0458	0.047707
('CP466722 33', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1.0062	0.054048	1.0052	0.060324
('CP466722 34', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.92986	0.066864	0.91774	0.077996
('CP466722 35', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.61783	0.1799	0.49937	0.2388
('CP724714 36', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.85279	0.045879	0.83474	0.058511
('CP724714 37', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.82236	0.034104	0.80291	0.036519
('CP724714 38', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.80746	0.016921	0.78608	0.014745
('CP724714 39', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.81619	0.033324	0.79592	0.038341
('CP724714 40', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.84077	0.037912	0.82221	0.048711
('CP724714 41', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.58428	0.04814	0.49926	0.075163
('Flavopiridol 42', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.24829	0.0405	-0.086594	0.1074
('Flavopiridol 43', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.14201	0.019434	-0.32816	0.021617
('Flavopiridol 44', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.14033	0.025552	-0.33497	0.039389
('Flavopiridol 45', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.13103	0.021934	-0.35915	0.033165
('Flavopiridol 46', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.13096	0.025212	-0.36053	0.044499
('Flavopiridol 47', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.1297	0.022222	-0.36402	0.040134
('GW843682 48', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.73744	0.06026	0.68032	0.085553
('GW843682 49', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.45456	0.054547	0.27851	0.10522
('GW843682 50', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.36369	0.0087683	0.13974	0.013414
('GW843682 51', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.3259	0.021501	0.07196	0.010895
('GW843682 52', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.30927	0.018112	0.041538	0.0040418
('GW843682 53', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.38098	0.047828	0.16674	0.056911
('HG-5-113-01 54', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.87758	0.034083	0.8656	0.039778
('HG-5-113-01 55', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.75676	0.079827	0.71839	0.10459
('HG-5-113-01 56', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.51963	0.070893	0.39876	0.12222
('HG-5-113-01 57', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.36196	0.01978	0.16282	0.06402
('HG-5-113-01 58', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.30457	0.013204	0.064014	0.010585
('HG-5-113-01 59', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.17014	0.020675	-0.22179	0.060888
('HG-5-88-01 60', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.69647	0.035797	0.63465	0.047438
('HG-5-88-01 61', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.67123	0.016433	0.60214	0.022827
('HG-5-88-01 62', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.59308	0.022698	0.49314	0.046921
('HG-5-88-01 63', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.50301	0.025121	0.36383	0.040889
('HG-5-88-01 64', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.40488	0.04481	0.20788	0.062669
('HG-5-88-01 65', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.25409	0.020098	-0.067212	0.030937
('HG-6-64-01 66', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.1523	0.038023	1.1624	0.038846
('HG-6-64-01 67', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0703	0.049754	1.0748	0.055847
('HG-6-64-01 68', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1.0272	0.021403	1.0287	0.023594
('HG-6-64-01 69', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.96607	0.060155	0.95789	0.071988
('HG-6-64-01 70', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.69725	0.061632	0.63316	0.072609
('HG-6-64-01 71', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.12686	0.042386	-0.3873	0.14855
('Neratinib 72', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.75356	0.070143	0.72199	0.072265
('Neratinib 73', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.70801	0.039503	0.66342	0.046461
('Neratinib 74', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.64623	0.0079236	0.58527	0.024192
('Neratinib 75', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.53457	0.080803	0.41861	0.13494
('Neratinib 76', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.45086	0.062892	0.2988	0.12009
