	('auc 0',)
('490675 25', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.46043
('490676 26', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.51392
('490677 27', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.38175
('490678 28', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.80265
('490679 29', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.016016
('490680 30', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.22707
('490681 31', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.88628
('490682 32', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.067698
('490683 33', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10048', 'smallmolecule_smLincsID: LSM-1048', 'smallmolecule_smName: PD184352', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.668
('490684 34', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.89001
('490685 35', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.80111
('490686 36', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10052', 'smallmolecule_smLincsID: LSM-1052', 'smallmolecule_smName: Rapamycin', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.48855
('490687 37', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10053', 'smallmolecule_smLincsID: LSM-1053', 'smallmolecule_smName: ZSTK474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.19979
('490688 38', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10055', 'smallmolecule_smLincsID: LSM-1055', 'smallmolecule_smName: BX-912', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.5307
('490689 39', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10056', 'smallmolecule_smLincsID: LSM-1056', 'smallmolecule_smName: Selumetinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.62903
('490690 40', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10057', 'smallmolecule_smLincsID: LSM-1057', 'smallmolecule_smName: MK2206', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.2933
('490691 41', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10059', 'smallmolecule_smLincsID: LSM-1059', 'smallmolecule_smName: AZD-6482', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.77407
('490692 42', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10061', 'smallmolecule_smLincsID: LSM-1061', 'smallmolecule_smName: NU7441', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.79537
('490693 43', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10063', 'smallmolecule_smLincsID: LSM-1063', 'smallmolecule_smName: OSI-027', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.40948
('490694 44', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10064', 'smallmolecule_smLincsID: LSM-1064', 'smallmolecule_smName: WYE-125132', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.11163
('490695 45', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10067', 'smallmolecule_smLincsID: LSM-1067', 'smallmolecule_smName: AZD1152-HQPA', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.1342
('490696 46', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10068', 'smallmolecule_smLincsID: LSM-1068', 'smallmolecule_smName: Vemurafenib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.98177
('490697 47', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10069', 'smallmolecule_smLincsID: LSM-1069', 'smallmolecule_smName: Enzastaurin', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.92685
('490698 48', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.44429
('490699 49', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10072', 'smallmolecule_smLincsID: LSM-1072', 'smallmolecule_smName: PF562271', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.33518
('490700 50', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10073', 'smallmolecule_smLincsID: LSM-1073', 'smallmolecule_smName: PHA-793887', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.0095943
('490701 51', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10075', 'smallmolecule_smLincsID: LSM-5803', 'smallmolecule_smName: QL-X-138', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.24474
('490702 52', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10077', 'smallmolecule_smLincsID: LSM-6019', 'smallmolecule_smName: QL-XII-47', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.094644
('490703 53', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10079', 'smallmolecule_smLincsID: LSM-1079', 'smallmolecule_smName: Torin1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.048501
('490704 54', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10080', 'smallmolecule_smLincsID: LSM-1080', 'smallmolecule_smName: Torin2', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	-0.045307
('490705 55', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10082', 'smallmolecule_smLincsID: LSM-5545', 'smallmolecule_smName: WZ-4-145', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.36311
('490706 56', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10084', 'smallmolecule_smLincsID: LSM-5970', 'smallmolecule_smName: WZ3105', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	-0.28655
('490707 57', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10086', 'smallmolecule_smLincsID: LSM-1086', 'smallmolecule_smName: XMD11-50', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.47262
('490708 58', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10087', 'smallmolecule_smLincsID: LSM-5577', 'smallmolecule_smName: XMD11-85h', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.72083
('490709 59', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10091', 'smallmolecule_smLincsID: LSM-6299', 'smallmolecule_smName: XMD16-144', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.092505
('490710 60', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.96699
('490711 61', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10098', 'smallmolecule_smLincsID: LSM-1098', 'smallmolecule_smName: Gefitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	1.0135
('490712 62', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.83174
('490713 63', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10100', 'smallmolecule_smLincsID: LSM-36386', 'smallmolecule_smName: JNK-9L', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.13017
('490714 64', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10101', 'smallmolecule_smLincsID: LSM-1101', 'smallmolecule_smName: PD0325901', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.40378
('490715 65', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10101', 'smallmolecule_smLincsID: LSM-1101', 'smallmolecule_smName: PD0325901', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.39024
('490716 66', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10108', 'smallmolecule_smLincsID: LSM-1108', 'smallmolecule_smName: Geldanamycin', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.074672
('490717 67', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10108', 'smallmolecule_smLincsID: LSM-1108', 'smallmolecule_smName: Geldanamycin', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.059171
('490718 68', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10109', 'smallmolecule_smLincsID: LSM-1109', 'smallmolecule_smName: YM 201636', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.63545
('490719 69', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10111', 'smallmolecule_smLincsID: LSM-1111', 'smallmolecule_smName: TWS119', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.74145
('490720 70', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10112', 'smallmolecule_smLincsID: LSM-1112', 'smallmolecule_smName: PF477736', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.29847
('490721 71', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10115', 'smallmolecule_smLincsID: LSM-1115', 'smallmolecule_smName: LDN-193189', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.64129
('490722 72', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10116', 'smallmolecule_smLincsID: LSM-1116', 'smallmolecule_smName: PF431396', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.19262
('490723 73', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10117', 'smallmolecule_smLincsID: LSM-1117', 'smallmolecule_smName: Celastrol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.40347
('490724 74', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10119', 'smallmolecule_smLincsID: LSM-1119', 'smallmolecule_smName: SU11274', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.80529
('490725 75', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10120', 'smallmolecule_smLincsID: LSM-1120', 'smallmolecule_smName: Canertinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.58018
('490726 76', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10122', 'smallmolecule_smLincsID: LSM-1122', 'smallmolecule_smName: NVP-AEW541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.50494
('490727 77', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10125', 'smallmolecule_smLincsID: LSM-1125', 'smallmolecule_smName: PHA-665752', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.96146
('490728 78', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10126', 'smallmolecule_smLincsID: LSM-1126', 'smallmolecule_smName: PI103', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.14646
('490729 79', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10127', 'smallmolecule_smLincsID: LSM-1127', 'smallmolecule_smName: Dovitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.61242
('490730 80', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10128', 'smallmolecule_smLincsID: LSM-1128', 'smallmolecule_smName: GSK 690693', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.42769
('490731 81', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10132', 'smallmolecule_smLincsID: LSM-1132', 'smallmolecule_smName: BMS-387032', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.28711
('490732 82', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10133', 'smallmolecule_smLincsID: LSM-5742', 'smallmolecule_smName: Afatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.59312
('490733 83', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10134', 'smallmolecule_smLincsID: LSM-1134', 'smallmolecule_smName: GSK1904529A', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.38938
('490734 84', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.5214
('490735 85', 'smallmolecule_smSalt: 105', 'smallmolecule_smCenterCompoundID: 10138', 'smallmolecule_smLincsID: LSM-1139', 'smallmolecule_smName: Ruxolitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.95954
('490736 86', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10140', 'smallmolecule_smLincsID: LSM-1141', 'smallmolecule_smName: CYT387', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.61062
('490737 87', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10141', 'smallmolecule_smLincsID: LSM-1142', 'smallmolecule_smName: TG 101348', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.52732
('490738 88', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10142', 'smallmolecule_smLincsID: LSM-1143', 'smallmolecule_smName: Trametinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.38794
('490739 89', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.061026
('490740 90', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10147', 'smallmolecule_smLincsID: LSM-1148', 'smallmolecule_smName: Buparlisib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.14884
('490741 91', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10148', 'smallmolecule_smLincsID: LSM-1149', 'smallmolecule_smName: XL147', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.98972
('490742 92', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10149', 'smallmolecule_smLincsID: LSM-1150', 'smallmolecule_smName: Y39983', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.73186
('490743 93', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10151', 'smallmolecule_smLincsID: LSM-1152', 'smallmolecule_smName: Nintedanib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.59126
('490744 94', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10157', 'smallmolecule_smLincsID: LSM-1158', 'smallmolecule_smName: Foretinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.24522
('490745 95', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10158', 'smallmolecule_smLincsID: LSM-1159', 'smallmolecule_smName: AZD 5438', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.063495
('490746 96', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10159', 'smallmolecule_smLincsID: LSM-1160', 'smallmolecule_smName: Pelitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.65935
