	('cellCount 0',)	('relativeCellCount 1',)	('relativeGrowth 2',)
('GDC-0941 13', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.76776695297', 'replicate: 1', 'experimentDate: 2014-03-19')	10196.0		
('GDC-0941 14', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: 1', 'experimentDate: 2014-03-19')	9102.0		
('GDC-0941 15', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.53553390593', 'replicate: 1', 'experimentDate: 2014-03-19')	6362.0		
('GDC-0941 16', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: 1', 'experimentDate: 2014-03-19')	5079.0		
('GDC-0941 17', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.07106781187', 'replicate: 1', 'experimentDate: 2014-03-19')	4886.0		
('GDC-0941 18', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: 1', 'experimentDate: 2014-03-19')	3444.0		
('GDC-0941 19', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421356237', 'replicate: 1', 'experimentDate: 2014-03-19')	3510.0		
('GDC-0941 20', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: 1', 'experimentDate: 2014-03-19')	2954.0		
('GDC-0941 21', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 22', 'replicate: 1', 'experimentDate: 2014-03-19')	3580.0		
('GDC-0941 22', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: 2', 'experimentDate: 2014-03-19')	11114.0		
('GDC-0941 23', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0283333333333', 'replicate: 2', 'experimentDate: 2014-03-19')	11020.0		
('GDC-0941 24', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0383333333333', 'replicate: 2', 'experimentDate: 2014-03-19')	11237.0		
('GDC-0941 25', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: 2', 'experimentDate: 2014-03-19')	11883.0		
('GDC-0941 26', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0783333333333', 'replicate: 2', 'experimentDate: 2014-03-19')	11399.0		
('GDC-0941 27', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11048543456', 'replicate: 2', 'experimentDate: 2014-03-19')	11265.0		
('GDC-0941 28', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: 2', 'experimentDate: 2014-03-19')	11925.0		
('GDC-0941 29', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.220970869121', 'replicate: 2', 'experimentDate: 2014-03-19')	12552.0		
('GDC-0941 30', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: 2', 'experimentDate: 2014-03-19')	11683.0		
('GDC-0941 31', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.441941738242', 'replicate: 2', 'experimentDate: 2014-03-19')	11035.0		
('GDC-0941 32', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: 2', 'experimentDate: 2014-03-19')	11946.0		
('GDC-0941 33', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.883883476483', 'replicate: 2', 'experimentDate: 2014-03-19')	12394.0		
('GDC-0941 34', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: 2', 'experimentDate: 2014-03-19')	11174.0		
('GDC-0941 35', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.76776695297', 'replicate: 2', 'experimentDate: 2014-03-19')	10226.0		
('GDC-0941 36', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: 2', 'experimentDate: 2014-03-19')	9353.0		
('GDC-0941 37', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.53553390593', 'replicate: 2', 'experimentDate: 2014-03-19')	8060.0		
('GDC-0941 38', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: 2', 'experimentDate: 2014-03-19')	5403.0		
('GDC-0941 39', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.07106781187', 'replicate: 2', 'experimentDate: 2014-03-19')	4952.0		
('GDC-0941 40', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: 2', 'experimentDate: 2014-03-19')	4052.0		
('GDC-0941 41', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421356237', 'replicate: 2', 'experimentDate: 2014-03-19')	4347.0		
('GDC-0941 42', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: 2', 'experimentDate: 2014-03-19')	3572.0		
('GDC-0941 43', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 22', 'replicate: 2', 'experimentDate: 2014-03-19')	3315.0		
('GDC-0941 44', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: 3', 'experimentDate: 2014-03-19')	10515.0		
('GDC-0941 45', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0283333333333', 'replicate: 3', 'experimentDate: 2014-03-19')	10541.0		
('GDC-0941 46', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0383333333333', 'replicate: 3', 'experimentDate: 2014-03-19')	11132.0		
('GDC-0941 47', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: 3', 'experimentDate: 2014-03-19')	10390.0		
('GDC-0941 48', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0783333333333', 'replicate: 3', 'experimentDate: 2014-03-19')	10807.0		
('GDC-0941 49', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11048543456', 'replicate: 3', 'experimentDate: 2014-03-19')	11089.0		
('GDC-0941 50', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: 3', 'experimentDate: 2014-03-19')	11340.0		
('GDC-0941 51', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.220970869121', 'replicate: 3', 'experimentDate: 2014-03-19')	12990.0		
('GDC-0941 52', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: 3', 'experimentDate: 2014-03-19')	11199.0		
('GDC-0941 53', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.441941738242', 'replicate: 3', 'experimentDate: 2014-03-19')	10802.0		
('GDC-0941 54', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: 3', 'experimentDate: 2014-03-19')	12175.0		
('GDC-0941 55', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.883883476483', 'replicate: 3', 'experimentDate: 2014-03-19')	11786.0		
('GDC-0941 56', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: 3', 'experimentDate: 2014-03-19')	11076.0		
('GDC-0941 57', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.76776695297', 'replicate: 3', 'experimentDate: 2014-03-19')	10164.0		
('GDC-0941 58', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: 3', 'experimentDate: 2014-03-19')	9963.0		
('GDC-0941 59', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.53553390593', 'replicate: 3', 'experimentDate: 2014-03-19')	8226.0		
('GDC-0941 60', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: 3', 'experimentDate: 2014-03-19')	7529.0		
('GDC-0941 61', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.07106781187', 'replicate: 3', 'experimentDate: 2014-03-19')	6388.0		
('GDC-0941 62', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: 3', 'experimentDate: 2014-03-19')	4665.0		
('GDC-0941 63', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421356237', 'replicate: 3', 'experimentDate: 2014-03-19')	4130.0		
('GDC-0941 64', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: 3', 'experimentDate: 2014-03-19')	3917.0		
('GDC-0941 65', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 22', 'replicate: 3', 'experimentDate: 2014-03-19')	4129.0		
('GDC-0941 66', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: ', 'experimentDate: 2014-03-19')		1.0499	1.0751
('GDC-0941 67', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.028333', 'replicate: ', 'experimentDate: 2014-03-19')		1.0331	1.0498
('GDC-0941 68', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.038333', 'replicate: ', 'experimentDate: 2014-03-19')		1.0607	1.0914
('GDC-0941 69', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: ', 'experimentDate: 2014-03-19')		1.0562	1.0844
('GDC-0941 70', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.078333', 'replicate: ', 'experimentDate: 2014-03-19')		1.0653	1.0983
('GDC-0941 71', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11049', 'replicate: ', 'experimentDate: 2014-03-19')		1.0932	1.1403
('GDC-0941 72', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: ', 'experimentDate: 2014-03-19')		1.1249	1.1881
('GDC-0941 73', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.22097', 'replicate: ', 'experimentDate: 2014-03-19')		1.1907	1.2871
('GDC-0941 74', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: ', 'experimentDate: 2014-03-19')		1.1057	1.1591
('GDC-0941 75', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.44194', 'replicate: ', 'experimentDate: 2014-03-19')		1.0939	1.1415
('GDC-0941 76', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: ', 'experimentDate: 2014-03-19')		1.1318	1.1984
('GDC-0941 77', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.88388', 'replicate: ', 'experimentDate: 2014-03-19')		1.1569	1.2362
('GDC-0941 78', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: ', 'experimentDate: 2014-03-19')		1.0582	1.0877
('GDC-0941 79', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.7678', 'replicate: ', 'experimentDate: 2014-03-19')		0.98568	0.97845
('GDC-0941 80', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: ', 'experimentDate: 2014-03-19')		0.91582	0.87326
('GDC-0941 81', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.5355', 'replicate: ', 'experimentDate: 2014-03-19')		0.72966	0.59279
('GDC-0941 82', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: ', 'experimentDate: 2014-03-19')		0.58051	0.36843
('GDC-0941 83', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.0711', 'replicate: ', 'experimentDate: 2014-03-19')		0.52298	0.2818
('GDC-0941 84', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: ', 'experimentDate: 2014-03-19')		0.39186	0.084285
('GDC-0941 85', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421', 'replicate: ', 'experimentDate: 2014-03-19')		0.38618	0.075669
('GDC-0941 86', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: ', 'experimentDate: 2014-03-19')		0.33648	0.00088206
('GDC-0941 87', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 22', 'replicate: ', 'experimentDate: 2014-03-19')		0.35535	0.029398
('GDC-0941 88', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: 1', 'experimentDate: 2014-04-01')	6034.0		
('GDC-0941 89', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0283333333333', 'replicate: 1', 'experimentDate: 2014-04-01')	6304.0		
('GDC-0941 90', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0383333333333', 'replicate: 1', 'experimentDate: 2014-04-01')	7276.0		
('GDC-0941 91', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: 1', 'experimentDate: 2014-04-01')	7303.0		
('GDC-0941 92', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0783333333333', 'replicate: 1', 'experimentDate: 2014-04-01')	7078.0		
('GDC-0941 93', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11048543456', 'replicate: 1', 'experimentDate: 2014-04-01')	7333.0		
('GDC-0941 94', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: 1', 'experimentDate: 2014-04-01')	8334.0		
('GDC-0941 95', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.220970869121', 'replicate: 1', 'experimentDate: 2014-04-01')	8078.0		
('GDC-0941 96', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: 1', 'experimentDate: 2014-04-01')	8609.0		
('GDC-0941 97', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.441941738242', 'replicate: 1', 'experimentDate: 2014-04-01')	6012.0		
('GDC-0941 98', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: 1', 'experimentDate: 2014-04-01')	6370.0		
('GDC-0941 99', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.883883476483', 'replicate: 1', 'experimentDate: 2014-04-01')	5387.0		
('GDC-0941 100', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: 1', 'experimentDate: 2014-04-01')	5125.0		
('GDC-0941 101', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.76776695297', 'replicate: 1', 'experimentDate: 2014-04-01')	4538.0		
('GDC-0941 102', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: 1', 'experimentDate: 2014-04-01')	4494.0		
('GDC-0941 103', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.53553390593', 'replicate: 1', 'experimentDate: 2014-04-01')	2373.0		
('GDC-0941 104', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: 1', 'experimentDate: 2014-04-01')	2005.0		
('GDC-0941 105', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.07106781187', 'replicate: 1', 'experimentDate: 2014-04-01')	2143.0		
('GDC-0941 106', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: 1', 'experimentDate: 2014-04-01')	1479.0		
('GDC-0941 107', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421356237', 'replicate: 1', 'experimentDate: 2014-04-01')	1567.0		
('GDC-0941 108', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: 1', 'experimentDate: 2014-04-01')	1202.0		
('GDC-0941 109', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 22', 'replicate: 1', 'experimentDate: 2014-04-01')	1343.0		
('GDC-0941 110', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: 2', 'experimentDate: 2014-04-01')	7263.0		
('GDC-0941 111', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0283333333333', 'replicate: 2', 'experimentDate: 2014-04-01')	7876.0		
('GDC-0941 112', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0383333333333', 'replicate: 2', 'experimentDate: 2014-04-01')	7021.0		
('GDC-0941 113', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: 2', 'experimentDate: 2014-04-01')	6626.0		
('GDC-0941 114', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0783333333333', 'replicate: 2', 'experimentDate: 2014-04-01')	8311.0		
('GDC-0941 115', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11048543456', 'replicate: 2', 'experimentDate: 2014-04-01')	8347.0		
('GDC-0941 116', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: 2', 'experimentDate: 2014-04-01')	7471.0		
('GDC-0941 117', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.220970869121', 'replicate: 2', 'experimentDate: 2014-04-01')	6219.0		
('GDC-0941 118', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: 2', 'experimentDate: 2014-04-01')	7663.0		
('GDC-0941 119', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.441941738242', 'replicate: 2', 'experimentDate: 2014-04-01')	8025.0		
('GDC-0941 120', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: 2', 'experimentDate: 2014-04-01')	7273.0		
('GDC-0941 121', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.883883476483', 'replicate: 2', 'experimentDate: 2014-04-01')	5576.0		
('GDC-0941 122', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: 2', 'experimentDate: 2014-04-01')	6400.0		
('GDC-0941 123', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.76776695297', 'replicate: 2', 'experimentDate: 2014-04-01')	5975.0		
('GDC-0941 124', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: 2', 'experimentDate: 2014-04-01')	5339.0		
('GDC-0941 125', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.53553390593', 'replicate: 2', 'experimentDate: 2014-04-01')	4016.0		
('GDC-0941 126', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: 2', 'experimentDate: 2014-04-01')	2219.0		
('GDC-0941 127', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.07106781187', 'replicate: 2', 'experimentDate: 2014-04-01')	2386.0		
('GDC-0941 128', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: 2', 'experimentDate: 2014-04-01')	2176.0		
('GDC-0941 129', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421356237', 'replicate: 2', 'experimentDate: 2014-04-01')	1673.0		
('GDC-0941 130', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: 2', 'experimentDate: 2014-04-01')	1429.0		
('GDC-0941 131', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 22', 'replicate: 2', 'experimentDate: 2014-04-01')	1491.0		
('GDC-0941 132', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: 3', 'experimentDate: 2014-04-01')	7575.0		
('GDC-0941 133', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0283333333333', 'replicate: 3', 'experimentDate: 2014-04-01')	6747.0		
('GDC-0941 134', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0383333333333', 'replicate: 3', 'experimentDate: 2014-04-01')	7915.0		
('GDC-0941 135', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: 3', 'experimentDate: 2014-04-01')	6558.0		
('GDC-0941 136', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0783333333333', 'replicate: 3', 'experimentDate: 2014-04-01')	7719.0		
('GDC-0941 137', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11048543456', 'replicate: 3', 'experimentDate: 2014-04-01')	6660.0		
('GDC-0941 138', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: 3', 'experimentDate: 2014-04-01')	7486.0		
('GDC-0941 139', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.220970869121', 'replicate: 3', 'experimentDate: 2014-04-01')	6150.0		
('GDC-0941 140', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: 3', 'experimentDate: 2014-04-01')	7780.0		
('GDC-0941 141', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.441941738242', 'replicate: 3', 'experimentDate: 2014-04-01')	7050.0		
('GDC-0941 142', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: 3', 'experimentDate: 2014-04-01')	7460.0		
('GDC-0941 143', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.883883476483', 'replicate: 3', 'experimentDate: 2014-04-01')	7866.0		
('GDC-0941 144', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: 3', 'experimentDate: 2014-04-01')	6143.0		
('GDC-0941 145', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.76776695297', 'replicate: 3', 'experimentDate: 2014-04-01')	6018.0		
('GDC-0941 146', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 2.5', 'replicate: 3', 'experimentDate: 2014-04-01')	4503.0		
('GDC-0941 147', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 3.53553390593', 'replicate: 3', 'experimentDate: 2014-04-01')	3620.0		
('GDC-0941 148', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 5', 'replicate: 3', 'experimentDate: 2014-04-01')	3577.0		
('GDC-0941 149', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 7.07106781187', 'replicate: 3', 'experimentDate: 2014-04-01')	2580.0		
('GDC-0941 150', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 10', 'replicate: 3', 'experimentDate: 2014-04-01')	2071.0		
('GDC-0941 151', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 14.1421356237', 'replicate: 3', 'experimentDate: 2014-04-01')	1476.0		
('GDC-0941 152', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 20', 'replicate: 3', 'experimentDate: 2014-04-01')	1728.0		
