	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('GSK461364 38', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-4.4776	0.9733	-8.0241	-7.9672	-8.0354	2.7685	0.1432	0.1432	4.1533
('GSK461364 39', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-4.4776	0.9804	-7.5366	-7.5215	-7.5669	3.999	0.06299	0.06299	4.5877
('GSK461364 40', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-4.4776	0.8273	-5.1574	-5.1573	-5.8411	1.726	7.86e-14	0.087857	7.3788
('GSK461364 41', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')									
('GSK461364 42', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-4.4776	0.9292	-7.8106	-7.659	-7.7933	4.0	0.3759	0.3759	5.7423
('GSK461364 43', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-4.4776	0.9315	-8.2401	-8.0625	-8.2787	2.723	0.3025	0.3025	4.8266
('GSK461364 44', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: 184A1', 'clCenterSpecificID: 51088')	-4.4776	0.964	-4.8844	-4.8844	-5.2355	2.302	1.8e-16	0.10374	7.8611
('GSK461364 45', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-4.4776	0.7888	-5.5836	-5.5839	-5.831	0.497	3.2e-13	0.21994	6.8984
('GSK461364 46', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: MX1', 'clCenterSpecificID: 51090')									
('GSK461364 47', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')									
('GSK461364 48', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-4.4776	0.8618	-4.8362	-4.8362	-4.8631	4.0	1.54e-16	0.035466	7.937
('GSK461364 49', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-4.4776	0.80165	-7.9856	-4.4776	-8.1186	3.095	0.58775	0.58775	6.484
('GSK461364 50', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-4.4776	0.9419	-7.7731	-6.0544	-7.7749	3.9995	0.4331	0.4331	6.0629
('GSK461364 51', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: LY2', 'clCenterSpecificID: 51095')	-4.4776	0.7525	-5.3501	-5.3501	-5.9259	0.3841	2.08e-16	0.31611	6.7154
('GSK461364 52', 'smCenterCompoundID: 10013', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1013', 'smName: GSK461364', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-4.4776	0.84415	-6.5221	-5.079	-7.0316	2.1862	0.31603	0.42156	6.9822
('Tozasertib 53', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MCF7', 'clCenterSpecificID: 50029')									
('Tozasertib 54', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')									
('Tozasertib 55', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.0	0.9221	-4.8628	-4.863	-4.9264	1.107	2.21e-13	0.099781	7.3371
('Tozasertib 56', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: AU565', 'clCenterSpecificID: 50091')									
('Tozasertib 57', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BT-20', 'clCenterSpecificID: 50105')	-4.0	0.8366	-4.6124	-4.6124	-5.5324	0.4999	1.88e-16	0.33072	7.0328
('Tozasertib 58', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BT-474', 'clCenterSpecificID: 50106')	-4.0	0.8143	-4.4178	-4.4177	-5.1819	1.555	3.74e-13	0.18308	7.9621
('Tozasertib 59', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BT-483', 'clCenterSpecificID: 50107')									
('Tozasertib 60', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BT-549', 'clCenterSpecificID: 50108')	-4.0	0.9135	-5.58	-5.5799	-5.7199	0.6894	2.22e-16	0.075306	6.3599
('Tozasertib 61', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-4.0	0.9263	-4.2342	-4.2342	-4.2323	3.283	7.42e-05	0.14557	7.9614
('Tozasertib 62', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1143', 'clCenterSpecificID: 50205')									
('Tozasertib 63', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-4.0	0.9267	-4.957	-4.957	-5.7943	0.9915	1.96e-16	0.10111	6.6654
('Tozasertib 64', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-4.0	0.8498	-4.1981	-4.1981	-4.8568	0.9298	2.07e-16	0.39556	7.7843
('Tozasertib 65', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1428', 'clCenterSpecificID: 50208')									
('Tozasertib 66', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-4.0	0.9023	-5.022	-5.022	-5.7245	0.5522	1.85e-16	0.21426	6.7476
('Tozasertib 67', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1806', 'clCenterSpecificID: 50211')									
('Tozasertib 68', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1937', 'clCenterSpecificID: 50212')									
('Tozasertib 69', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1954', 'clCenterSpecificID: 50213')									
('Tozasertib 70', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC202', 'clCenterSpecificID: 50214')									
('Tozasertib 71', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC38', 'clCenterSpecificID: 50216')	-4.0	0.9362	-6.055	-6.0552	-6.5583	0.5106	7.91e-13	0.081936	5.5362
('Tozasertib 72', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC70', 'clCenterSpecificID: 50219')	-4.0	0.7843	-5.247	-5.2466		0.3821	1.38e-16	0.25034	6.3077
('Tozasertib 73', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: Hs 578T', 'clCenterSpecificID: 50238')									
('Tozasertib 74', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MB 157', 'clCenterSpecificID: 50324')	-4.0	0.9915	-7.096	-7.0691	-7.1271	3.784	0.1047	0.1047	4.6667
('Tozasertib 75', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-4.0	0.9695	-4.7252	-4.7252	-5.7263	0.452	1.58e-16	0.3198	7.0698
('Tozasertib 76', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-4.0	0.9065	-5.027	-5.0273	-5.4475	0.8482	2.02e-16	0.11853	6.9191
('Tozasertib 77', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-4.0	0.9576	-4.4982	-4.4983	-4.8063	3.003	2.1e-16	0.03091	7.5216
('Tozasertib 78', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-4.0	0.9415	-4.5904	-4.5905	-5.2826	2.2145	3.41e-14	0.050532	7.4753
('Tozasertib 79', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-4.0	0.8816	-5.389	-5.3894	-6.0657	0.4927	5.64e-13	0.17132	6.4739
('Tozasertib 80', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-4.0	0.818	-4.7763	-4.7762	-5.2841	0.7487	1.24e-16	0.20781	6.924
('Tozasertib 81', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')									
('Tozasertib 82', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: T47D', 'clCenterSpecificID: 50541')									
('Tozasertib 83', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-4.0	0.8195	-4.5034	-4.5034	-4.9544	1.873	1.35e-16	0.1024	7.1924
('Tozasertib 84', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-4.0	0.8455	-4.3861	-4.3862	-4.8815	1.954	2.5e-13	0.14964	7.4964
('Tozasertib 85', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-4.0	0.8356	-4.791	-4.791	-5.4789	0.7409	1.21e-16	0.20596	6.7892
('Tozasertib 86', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 184B5', 'clCenterSpecificID: 50576')	-4.0	0.9641	-5.372	-5.3719	-5.756	0.7204	2.42e-13	0.093154	6.4426
('Tozasertib 87', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-4.0	0.9337	-6.951	-6.8256	-6.9967	2.937	0.2867	0.2867	5.5965
('Tozasertib 88', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MCF 10A', 'clCenterSpecificID: 50583')									
('Tozasertib 89', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MCF 10F', 'clCenterSpecificID: 50584')									
('Tozasertib 90', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-4.0	0.9491	-4.715	-4.7149	-5.4637	0.8303	3.3e-13	0.20314	7.2828
('Tozasertib 91', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM149PT', 'clCenterSpecificID: 51082')									
('Tozasertib 92', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-4.0	0.8415	-6.689	-6.608	-6.6556	2.257	0.1716	0.1716	5.7599
('Tozasertib 93', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM185PE', 'clCenterSpecificID: 51084')									
('Tozasertib 94', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-4.0	0.8959	-4.5514	-4.5514	-4.7894	2.436	1.33e-16	0.043392	7.4471
('Tozasertib 95', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM229PE', 'clCenterSpecificID: 51086')									
('Tozasertib 96', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SUM52PE', 'clCenterSpecificID: 51087')									
