	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('555692 37', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	inf	0.57962	0.11411		0.9523	1.0293	0.59698	1.3384	3.2047	0.32686	0.19555		0.9646	1.2216	0.32406	1.083
('555693 38', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	8.9893	0.46075	0.17337		0.8536	1.4921	0.45213	1.3064	2.0967	0.153	0.2794		0.8571	1.7154	0.10754	1.2064
('555694 39', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	3.6183	0.40854	0.15215		0.9544	1.1715	0.43374	1.7922	1.5149	0.044199	0.25276		0.9607	1.3994	0.056372	1.5083
('555695 40', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	2.7934	0.38075	0.19712		0.9811	0.9707	0.40485	1.5697	1.3557	0.080386	0.28434		0.9843	1.1496	0.10256	1.3922
('555696 41', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	5.723	0.44247	0.2054		0.9871	1.245	0.39941	1.0513	2.2994	0.25796	0.26086		0.9897	1.4469	0.1958	1.0728
('555697 42', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	156.25	inf	1.05	0.03247		0.0	inf	1.05	0.0	inf	1.05	0.078721		-0.0413	inf	1.05	0.0
('555698 43', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	312.5	inf	0.83904	0.10086		0.4423	inf	0.83904	0.0	inf	0.77887	0.1493		0.3991	inf	0.77887	0.0
('555699 44', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	625.0	inf	0.88253	0.070721		0.3847	inf	0.88253	0.0	inf	0.68163	0.20027		0.4174	inf	0.68163	0.0
('555700 45', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	1250.0	inf	0.7852	0.11125		0.9095	0.1263	0.77146	5.0	0.1889	0.41593	0.27948		0.9322	0.1264	0.43291	5.0
('555701 46', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	2500.0	inf	0.63576	0.16547		0.9466	0.0856	0.67717	5.0	0.1108	0.27858	0.34339		0.9598	0.0866	0.35386	5.0
('555702 47', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 1')	5000.0	inf	0.54287	0.25732		0.9881	0.0584	0.5525	3.9662	0.089	0.38083	0.34926		0.9922	0.0597	0.39536	3.9094
('555703 48', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	11.1916	0.63579	-0.022592		0.8676	11.1513	0.0089445	5.0	9.2068	0.32974	-0.0023406		0.9559	11.4589	-0.99329	5.0
('555704 49', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	10.5091	0.56122	-0.0062353		0.909	10.5083	0.00019494	5.0	8.9871	0.27475	0.016008		0.9589	11.1922	-0.99778	5.0
('555705 50', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	10.4833	0.5582	-0.017457		0.9058	10.4831	5.413e-05	5.0	9.0342	0.28678	0.00050254		0.9607	11.2515	-0.99819	5.0
('555706 51', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	9.5141	0.47487	0.023099		0.9588	7.3956	0.30452	3.7284	7.789	0.29629	0.03903		0.9733	7.6883	0.022867	3.595
('555707 52', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	8.3531	0.49218	0.039425		0.961	4.0463	0.48666	5.0	5.4143	0.37153	0.049778		0.9724	4.1756	0.36353	4.9987
('555708 53', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	9.3172	0.48415	0.034875		0.9836	5.2446	0.38906	2.62	6.9653	0.35349	0.044784		0.9884	5.6941	0.20363	2.5955
('555709 54', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	1.1512	0.44543	0.19808		0.9642	0.692	0.46077	5.0	0.8853	0.37342	0.23289		0.951	0.6797	0.36663	5.0
('555710 55', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	0.8181	0.39157	0.29654		0.9631	0.2923	0.40292	1.5925	0.5429	0.33612	0.30762		0.9828	0.3287	0.35986	2.5341
('555711 56', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	0.8884	0.3508	0.29851		0.9798	0.3347	0.35355	1.2577	0.823	0.29963	0.28821		0.9814	0.4431	0.32438	1.6899
('555712 57', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	0.6482	0.37929	0.29087		0.9903	0.3226	0.39939	2.2973	0.6413	0.36411	0.28266		0.9909	0.3634	0.39501	2.7483
('555713 58', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	1.7746	0.45653	0.31437		0.9722	0.1799	0.42834	0.8487	1.2586	0.42971	0.31699		0.9766	0.2168	0.404	0.93819
