	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('(R)- Roscovitine 14', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J02')	1235.0	3295.0	4326.0	0.7616	0.72037
('(R)- Roscovitine 15', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J01')	1235.0	734.0	4119.0	0.17819	-0.25893
('(R)- Roscovitine 16', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J01')	1235.0	687.0	4356.0	0.1577	-0.27585
('(R)- Roscovitine 17', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J01')	1235.0	697.0	4326.0	0.1611	-0.27133
('AT-7519 18', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K06')	1235.0	3316.0	3974.0	0.83439	0.79632
('AT-7519 19', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K06')	1235.0	3573.0	4070.0	0.87781	0.85407
('AT-7519 20', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K06')	1235.0	3793.0	4126.0	0.91921	0.90548
('AT-7519 21', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K05')	1235.0	1412.0	3974.0	0.3553	0.082497
('AT-7519 22', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K05')	1235.0	1407.0	4070.0	0.34567	0.07855
('AT-7519 23', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K05')	1235.0	1370.0	4126.0	0.33201	0.061247
('AT-7519 24', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K04')	1235.0	890.0	3974.0	0.22395	-0.17678
('AT-7519 25', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K04')	1235.0	809.0	4070.0	0.19875	-0.21816
('AT-7519 26', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K04')	1235.0	804.0	4126.0	0.19484	-0.21876
('AT-7519 27', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K03')	1235.0	848.0	3974.0	0.21338	-0.20005
('AT-7519 28', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K03')	1235.0	910.0	4070.0	0.22357	-0.16281
('AT-7519 29', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K03')	1235.0	826.0	4126.0	0.20018	-0.20655
('AT-7519 30', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K02')	1235.0	881.0	3974.0	0.22168	-0.18173
('AT-7519 31', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K02')	1235.0	908.0	4070.0	0.22308	-0.16388
('AT-7519 32', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K02')	1235.0	891.0	4126.0	0.21593	-0.17124
('AT-7519 33', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K01')	1235.0	625.0	3974.0	0.15727	-0.3325
('AT-7519 34', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K01')	1235.0	796.0	4070.0	0.19556	-0.22548
('AT-7519 35', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K01')	1235.0	785.0	4126.0	0.19024	-0.22943
('AZD7762 36', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L06')	1235.0	1960.0	3974.0	0.49319	0.31497
('AZD7762 37', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L06')	1235.0	1919.0	4070.0	0.47146	0.29179
('AZD7762 38', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L06')	1235.0	1833.0	4126.0	0.44422	0.25455
('AZD7762 39', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L05')	1235.0	1766.0	3974.0	0.44437	0.23613
('AZD7762 40', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L05')	1235.0	1688.0	4070.0	0.41471	0.19898
('AZD7762 41', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L05')	1235.0	1665.0	4126.0	0.4035	0.18712
('AZD7762 42', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L04')	1235.0	1658.0	3974.0	0.4172	0.19071
('AZD7762 43', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L04')	1235.0	1507.0	4070.0	0.37024	0.12247
('AZD7762 44', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L04')	1235.0	1467.0	4126.0	0.35552	0.1038
('AZD7762 45', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L03')	1235.0	1294.0	3974.0	0.3256	0.027881
('AZD7762 46', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L03')	1235.0	1272.0	4070.0	0.3125	0.017124
('AZD7762 47', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L03')	1235.0	1365.0	4126.0	0.3308	0.059019
('AZD7762 48', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L02')	1235.0	1118.0	3974.0	0.28132	-0.057509
('AZD7762 49', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L02')	1235.0	993.0	4070.0	0.24396	-0.11924
('AZD7762 50', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L02')	1235.0	1060.0	4126.0	0.25689	-0.08424
('AZD7762 51', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L01')	1235.0	728.0	3974.0	0.18318	-0.26928
('AZD7762 52', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L01')	1235.0	796.0	4070.0	0.19556	-0.22548
('AZD7762 53', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L01')	1235.0	773.0	4126.0	0.18733	-0.23622
('AZD8055 54', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A12')	1235.0	1330.0	3974.0	0.33466	0.04475
('AZD8055 55', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A12')	1235.0	1464.0	4070.0	0.35967	0.10374
('AZD8055 56', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A12')	1235.0	1129.0	4126.0	0.27361	-0.05044
('AZD8055 57', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A11')	1235.0	1329.0	3974.0	0.33441	0.044284
('AZD8055 58', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A11')	1235.0	1279.0	4070.0	0.31422	0.020374
('AZD8055 59', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A11')	1235.0	1350.0	4126.0	0.32717	0.052315
('AZD8055 60', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A10')	1235.0	1396.0	3974.0	0.35127	0.075203
('AZD8055 61', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A10')	1235.0	1236.0	4070.0	0.30366	0.00028917
('AZD8055 62', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A10')	1235.0	1235.0	4126.0	0.2993	-0.00017932
('AZD8055 63', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A09')	1235.0	1397.0	3974.0	0.35152	0.07566
('AZD8055 64', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A09')	1235.0	1227.0	4070.0	0.30145	-0.0039515
('AZD8055 65', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A09')	1235.0	1251.0	4126.0	0.30317	0.007245
('AZD8055 66', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A08')	1235.0	1388.0	3974.0	0.34926	0.071543
('AZD8055 67', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A08')	1235.0	1154.0	4070.0	0.28351	-0.038842
('AZD8055 68', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A08')	1235.0	1184.0	4126.0	0.28694	-0.024122
('AZD8055 69', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A07')	1235.0	1197.0	3974.0	0.3012	-0.018551
('AZD8055 70', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A07')	1235.0	1120.0	4070.0	0.27516	-0.055408
('AZD8055 71', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A07')	1235.0	1032.0	4126.0	0.2501	-0.098222
('Sorafenib 72', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B12')	1235.0	4045.0	3974.0	1.0178	1.0211
('Sorafenib 73', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B12')	1235.0	3919.0	4070.0	0.96281	0.95642
('Sorafenib 74', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B12')	1235.0	3858.0	4126.0	0.93497	0.92418
('Sorafenib 75', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B11')	1235.0	3391.0	3974.0	0.85327	0.82032
('Sorafenib 76', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B11')	1235.0	3779.0	4070.0	0.92842	0.91549
('Sorafenib 77', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B11')	1235.0	3513.0	4126.0	0.85136	0.82332
('Sorafenib 78', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B10')	1235.0	3940.0	3974.0	0.99141	0.98979
('Sorafenib 79', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B10')	1235.0	4099.0	4070.0	1.007	1.0082
('Sorafenib 80', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B10')	1235.0	3685.0	4126.0	0.89304	0.8741
('Sorafenib 81', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B09')	1235.0	3864.0	3974.0	0.97229	0.96693
('Sorafenib 82', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B09')	1235.0	3416.0	4070.0	0.83924	0.80627
('Sorafenib 83', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B09')	1235.0	3760.0	4126.0	0.91122	0.89593
('Sorafenib 84', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B08')	1235.0	3658.0	3974.0	0.92045	0.90403
('Sorafenib 85', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B08')	1235.0	3388.0	4070.0	0.83236	0.79765
('Sorafenib 86', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B08')	1235.0	3293.0	4126.0	0.79804	0.75679
('Sorafenib 87', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B07')	1235.0	1776.0	3974.0	0.44689	0.24027
('Sorafenib 88', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B07')	1235.0	1624.0	4070.0	0.39898	0.17234
('Sorafenib 89', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B07')	1235.0	1537.0	4126.0	0.37248	0.13377
('CP466722 90', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I12')	1235.0	4735.0	4119.0	1.1495	1.167
('CP466722 91', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I12')	1235.0	4694.0	4356.0	1.0775	1.0838
('CP466722 92', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I12')	1235.0	5124.0	4326.0	1.1843	1.1962
('CP466722 93', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I11')	1235.0	4392.0	4119.0	1.0662	1.0752
('CP466722 94', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I11')	1235.0	4834.0	4356.0	1.1097	1.1178
('CP466722 95', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I11')	1235.0	4387.0	4326.0	1.014	1.0154
('CP466722 96', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I10')	1235.0	4429.0	4119.0	1.0752	1.0852
('CP466722 97', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I10')	1235.0	5225.0	4356.0	1.1994	1.2104
