	('PC1Loading 0',)	('PC2Loading 1',)
(' 35', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.042721	-0.22597
(' 36', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-HSP27(S82)')		
(' 37', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-NFKB(S536)')	0.81013	-0.20262
(' 38', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: Bim')	-0.88685	-0.0058101
(' 39', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: cPARP')	0.19076	-0.14485
(' 40', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-1.1624	0.38982
(' 41', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p27 Kip1')	-0.32568	-0.29943
(' 42', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: pMEK(S217/221)')	2.5893	-1.4012
(' 43', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: pERK(T202/Y204)')	6.5249	0.32054
(' 44', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p90RSK(S380)')		
(' 45', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p90RSK(T573)')	-0.27374	-0.9271
(' 46', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-AKT(T308)')	-0.51487	-0.1024
(' 47', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-AKT(S473)')	-1.0635	0.45684
(' 48', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-mTOR(S2448)')		
(' 49', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	0.691	-0.52955
(' 50', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p70S6K(T389)')		
(' 51', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-S6(S235/236)')	3.4575	-1.1653
(' 52', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-AMPK(T172)')	-0.37935	0.0033672
(' 53', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.18395	-0.9006
(' 54', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: Total c-Jun')	3.0932	-0.069268
(' 55', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-cJun(S63)')		
(' 56', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	-0.15625	-0.38272
(' 57', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-HSP27(S82)')		
(' 58', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.9364	-0.19404
(' 59', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: Bim')	-0.77867	-0.16369
(' 60', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: cPARP')	-0.092486	-0.18915
(' 61', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.96184	-0.014468
(' 62', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p27 Kip1')	-0.73413	-0.48606
(' 63', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: pMEK(S217/221)')	2.313	-1.2572
(' 64', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: pERK(T202/Y204)')	5.7298	0.40993
(' 65', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p90RSK(S380)')		
(' 66', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p90RSK(T573)')	0.58308	-0.57929
(' 67', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-AKT(T308)')	-0.97853	0.04129
(' 68', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-AKT(S473)')	-1.0474	0.70251
(' 69', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-mTOR(S2448)')		
(' 70', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	1.5101	-0.32289
(' 71', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p70S6K(T389)')		
(' 72', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-S6(S235/236)')	4.2977	-1.3481
(' 73', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-AMPK(T172)')	-1.1788	0.10569
(' 74', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-0.21356	-0.75132
(' 75', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: Total c-Jun')	2.1486	0.27793
(' 76', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-cJun(S63)')		
(' 77', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-0.44669	-0.35557
(' 78', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-HSP27(S82)')		
(' 79', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-NFKB(S536)')	-0.011669	0.16167
(' 80', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: Bim')	-2.0243	0.17281
(' 81', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: cPARP')	-1.0075	-0.48375
(' 82', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-Histone H3(S10)')	2.8595	0.65072
(' 83', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p27 Kip1')	-1.9443	-0.62753
(' 84', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: pMEK(S217/221)')	1.3758	-1.1467
(' 85', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: pERK(T202/Y204)')	4.1105	-0.090457
(' 86', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p90RSK(S380)')		
(' 87', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p90RSK(T573)')	-0.23117	-1.2618
(' 88', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-AKT(T308)')	-1.3824	-0.71257
(' 89', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-AKT(S473)')	-0.061685	0.24372
(' 90', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-mTOR(S2448)')		
(' 91', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.4592	0.035854
(' 92', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p70S6K(T389)')		
(' 93', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-S6(S235/236)')	2.8011	0.52063
(' 94', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-AMPK(T172)')	-2.4846	-0.50713
(' 95', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-0.2189	-0.72903
(' 96', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: Total c-Jun')	0.2858	0.66921
(' 97', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-cJun(S63)')		
(' 98', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	-0.73956	-0.55135
(' 99', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-HSP27(S82)')		
(' 100', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-NFKB(S536)')	0.1883	0.7395
(' 101', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: Bim')	-2.6824	-0.47847
(' 102', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: cPARP')	-2.8987	-1.4315
(' 103', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-Histone H3(S10)')	5.7194	1.2864
(' 104', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p27 Kip1')	-2.3607	-0.94268
(' 105', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: pMEK(S217/221)')	3.8299	2.6699
(' 106', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: pERK(T202/Y204)')	12.504	-0.90222
(' 107', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.47004	0.11736
(' 108', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.6203	-0.23203
(' 109', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-AKT(T308)')	1.1742	-0.87423
(' 110', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-AKT(S473)')	0.69756	-0.71854
(' 111', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.77642	-0.099591
(' 112', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.6261	0.13255
(' 113', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.030651	0.40397
(' 114', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-S6(S235/236)')	2.2205	-0.56086
(' 115', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.21348	0.11065
(' 116', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.57658	-0.035237
(' 117', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: Total c-Jun')	2.0894	-0.11417
(' 118', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-cJun(S63)')	0.99136	-0.42151
(' 119', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	3.3013	0.9098
(' 120', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.2295	0.029947
(' 121', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.75914	-0.50125
(' 122', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: Bim')	2.0171	-1.17
(' 123', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: cPARP')	1.0603	-0.72282
(' 124', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.59	-0.69893
(' 125', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 1', 'variable: p27 Kip1')	0.63745	0.21879
(' 126', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: pMEK(S217/221)')	2.1638	1.4092
(' 127', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: pERK(T202/Y204)')	6.4102	-2.3504
(' 128', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-0.44924	-0.68745
(' 129', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-1.5545	-1.0916
(' 130', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-AKT(T308)')	-2.3175	-1.2818
(' 131', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-AKT(S473)')	-3.01	-1.1756
(' 132', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-1.5326	-1.1325
(' 133', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-1.0178	-1.25
(' 134', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-p70S6K(T389)')	1.0463	-0.45845
(' 135', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-S6(S235/236)')	2.4565	0.20765
(' 136', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.81962	-1.1039
(' 137', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-1.5133	-0.98711
(' 138', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: Total c-Jun')	-0.12139	-0.41216
(' 139', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-cJun(S63)')	-0.71648	-0.3746
(' 140', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.47735	0.95568
(' 141', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-HSP27(S82)')	0.084892	-0.69765
(' 142', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.36829	-0.2434
(' 143', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: Bim')	-2.5601	-1.5812
(' 144', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: cPARP')	-1.7309	-0.1515
(' 145', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-1.597	-0.22481
(' 146', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 5', 'variable: p27 Kip1')	-1.5282	-1.3725
(' 147', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: pMEK(S217/221)')	4.4025	1.9437
(' 148', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: pERK(T202/Y204)')	12.929	-1.0413
(' 149', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p90RSK(S380)')	0.92633	-0.23783
(' 150', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.51395	-0.86021
(' 151', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-AKT(T308)')	0.57911	-0.87183
(' 152', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-AKT(S473)')	0.23483	-0.9861
(' 153', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.83416	-0.75395
(' 154', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.708	-0.85358
(' 155', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-p70S6K(T389)')	1.8382	-0.012723
(' 156', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-S6(S235/236)')	7.3413	0.20442
(' 157', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-AMPK(T172)')	1.7593	-0.34219
(' 158', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.41111	-0.50502
(' 159', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: Total c-Jun')	2.9568	-0.12191
(' 160', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-cJun(S63)')	1.0135	-0.3811
(' 161', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	2.6234	0.86053
(' 162', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.090457	-0.22953
(' 163', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-NFKB(S536)')	2.4713	-0.76557
(' 164', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: Bim')	-0.23085	-1.1647
(' 165', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: cPARP')	1.4778	-0.42932
(' 166', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p-Histone H3(S10)')	0.72294	-0.45642
(' 167', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 10', 'variable: p27 Kip1')	-0.44752	-0.96292
(' 168', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: pMEK(S217/221)')	3.3128	1.6353
(' 169', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: pERK(T202/Y204)')	5.0703	-1.9049
(' 170', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p90RSK(S380)')	-0.26238	-0.2588
(' 171', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p90RSK(T573)')	-0.52574	-0.62227
(' 172', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-AKT(T308)')	-3.396	-0.51217
(' 173', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-AKT(S473)')	-2.9627	-0.36599
(' 174', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-mTOR(S2448)')	-0.66628	-0.73247
(' 175', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	0.094846	-0.58913
(' 176', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-p70S6K(T389)')	2.3436	-0.18622
(' 177', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-S6(S235/236)')	7.5935	0.55136
(' 178', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.57698	-0.62992
(' 179', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-2.6077	-0.69431
(' 180', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: Total c-Jun')	-1.5682	-0.92227
(' 181', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-cJun(S63)')	-1.4539	-0.76056
(' 182', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-0.76429	0.8283
(' 183', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-HSP27(S82)')	-0.34308	-0.74685
(' 184', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-NFKB(S536)')	0.85647	-0.082053
(' 185', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: Bim')	-6.0205	-1.2973
(' 186', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: cPARP')	-1.876	0.0962
(' 187', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p-Histone H3(S10)')	1.5087	-0.60283
(' 188', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 24', 'variable: p27 Kip1')	-5.5097	-1.3461
(' 189', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: pMEK(S217/221)')	5.2811	1.1076
(' 190', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: pERK(T202/Y204)')	7.3102	-2.4044
(' 191', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p90RSK(S380)')	1.0408	-0.16354
(' 192', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p90RSK(T573)')	1.9763	-1.0655
(' 193', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-AKT(T308)')	0.54846	-1.4332
(' 194', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-AKT(S473)')	0.59697	-1.3117
(' 195', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-mTOR(S2448)')	2.6894	-1.5256
(' 196', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	3.9425	-1.2878
(' 197', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-p70S6K(T389)')	-0.087776	0.23806
(' 198', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-S6(S235/236)')	7.7801	-0.48481
(' 199', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-AMPK(T172)')	0.53849	0.0066156
(' 200', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	0.058964	-1.1587
(' 201', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: Total c-Jun')	-1.3418	-1.3952
(' 202', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-cJun(S63)')	-1.4506	-0.95165
(' 203', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	1.3487	0.31576
(' 204', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-HSP27(S82)')	0.41136	-0.089671
(' 205', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-NFKB(S536)')	0.95628	-0.44199
(' 206', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: Bim')	0.76269	-1.6737
(' 207', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: cPARP')	-1.4253	-0.85678
