	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('(R)- Roscovitine 10', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J01')	1389.0	1149.0	5772.0	0.19905	-0.088192
('(R)- Roscovitine 11', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J01')	1389.0	1407.0	6038.0	0.233	0.0060704
('AT-7519 12', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K06')	1389.0	5493.0	5147.0	1.0672	1.07
('AT-7519 13', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K06')	1389.0	5687.0	5447.0	1.0439	1.044
('AT-7519 14', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K06')	1389.0	5080.0	5740.0	0.88494	0.88407
('AT-7519 15', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K05')	1389.0	2594.0	5147.0	0.50398	0.3917
('AT-7519 16', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K05')	1389.0	2336.0	5447.0	0.42879	0.30167
('AT-7519 17', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K05')	1389.0	2662.0	5740.0	0.46372	0.37403
('AT-7519 18', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K04')	1389.0	730.0	5147.0	0.14183	-0.28855
('AT-7519 19', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K04')	1389.0	747.0	5447.0	0.13712	-0.26994
('AT-7519 20', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K04')	1389.0	790.0	5740.0	0.13762	-0.24095
('AT-7519 21', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K03')	1389.0	576.0	5147.0	0.11191	-0.37239
('AT-7519 22', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K03')	1389.0	445.0	5447.0	0.081682	-0.43862
('AT-7519 23', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K03')	1389.0	640.0	5740.0	0.11149	-0.31515
('AT-7519 24', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K02')	1389.0	542.0	5147.0	0.1053	-0.39228
('AT-7519 25', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K02')	1389.0	424.0	5447.0	0.077828	-0.45222
('AT-7519 26', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K02')	1389.0	472.0	5740.0	0.082223	-0.4098
('AT-7519 27', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K01')	1389.0	370.0	5147.0	0.071886	-0.50345
('AT-7519 28', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K01')	1389.0	338.0	5447.0	0.062042	-0.51171
('AT-7519 29', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AT-7519', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K01')	1389.0	324.0	5740.0	0.056441	-0.50889
('AZD7762 30', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L06')	1389.0	2020.0	5147.0	0.39246	0.21917
('AZD7762 31', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L06')	1389.0	2012.0	5447.0	0.36931	0.20674
('AZD7762 32', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L06')	1389.0	1929.0	5740.0	0.33603	0.17399
('AZD7762 33', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L05')	1389.0	1626.0	5147.0	0.31591	0.086918
('AZD7762 34', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L05')	1389.0	1772.0	5447.0	0.32526	0.13144
('AZD7762 35', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L05')	1389.0	1675.0	5740.0	0.29179	0.095751
('AZD7762 36', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L04')	1389.0	1410.0	5147.0	0.27394	0.0079486
('AZD7762 37', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L04')	1389.0	1529.0	5447.0	0.28066	0.049888
('AZD7762 38', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L04')	1389.0	1619.0	5740.0	0.28203	0.0777
('AZD7762 39', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L03')	1389.0	1357.0	5147.0	0.26365	-0.012282
('AZD7762 40', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L03')	1389.0	1299.0	5447.0	0.23844	-0.033429
('AZD7762 41', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L03')	1389.0	1326.0	5740.0	0.23099	-0.022441
('AZD7762 42', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L02')	1389.0	936.0	5147.0	0.18185	-0.18853
('AZD7762 43', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L02')	1389.0	1238.0	5447.0	0.22724	-0.056723
('AZD7762 44', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L02')	1389.0	1122.0	5740.0	0.19545	-0.099048
('AZD7762 45', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: L01')	1389.0	650.0	5147.0	0.12629	-0.33094
('AZD7762 46', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: L01')	1389.0	800.0	5447.0	0.14684	-0.24411
('AZD7762 47', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD7762', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: L01')	1389.0	863.0	5740.0	0.15034	-0.20746
('AZD8055 48', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A12')	1389.0	1326.0	5147.0	0.25762	-0.024288
('AZD8055 49', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A12')	1389.0	1941.0	5447.0	0.35628	0.18495
('AZD8055 50', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A12')	1389.0	1466.0	5740.0	0.25538	0.026684
('AZD8055 51', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A11')	1389.0	1149.0	5147.0	0.22323	-0.095533
('AZD8055 52', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A11')	1389.0	1564.0	5447.0	0.28708	0.06201
('AZD8055 53', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A11')	1389.0	1485.0	5740.0	0.25869	0.033163
('AZD8055 54', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A10')	1389.0	1177.0	5147.0	0.22867	-0.083935
('AZD8055 55', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A10')	1389.0	1599.0	5447.0	0.29351	0.073998
('AZD8055 56', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A10')	1389.0	1578.0	5740.0	0.27489	0.06428
('AZD8055 57', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A09')	1389.0	1195.0	5147.0	0.23217	-0.076547
('AZD8055 58', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A09')	1389.0	1633.0	5447.0	0.29975	0.085521
('AZD8055 59', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A09')	1389.0	1705.0	5740.0	0.29701	0.10529
('AZD8055 60', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A08')	1389.0	1261.0	5147.0	0.24499	-0.049899
('AZD8055 61', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A08')	1389.0	1403.0	5447.0	0.25753	0.0050766
('AZD8055 62', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A08')	1389.0	1575.0	5740.0	0.27437	0.063291
('AZD8055 63', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: A07')	1389.0	895.0	5147.0	0.17389	-0.20754
('AZD8055 64', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: A07')	1389.0	1281.0	5447.0	0.23514	-0.040245
('AZD8055 65', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD8055', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: A07')	1389.0	1185.0	5740.0	0.20643	-0.074681
('Sorafenib 66', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B12')	1389.0	4484.0	5147.0	0.87118	0.85923
('Sorafenib 67', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B12')	1389.0	5724.0	5447.0	1.0507	1.0508
('Sorafenib 68', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B12')	1389.0	5350.0	5740.0	0.93197	0.93234
('Sorafenib 69', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B11')	1389.0	4379.0	5147.0	0.85078	0.83606
('Sorafenib 70', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B11')	1389.0	5326.0	5447.0	0.97762	0.97717
('Sorafenib 71', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B11')	1389.0	5256.0	5740.0	0.9156	0.91568
('Sorafenib 72', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B10')	1389.0	4556.0	5147.0	0.88516	0.87497
('Sorafenib 73', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B10')	1389.0	5346.0	5447.0	0.98129	0.98093
('Sorafenib 74', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B10')	1389.0	4936.0	5740.0	0.85986	0.85779
('Sorafenib 75', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B09')	1389.0	4108.0	5147.0	0.79812	0.77503
('Sorafenib 76', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B09')	1389.0	4589.0	5447.0	0.84234	0.83331
('Sorafenib 77', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B09')	1389.0	5284.0	5740.0	0.92048	0.92066
('Sorafenib 78', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B08')	1389.0	3484.0	5147.0	0.67689	0.62682
('Sorafenib 79', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B08')	1389.0	4612.0	5447.0	0.84656	0.83797
('Sorafenib 80', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B08')	1389.0	5078.0	5740.0	0.88459	0.88371
('Sorafenib 81', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: B07')	1389.0	1990.0	5147.0	0.38663	0.20955
('Sorafenib 82', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: B07')	1389.0	1822.0	5447.0	0.33444	0.14752
('Sorafenib 83', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Sorafenib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: B07')	1389.0	1863.0	5740.0	0.32454	0.1542
('CP466722 84', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I12')	1389.0	6117.0	5772.0	1.0597	1.0572
('CP466722 85', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I12')	1389.0	6478.0	6038.0	1.0728	1.0674
('CP466722 86', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I11')	1389.0	6278.0	5772.0	1.0876	1.0834
('CP466722 87', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I11')	1389.0	6436.0	6038.0	1.0658	1.0611
('CP466722 88', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I10')	1389.0	5718.0	5772.0	0.99056	0.99079
('CP466722 89', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I10')	1389.0	6195.0	6038.0	1.0259	1.0243
('CP466722 90', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I09')	1389.0	5905.0	5772.0	1.023	1.0222
('CP466722 91', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I09')	1389.0	6008.0	6038.0	0.99495	0.99523
('CP466722 92', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I08')	1389.0	5909.0	5772.0	1.0236	1.0229
('CP466722 93', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I08')	1389.0	5924.0	6038.0	0.98104	0.98202
('CP466722 94', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I07')	1389.0	5228.0	5772.0	0.90567	0.90587
('CP466722 95', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP466722', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I07')	1389.0	6325.0	6038.0	1.0474	1.0442
('CP724714 96', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP724714', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: A12')	1389.0	5249.0	5772.0	0.90931	0.90959
('CP724714 97', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP724714', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: A12')	1389.0	5230.0	6038.0	0.86611	0.86889
('CP724714 98', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CP724714', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: A11')	1389.0	4460.0	5772.0	0.77263	0.76407
